"Path","SizeKB","Extension"
"dlc-frontend\textures\ui\ui pregame transparency background.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui scroll bottom tile 8x8.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui scroll bottom tile.ddt","0.2",".ddt"
"dlc-frontend\textures\ui\ui scroll cap left 8x8.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui scroll cap left.ddt","0.3",".ddt"
"dlc-frontend\textures\ui\ui scroll cap right 8x8.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui scroll cap right.ddt","0.3",".ddt"
"dlc-frontend\textures\ui\ui scroll middle 128x16.ddt","4.8",".ddt"
"dlc-frontend\textures\ui\ui scroll middle 256x16.ddt","7",".ddt"
"dlc-frontend\textures\ui\ui scroll middle 64x16.ddt","0.3",".ddt"
"dlc-frontend\textures\ui\ui scroll middle tile 8x8.ddt","0",".ddt"
"dlc-frontend\textures\ui\ui scroll middle tile.ddt","0.8",".ddt"
"dlc-frontend\textures\ui\ui scroll top tile 8x8.ddt","0.1",".ddt"
"dlc-frontend\textures\ui\ui scroll top tile.ddt","0.2",".ddt"
"dlc-frontend\textures\ui\ui text box left.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui text box middle.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui text box right.ddt","0.7",".ddt"
"dlc-frontend\textures\ui\ui text chat box.ddt","0.9",".ddt"
"models\version1.0\gp x tartarian gate creature b.tga","48",".tga"
"models\version2.0\gp x tartarian gate creature b.tga","48",".tga"
"textures\agamemnon map.ddt","85.4",".ddt"
"textures\animal aurochs map.ddt","5.4",".ddt"
"textures\animal baboon corpse bodya.ddt","1.4",".ddt"
"textures\animal baboon corpse skeletona.ddt","1.4",".ddt"
"textures\animal baboon map.ddt","5.4",".ddt"
"textures\animal bear corpse bodya.ddt","1.4",".ddt"
"textures\animal bear corpse skeletona.ddt","1.4",".ddt"
"textures\animal bear map.ddt","5.4",".ddt"
"textures\animal bearlaser beam map.ddt","5.4",".ddt"
"textures\animal bearlaser cape map.ddt","1.4",".ddt"
"textures\animal bearlaser map.ddt","5.4",".ddt"
"textures\animal boar corpse bodya.ddt","1.4",".ddt"
"textures\animal boar corpse skeletona.ddt","1.4",".ddt"
"textures\animal boar map.ddt","5.4",".ddt"
"textures\animal camel map.ddt","5.4",".ddt"
"textures\animal caribou antlers map.ddt","1.4",".ddt"
"textures\animal caribou corpse bodya.ddt","1.4",".ddt"
"textures\animal caribou corpse skeletona.ddt","1.4",".ddt"
"textures\animal caribou map.ddt","5.4",".ddt"
"textures\animal chicken corpse bodya.ddt","1.4",".ddt"
"textures\animal chicken corpse skeletona.ddt","1.4",".ddt"
"textures\animal chicken map.ddt","5.4",".ddt"
"textures\animal chicken.ddt","1.4",".ddt"
"textures\animal cow a map.ddt","21.4",".ddt"
"textures\animal cow b map.ddt","21.4",".ddt"
"textures\animal cow c map.ddt","21.4",".ddt"
"textures\animal cow corpse bodya.ddt","1.4",".ddt"
"textures\animal cow corpse skeletona.ddt","1.4",".ddt"
"textures\animal cow map.ddt","5.4",".ddt"
"textures\animal crocodile corpse bodya.ddt","2.7",".ddt"
"textures\animal crocodile corpse skeletona.ddt","2.7",".ddt"
"textures\animal crocodile map.ddt","5.4",".ddt"
"textures\animal crowned crane corpse bodya.ddt","0.7",".ddt"
"textures\animal crowned crane corpse skeletona.ddt","0.7",".ddt"
"textures\animal crowned crane map.ddt","5.4",".ddt"
"textures\animal deer corpse bodya.ddt","1.4",".ddt"
"textures\animal deer corpse skeletona.ddt","1.4",".ddt"
"textures\animal deer map.ddt","5.4",".ddt"
"textures\animal dog a map.DDT","5.4",".DDT"
"textures\animal dog b map.DDT","5.4",".DDT"
"textures\animal dove.ddt","10.7",".ddt"
"textures\animal duck map.ddt","4",".ddt"
"textures\animal eagle map.ddt","4",".ddt"
"textures\animal elephant indian.DDT","10.8",".DDT"
"textures\animal elephant map.ddt","21.4",".ddt"
"textures\animal elk corpse bodya.ddt","1.4",".ddt"
"textures\animal elk corpse skeletona.ddt","1.4",".ddt"
"textures\animal elk map.ddt","5.4",".ddt"
"textures\animal fish anchovy.ddt","0.7",".ddt"
"textures\animal fish herring.ddt","0.7",".ddt"
"textures\animal fish mahi.ddt","0.7",".ddt"
"textures\animal fish perch.ddt","0.7",".ddt"
"textures\animal fish salmon.ddt","0.5",".ddt"
"textures\animal flying purple hippo.ddt","42.7",".ddt"
"textures\animal flying purple love.ddt","1.4",".ddt"
"textures\animal flying purple rainbow.ddt","1.4",".ddt"
"textures\animal gazelle corpse bodya.ddt","1.4",".ddt"
"textures\animal gazelle corpse skeletona.ddt","1.4",".ddt"
"textures\animal gazelle map.ddt","5.4",".ddt"
"textures\animal giraffe corpse bodya.ddt","5.4",".ddt"
"textures\animal giraffe corpse skeletona.ddt","5.4",".ddt"
"textures\animal giraffe map.ddt","21.4",".ddt"
"textures\animal goat corpse bodya.ddt","1.4",".ddt"
"textures\animal goat corpse skeletona.ddt","1.4",".ddt"
"textures\animal goat map.ddt","5.4",".ddt"
"textures\animal goatnubian map.ddt","5.4",".ddt"
"textures\animal hawk map.ddt","5.4",".ddt"
"textures\animal hawk.ddt","5.4",".ddt"
"textures\animal hippo corpse bodya.ddt","2.7",".ddt"
"textures\animal hippo corpse skeletona.ddt","2.7",".ddt"
"textures\animal hippo map.ddt","21.4",".ddt"
"textures\animal horse map.ddt","5.4",".ddt"
"textures\animal hyena corpse bodya.ddt","1.4",".ddt"
"textures\animal hyena corpse skeletona.ddt","1.4",".ddt"
"textures\animal hyena map.ddt","5.4",".ddt"
"textures\animal lion corpse bodya.ddt","1.4",".ddt"
"textures\animal lion corpse skeletona.ddt","1.4",".ddt"
"textures\animal lion map.ddt","5.4",".ddt"
"textures\animal lizard corpse bodya.ddt","2.7",".ddt"
"textures\animal lizard corpse skeletona.ddt","2.7",".ddt"
"textures\animal lizard map.ddt","5.4",".ddt"
"textures\animal monkey corpse bodya.ddt","1.4",".ddt"
"textures\animal monkey corpse skeletona.ddt","1.4",".ddt"
"textures\animal monkey map.ddt","5.4",".ddt"
"textures\animal musk ox.ddt","21.4",".ddt"
"textures\animal orca map.ddt","21.4",".ddt"
"textures\animal panda bear corpse bodya.ddt","0.7",".ddt"
"textures\animal panda bear corpse skeletona.ddt","1.4",".ddt"
"textures\animal panda bear icon.ddt","4",".ddt"
"textures\animal panda bear map.ddt","2.7",".ddt"
"textures\animal parrot map.DDT","3.4",".DDT"
"textures\animal pig map.ddt","5.4",".ddt"
"textures\animal polar bear map.ddt","5.4",".ddt"
"textures\animal prmonkey.ddt","21.4",".ddt"
"textures\animal ram map.ddt","5.4",".ddt"
"textures\animal rhino corpse bodya.ddt","5.4",".ddt"
"textures\animal rhino corpse skeletona.ddt","5.4",".ddt"
"textures\animal rhino map.ddt","21.4",".ddt"
"textures\animal rooster.ddt","1.4",".ddt"
"textures\animal sea gull.ddt","2.7",".ddt"
"textures\animal shark map.ddt","2.7",".ddt"
"textures\animal tiger corpse bodya.ddt","1.4",".ddt"
"textures\animal tiger corpse skeletona.ddt","1.4",".ddt"
"textures\animal tiger icon.ddt","4",".ddt"
"textures\animal tiger map.ddt","21.4",".ddt"
"textures\animal wallrus corpse bodya.ddt","1.4",".ddt"
"textures\animal wallrus corpse skeletona.ddt","1.4",".ddt"
"textures\animal walrus map.ddt","5.4",".ddt"
"textures\animal water buffalo corpse bodya.ddt","1.4",".ddt"
"textures\animal water buffalo corpse skeletona.ddt","1.4",".ddt"
"textures\animal waterbuffalo map.ddt","5.4",".ddt"
"textures\animal whale map.ddt","21.4",".ddt"
"textures\animal white tiger map.ddt","21.4",".ddt"
"textures\Animal William Walrus Map.ddt","85.4",".ddt"
"textures\animal wolf arctic map.ddt","85.4",".ddt"
"textures\animal wolf artic map.ddt","85.4",".ddt"
"textures\animal wolf corpse bodya.ddt","1.4",".ddt"
"textures\animal wolf corpse skeletona.ddt","1.4",".ddt"
"textures\animal wolf map.ddt","5.4",".ddt"
"textures\animal yak.ddt","21.4",".ddt"
"textures\animal zebra map.ddt","21.4",".ddt"
"textures\ankh.ddt","1.4",".ddt"
"textures\archer c chu ko nu icon.ddt","4",".ddt"
"textures\archer c crossbow.ddt","5.4",".ddt"
"textures\archer c crossbowman bowstring.ddt","0.3",".ddt"
"textures\archer c crossbowman bronze.ddt","5.4",".ddt"
"textures\archer c crossbowman copper.ddt","5.4",".ddt"
"textures\archer c crossbowman head bronze.ddt","1.4",".ddt"
"textures\archer c crossbowman head copper.ddt","1.4",".ddt"
"textures\archer c crossbowman head iron.ddt","1.4",".ddt"
"textures\archer c crossbowman head standard.ddt","1.4",".ddt"
"textures\archer c crossbowman iron.ddt","5.4",".ddt"
"textures\archer c crossbowman standard.ddt","5.4",".ddt"
"textures\archer c mounted archer bronze.ddt","5.4",".ddt"
"textures\archer c mounted archer copper.ddt","5.4",".ddt"
"textures\archer c mounted archer head bronze.ddt","1.4",".ddt"
"textures\archer c mounted archer head copper.ddt","1.4",".ddt"
"textures\archer c mounted archer head iron.ddt","1.4",".ddt"
"textures\archer c mounted archer head standard.ddt","1.4",".ddt"
"textures\archer c mounted archer horse bronze.ddt","21.4",".ddt"
"textures\archer c mounted archer horse copper.ddt","21.4",".ddt"
"textures\archer c mounted archer horse iron.ddt","21.4",".ddt"
"textures\archer c mounted archer horse standard.ddt","21.4",".ddt"
"textures\archer c mounted archer icon.ddt","4",".ddt"
"textures\archer c mounted archer iron.ddt","5.4",".ddt"
"textures\archer c mounted archer standard.ddt","5.4",".ddt"
"textures\archer e slinger bronze.ddt","5.4",".ddt"
"textures\archer e slinger copper.ddt","5.4",".ddt"
"textures\archer e slinger corpse bodya.ddt","1.4",".ddt"
"textures\archer e slinger corpse skeletona.ddt","1.4",".ddt"
"textures\archer e slinger head bronze.ddt","1.4",".ddt"
"textures\archer e slinger head copper.ddt","1.4",".ddt"
"textures\archer e slinger head iron.ddt","1.4",".ddt"
"textures\archer e slinger head standard.ddt","1.4",".ddt"
"textures\archer e slinger iron.ddt","5.4",".ddt"
"textures\archer e slinger map.ddt","5.4",".ddt"
"textures\archer e slinger standard.ddt","5.4",".ddt"
"textures\archer g crossbow.ddt","5.4",".ddt"
"textures\archer g crossbowman corpse bodya.ddt","1.4",".ddt"
"textures\archer g crossbowman corpse skeletona.ddt","1.4",".ddt"
"textures\archer g crossbowman head.ddt","1.4",".ddt"
"textures\archer g crossbowman.ddt","5.4",".ddt"
"textures\archer g peltast bronze.ddt","5.4",".ddt"
"textures\archer g peltast cape bronze.ddt","5.4",".ddt"
"textures\archer g peltast cape copper.ddt","5.4",".ddt"
"textures\archer g peltast cape iron.ddt","5.4",".ddt"
"textures\archer g peltast cape standard.ddt","5.4",".ddt"
"textures\archer g peltast cape.ddt","1.4",".ddt"
"textures\archer g peltast copper.ddt","5.4",".ddt"
"textures\archer g peltast corpse bodya.ddt","1.4",".ddt"
"textures\archer g peltast corpse skeletona.ddt","1.4",".ddt"
"textures\archer g peltast head bronze.ddt","1.4",".ddt"
"textures\archer g peltast head copper.ddt","1.4",".ddt"
"textures\archer g peltast head iron.ddt","1.4",".ddt"
"textures\archer g peltast head standard.ddt","1.4",".ddt"
"textures\archer g peltast iron.ddt","5.4",".ddt"
"textures\archer g peltast low bronze.ddt","1.4",".ddt"
"textures\archer g peltast low copper.ddt","1.4",".ddt"
"textures\archer g peltast low iron.ddt","1.4",".ddt"
"textures\archer g peltast low standard.ddt","1.4",".ddt"
"textures\archer g peltast standard.ddt","5.4",".ddt"
"textures\archer g toxotes bronze.ddt","5.4",".ddt"
"textures\archer g toxotes copper.ddt","5.4",".ddt"
"textures\archer g toxotes corpse bodya.ddt","1.4",".ddt"
"textures\archer g toxotes corpse skeletona.ddt","1.4",".ddt"
"textures\archer g toxotes head bronze.ddt","1.4",".ddt"
"textures\archer g toxotes head copper.ddt","1.4",".ddt"
"textures\archer g toxotes head iron.ddt","1.4",".ddt"
"textures\archer g toxotes head standard.ddt","1.4",".ddt"
"textures\archer g toxotes iron.ddt","5.4",".ddt"
"textures\archer g toxotes standard.ddt","5.4",".ddt"
"textures\archer n normal bronze.ddt","5.4",".ddt"
"textures\archer n normal copper.ddt","5.4",".ddt"
"textures\archer n normal head bronze.ddt","1.4",".ddt"
"textures\archer n normal head copper.ddt","1.4",".ddt"
"textures\archer n normal head iron.ddt","1.4",".ddt"
"textures\archer n normal head standard.ddt","1.4",".ddt"
"textures\archer n normal iron.ddt","5.4",".ddt"
"textures\archer n normal standard.ddt","5.4",".ddt"
"textures\archer n throwing axeman axe map.ddt","0.7",".ddt"
"textures\archer n throwing axeman bronze.ddt","5.4",".ddt"
"textures\archer n throwing axeman copper.ddt","5.4",".ddt"
"textures\archer n throwing axeman corpse bodya.ddt","1.4",".ddt"
"textures\archer n throwing axeman corpse skeletona.ddt","1.4",".ddt"
"textures\archer n throwing axeman head bronze.ddt","1.4",".ddt"
"textures\archer n throwing axeman head copper.ddt","1.4",".ddt"
"textures\archer n throwing axeman head iron.ddt","1.4",".ddt"
"textures\archer n throwing axeman head low bronze.ddt","0.4",".ddt"
"textures\archer n throwing axeman head low copper.ddt","0.4",".ddt"
"textures\archer n throwing axeman head low iron.ddt","0.4",".ddt"
"textures\archer n throwing axeman head low standard.ddt","0.4",".ddt"
"textures\archer n throwing axeman head standard.ddt","1.4",".ddt"
"textures\archer n throwing axeman iron.ddt","5.4",".ddt"
"textures\archer n throwing axeman low bronze.ddt","1.4",".ddt"
"textures\archer n throwing axeman low copper.ddt","1.4",".ddt"
"textures\archer n throwing axeman low iron.ddt","1.4",".ddt"
"textures\archer n throwing axeman low standard.ddt","1.4",".ddt"
"textures\archer n throwing axeman standard.ddt","5.4",".ddt"
"textures\archer x arcus corpse bodya.ddt","1.4",".ddt"
"textures\archer x arcus corpse skeletona.ddt","1.4",".ddt"
"textures\archer x bronze.ddt","5.4",".ddt"
"textures\archer x copper.ddt","5.4",".ddt"
"textures\archer x hero.ddt","5.4",".ddt"
"textures\archer x iron.ddt","5.4",".ddt"
"textures\archer x standard.ddt","5.4",".ddt"
"textures\arrow_down.ddt","1.4",".ddt"
"textures\arrow_up.ddt","1.4",".ddt"
"textures\ashbow.ddt","0.7",".ddt"
"textures\ashbowquiver.ddt","1.4",".ddt"
"textures\athenamap.ddt","85.4",".ddt"
"textures\attachment c halberd head bronze.ddt","1",".ddt"
"textures\attachment c halberd head copper.ddt","1",".ddt"
"textures\attachment c halberd head iron.ddt","1",".ddt"
"textures\attachment c halberd head standard.ddt","1",".ddt"
"textures\attachment g gargarensis trident.ddt","5.4",".ddt"
"textures\attachment g spear.ddt","21.4",".ddt"
"textures\attachment g spear_01.ddt","21.4",".ddt"
"textures\attachments a arrow map.ddt","1.4",".ddt"
"textures\attachments a arrow.ddt","0.7",".ddt"
"textures\attachments a axe map.ddt","1.4",".ddt"
"textures\attachments a blood spurt map.ddt","1.4",".ddt"
"textures\attachments a bow bronze.ddt","1.4",".ddt"
"textures\attachments a bow copper.ddt","1.4",".ddt"
"textures\attachments a bow iron.ddt","1.4",".ddt"
"textures\attachments a bow map.ddt","2.7",".ddt"
"textures\attachments a bow standard.ddt","1.4",".ddt"
"textures\attachments a club.ddt","0.7",".ddt"
"textures\attachments a footprint siege.ddt","0.7",".ddt"
"textures\attachments a footstep animal.ddt","1.4",".ddt"
"textures\attachments a footstep bare.ddt","1.4",".ddt"
"textures\attachments a footstep elephant.ddt","1.4",".ddt"
"textures\attachments a footstep horse.ddt","1.4",".ddt"
"textures\attachments a footstep portable ram.ddt","5.4",".ddt"
"textures\attachments a footstep prometheanbig.ddt","1.4",".ddt"
"textures\attachments a footstep scarab.ddt","1.4",".ddt"
"textures\attachments a hammer map.ddt","1.4",".ddt"
"textures\attachments a hoe map.ddt","1.4",".ddt"
"textures\attachments a picks map.ddt","0.4",".ddt"
"textures\attachments a quiver.ddt","0.7",".ddt"
"textures\attachments a resources map.ddt","10.7",".ddt"
"textures\attachments a seeds.ddt","1.4",".ddt"
"textures\attachments a shields map.ddt","21.4",".ddt"
"textures\attachments a shovel.ddt","0.8",".ddt"
"textures\attachments a skeleton.ddt","5.4",".ddt"
"textures\attachments a sling.ddt","2.7",".ddt"
"textures\attachments a spear bronze.ddt","2.8",".ddt"
"textures\attachments a spear copper.ddt","2.8",".ddt"
"textures\attachments a spear iron.ddt","2.8",".ddt"
"textures\attachments a spear standard.ddt","2.8",".ddt"
"textures\attachments a sword swoosh.ddt","5.4",".ddt"
"textures\attachments a trident map.ddt","1.4",".ddt"
"textures\attachments a wheel solid.ddt","5.4",".ddt"
"textures\attachments a wheel spoked.ddt","4",".ddt"
"textures\attachments c fire lance.ddt","8",".ddt"
"textures\attachments c flag naval.ddt","2.7",".ddt"
"textures\attachments c halberd bronze.ddt","2",".ddt"
"textures\attachments c halberd copper.ddt","2",".ddt"
"textures\attachments c halberd iron.ddt","2",".ddt"
"textures\attachments c halberd standard.ddt","2",".ddt"
"textures\attachments c sword jiaolong.ddt","0.5",".ddt"
"textures\attachments e axe bronze.ddt","1.4",".ddt"
"textures\attachments e axe copper.ddt","1.4",".ddt"
"textures\attachments e axe iron.ddt","1.4",".ddt"
"textures\attachments e axe standard.ddt","1.4",".ddt"
"textures\attachments e osiris weapons.ddt","5.4",".ddt"
"textures\attachments e shield bronze.ddt","10.7",".ddt"
"textures\attachments e shield copper.ddt","10.7",".ddt"
"textures\attachments e shield iron.ddt","10.7",".ddt"
"textures\attachments e sling stone map.ddt","0.3",".ddt"
"textures\attachments e sword bronze.ddt","0.7",".ddt"
"textures\attachments e sword copper.ddt","0.7",".ddt"
"textures\attachments e sword iron.ddt","0.7",".ddt"
"textures\attachments e sword standard.ddt","0.7",".ddt"
"textures\attachments g polyphemus club.ddt","1.4",".ddt"
"textures\attachments g shield bronze.ddt","10.7",".ddt"
"textures\attachments g shield copper.ddt","10.7",".ddt"
"textures\attachments g shield iron cine.ddt","1.4",".ddt"
"textures\attachments g shield iron.ddt","10.7",".ddt"
"textures\attachments g sword bronze.ddt","0.7",".ddt"
"textures\attachments g sword copper.ddt","0.7",".ddt"
"textures\attachments g sword iron.ddt","0.7",".ddt"
"textures\attachments g sword standard.ddt","0.7",".ddt"
"textures\attachments mu x automaton.ddt","5.4",".ddt"
"textures\attachments n axe bronze.ddt","1.4",".ddt"
"textures\attachments n axe copper.ddt","1.4",".ddt"
"textures\attachments n axe iron.ddt","1.4",".ddt"
"textures\attachments n axe standard.ddt","1.4",".ddt"
"textures\attachments n oxcart wheel.ddt","5.4",".ddt"
"textures\attachments n shield bronze.ddt","10.7",".ddt"
"textures\attachments n shield cinepirateship map.ddt","5.4",".ddt"
"textures\attachments n shield copper.ddt","10.7",".ddt"
"textures\attachments n shield iron.ddt","10.7",".ddt"
"textures\attachments n sword bronze.ddt","0.7",".ddt"
"textures\attachments n sword copper.ddt","0.7",".ddt"
"textures\attachments n sword iron.ddt","0.7",".ddt"
"textures\attachments n sword standard.ddt","0.7",".ddt"
"textures\attachments scenario e osiris weapons.ddt","5.4",".ddt"
"textures\attachments x double sword bronze.ddt","0.7",".ddt"
"textures\attachments x double sword copper.ddt","0.7",".ddt"
"textures\attachments x double sword iron.ddt","0.7",".ddt"
"textures\attachments x double sword standard.ddt","0.7",".ddt"
"textures\attachments x lance bronze.ddt","1.4",".ddt"
"textures\attachments x lance copper.ddt","1.4",".ddt"
"textures\attachments x lance iron.ddt","1.4",".ddt"
"textures\attachments x lance standard.ddt","1.4",".ddt"
"textures\attachments x mace bronze.ddt","1.4",".ddt"
"textures\attachments x mace copper.ddt","1.4",".ddt"
"textures\attachments x mace iron.ddt","1.4",".ddt"
"textures\attachments x mace standard.ddt","1.4",".ddt"
"textures\attachments x mace.ddt","1.4",".ddt"
"textures\attachments x shield champion.ddt","10.7",".ddt"
"textures\attachments x shield heavy.ddt","10.7",".ddt"
"textures\attachments x shield hero.ddt","10.7",".ddt"
"textures\attachments x shield medium.ddt","10.7",".ddt"
"textures\attachments x sword bronze.ddt","0.7",".ddt"
