"RelativePath","Status","TGA","BTI"
"textures\icons\god power barrage icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power barrage icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power barrage icon.bti"
"textures\icons\god power earth dragon icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power earth dragon icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power earth dragon icon.bti"
"textures\icons\god power flood icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power flood icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power flood icon.bti"
"textures\icons\god power geyser icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power geyser icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power geyser icon.bti"
"textures\icons\god power journey icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power journey icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power journey icon.bti"
"textures\icons\god power recreation icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power recreation icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\god power recreation icon.bti"
"textures\icons\siege c fire lance icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\siege c fire lance icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\siege c fire lance icon.bti"
"textures\icons\special c azure dragon icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c azure dragon icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c azure dragon icon.bti"
"textures\icons\special c black tortoise icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c black tortoise icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c black tortoise icon.bti"
"textures\icons\special c earth dragon icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c earth dragon icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c earth dragon icon.bti"
"textures\icons\special c jiangshi icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c jiangshi icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c jiangshi icon.bti"
"textures\icons\special c monkey king icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c monkey king icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c monkey king icon.bti"
"textures\icons\special c pixiu icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c pixiu icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c pixiu icon.bti"
"textures\icons\special c qilin icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c qilin icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c qilin icon.bti"
"textures\icons\special c terracotta soldier icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c terracotta soldier icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c terracotta soldier icon.bti"
"textures\icons\special c vermilion bird icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c vermilion bird icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c vermilion bird icon.bti"
"textures\icons\special c war salamander icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c war salamander icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c war salamander icon.bti"
"textures\icons\special c white tiger icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c white tiger icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c white tiger icon.bti"
"textures\icons\trade c caravan icon.DDT","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\trade c caravan icon.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\trade c caravan icon.bti"
"textures\special c qilin.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c qilin.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\special c qilin.bti"
"textures\special g griffon map.ddt","Failed","",""
"textures\world c jungle palm burnt.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle palm burnt.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle palm burnt.bti"
"textures\world c jungle palm.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle palm.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle palm.bti"
"textures\world c jungle tree burnt.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle tree burnt.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle tree burnt.bti"
"textures\world c jungle tree.ddt","RecoveredTGAandBTI","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle tree.tga","D:\AI_upscaling\AoMEE\tests\file_converter_recovered_clean\world c jungle tree.bti"
