"BTIFile","Filename","Line"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast low iron.bti","archer g peltast low iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast low standard.bti","archer g peltast low standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast standard.bti","archer g peltast standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes bronze.bti","archer g toxotes bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes copper.bti","archer g toxotes copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head bronze.bti","archer g toxotes head bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head copper.bti","archer g toxotes head copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head iron.bti","archer g toxotes head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head standard.bti","archer g toxotes head standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes iron.bti","archer g toxotes iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes standard.bti","archer g toxotes standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal bronze.bti","archer n normal bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal copper.bti","archer n normal copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head bronze.bti","archer n normal head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head copper.bti","archer n normal head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head iron.bti","archer n normal head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head standard.bti","archer n normal head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal iron.bti","archer n normal iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n normal standard.bti","archer n normal standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman bronze.bti","archer n throwing axeman bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman copper.bti","archer n throwing axeman copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman iron.bti","archer n throwing axeman iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low bronze.bti","archer n throwing axeman low bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low copper.bti","archer n throwing axeman low copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low iron.bti","archer n throwing axeman low iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low standard.bti","archer n throwing axeman low standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman standard.bti","archer n throwing axeman standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer x bronze.bti","archer x bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer x copper.bti","archer x copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer x hero.bti","archer x hero","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer x iron.bti","archer x iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\archer x standard.bti","archer x standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\athenamap.bti","athenamap","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachment c halberd head bronze.bti","attachment c halberd head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachment c halberd head copper.bti","attachment c halberd head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachment c halberd head iron.bti","attachment c halberd head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachment c halberd head standard.bti","attachment c halberd head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a axe map.bti","attachments a axe map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a club.bti","attachments a club","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a shields map.bti","attachments a shields map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a shovel.bti","attachments a shovel","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a skeleton.bti","attachments a skeleton","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments a sling.bti","attachments a sling","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c fire lance.bti","attachments c fire lance","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c flag naval.bti","attachments c flag naval","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c halberd bronze.bti","attachments c halberd bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c halberd copper.bti","attachments c halberd copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c halberd iron.bti","attachments c halberd iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c halberd standard.bti","attachments c halberd standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments c sword jiaolong.bti","attachments c sword jiaolong","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments e shield bronze.bti","attachments e shield bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments e shield copper.bti","attachments e shield copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments e shield iron.bti","attachments e shield iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments g polyphemus club.bti","attachments g polyphemus club","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments g shield bronze.bti","attachments g shield bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments g shield copper.bti","attachments g shield copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments g shield iron.bti","attachments g shield iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments mu x automaton.bti","attachments mu x automaton","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield bronze.bti","attachments n shield bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield cinepirateship map.bti","attachments n shield cinepirateship map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield copper.bti","attachments n shield copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield iron.bti","attachments n shield iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield champion.bti","attachments x shield champion","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield heavy.bti","attachments x shield heavy","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield hero.bti","attachments x shield hero","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield medium.bti","attachments x shield medium","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c accessories.bti","building c accessories","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c earthen wall.bti","building c earthen wall","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c fortified wall.bti","building c fortified wall","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c great wall.bti","building c great wall","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c props.bti","building c props","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c roofage1.bti","building c roofage1","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c roofage2.bti","building c roofage2","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c roofage3.bti","building c roofage3","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c roofage4.bti","building c roofage4","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c special.bti","building c special","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c stone wall.bti","building c stone wall","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c titan gate door map.bti","building c titan gate door map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c titan gate rocks.bti","building c titan gate rocks","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c tower age2.bti","building c tower age2","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c tower age3.bti","building c tower age3","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c tower age4.bti","building c tower age4","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage1.bti","building c wallsage1","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage2.bti","building c wallsage2","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage3.bti","building c wallsage3","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage4.bti","building c wallsage4","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city floor.bti","building c wonder city floor","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city roof.bti","building c wonder city roof","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city walls.bti","building c wonder city walls","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace floor.bti","building c wonder palace floor","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace roof.bti","building c wonder palace roof","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace walls.bti","building c wonder palace walls","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building c wonder temple.bti","building c wonder temple","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age1.bti","building e age1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age2 accessories burnt.bti","building e age2 accessories burnt","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age2 burnt.bti","building e age2 burnt","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age2 wall.bti","building e age2 wall","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age2.bti","building e age2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age3 accessories.bti","building e age3 accessories","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age3.bti","building e age3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age3a accessories.bti","building e age3a accessories","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age4 accessories.bti","building e age4 accessories","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age4.bti","building e age4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e age4roof.bti","building e age4roof","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e fortress accessories.bti","building e fortress accessories","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e fortress accessories02.bti","building e fortress accessories02","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e fortress.bti","building e fortress","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder01.bti","building e isis wonder01","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder02.bti","building e isis wonder02","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder03.bti","building e isis wonder03","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e lighthouse.bti","building e lighthouse","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e monument platforms.bti","building e monument platforms","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e monument1.bti","building e monument1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e monument2.bti","building e monument2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e monument3.bti","building e monument3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e monument4.bti","building e monument4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e obelisk.bti","building e obelisk","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e outpost.bti","building e outpost","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder01.bti","building e ra wonder01","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder02.bti","building e ra wonder02","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder01.bti","building e set wonder01","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder02.bti","building e set wonder02","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder03.bti","building e set wonder03","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age1.bti","building e settlement age1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age2.bti","building e settlement age2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age3.bti","building e settlement age3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age4.bti","building e settlement age4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e shared01 2 map.bti","building e shared01 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e shared01 3 map.bti","building e shared01 3 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e shared02 2 map.bti","building e shared02 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e shrine.bti","building e shrine","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate map.bti","building e titan gate map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate rocks.bti","building e titan gate rocks","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e wall4.bti","building e wall4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building e wonder accessories.bti","building e wonder accessories","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g age0.bti","building g age0","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g fortifiedwall.bti","building g fortifiedwall","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g fortress.bti","building g fortress","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g fortressroof.bti","building g fortressroof","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall.bti","building g fortresswall","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall2.bti","building g fortresswall2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g hades wonder.bti","building g hades wonder","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g roofage1.bti","building g roofage1","alpha=1 noalphatest fmt=BC3"
