"RelativePath","Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"textures\archer x iron.tga","archer x iron.tga",,"64","64","1","BC3",,"3",,
"textures\archer x standard.tga","archer x standard.tga",,"64","64","1","BC3",,"3",,
"textures\athenamap.tga","athenamap.tga",,"256","256","1","BC3",,"3",,
"textures\attachment c halberd head bronze.tga","attachment c halberd head bronze.tga",,"32","32","4","BC3",,"1",,
"textures\attachment c halberd head copper.tga","attachment c halberd head copper.tga",,"32","32","4","BC3",,"1",,
"textures\attachment c halberd head iron.tga","attachment c halberd head iron.tga",,"32","32","4","BC3",,"1",,
"textures\attachment c halberd head standard.tga","attachment c halberd head standard.tga",,"32","32","4","BC3",,"1",,
"textures\attachments a axe map.tga","attachments a axe map.tga",,"32","32","1","BC3",,"1",,
"textures\attachments a club.tga","attachments a club.tga",,"32","16","0","BC3",,"1",,
"textures\attachments a shields map.tga","attachments a shields map.tga",,"128","128","1","BC3",,"3",,
"textures\attachments a shovel.tga","attachments a shovel.tga",,"64","8","1","BC3",,"1",,
"textures\attachments a skeleton.tga","attachments a skeleton.tga",,"64","64","0","BC3",,"1",,
"textures\attachments a sling.tga","attachments a sling.tga",,"64","32","0","BC3",,"1",,
"textures\attachments c fire lance.tga","attachments c fire lance.tga",,"64","128","4","BC3",,"1",,
"textures\attachments c flag naval.tga","attachments c flag naval.tga",,"64","32","4","BC3",,"14",,
"textures\attachments c halberd bronze.tga","attachments c halberd bronze.tga",,"128","16","4","BC3",,"1",,
"textures\attachments c halberd copper.tga","attachments c halberd copper.tga",,"128","16","4","BC3",,"1",,
"textures\attachments c halberd iron.tga","attachments c halberd iron.tga",,"128","16","4","BC3",,"1",,
"textures\attachments c halberd standard.tga","attachments c halberd standard.tga",,"128","16","4","BC3",,"1",,
"textures\attachments c sword jiaolong.tga","attachments c sword jiaolong.tga",,"32","16","4","BC3",,"1",,
"textures\attachments e shield bronze.tga","attachments e shield bronze.tga",,"128","64","1","BC3",,"3",,
"textures\attachments e shield copper.tga","attachments e shield copper.tga",,"128","64","1","BC3",,"3",,
"textures\attachments e shield iron.tga","attachments e shield iron.tga",,"128","64","1","BC3",,"3",,
"textures\attachments g polyphemus club.tga","attachments g polyphemus club.tga",,"32","32","0","BC3",,"1",,
"textures\attachments g shield bronze.tga","attachments g shield bronze.tga",,"128","64","1","BC3",,"3",,
"textures\attachments g shield copper.tga","attachments g shield copper.tga",,"128","64","1","BC3",,"3",,
"textures\attachments g shield iron.tga","attachments g shield iron.tga",,"128","64","1","BC3",,"3",,
"textures\attachments mu x automaton.tga","attachments mu x automaton.tga",,"64","64","1","BC3",,"3",,
"textures\attachments n shield bronze.tga","attachments n shield bronze.tga",,"128","64","1","BC3",,"3",,
"textures\attachments n shield cinepirateship map.tga","attachments n shield cinepirateship map.tga",,"64","64","1","BC3",,"1",,
"textures\attachments n shield copper.tga","attachments n shield copper.tga",,"128","64","1","BC3",,"3",,
"textures\attachments n shield iron.tga","attachments n shield iron.tga",,"128","64","1","BC3",,"3",,
"textures\attachments x shield champion.tga","attachments x shield champion.tga",,"128","64","1","BC3",,"3",,
"textures\attachments x shield heavy.tga","attachments x shield heavy.tga",,"128","64","1","BC3",,"3",,
"textures\attachments x shield hero.tga","attachments x shield hero.tga",,"128","64","1","BC3",,"3",,
"textures\attachments x shield medium.tga","attachments x shield medium.tga",,"128","64","1","BC3",,"3",,
"textures\building c accessories.tga","building c accessories.tga",,"256","256","1","BC3",,"95",,
"textures\building c earthen wall.tga","building c earthen wall.tga",,"256","256","4","BC3",,"2",,
"textures\building c fortified wall.tga","building c fortified wall.tga",,"256","256","4","BC3",,"2",,
"textures\building c great wall.tga","building c great wall.tga",,"256","256","4","BC3",,"2",,
"textures\building c props.tga","building c props.tga",,"256","256","4","BC3",,"69",,
"textures\building c roofage1.tga","building c roofage1.tga",,"256","256","4","BC3",,"1",,
"textures\building c roofage2.tga","building c roofage2.tga",,"256","256","4","BC3",,"1",,
"textures\building c roofage3.tga","building c roofage3.tga",,"256","256","4","BC3",,"1",,
"textures\building c roofage4.tga","building c roofage4.tga",,"256","256","4","BC3",,"1",,
"textures\building c special.tga","building c special.tga",,"256","256","4","BC3",,"1",,
"textures\building c stone wall.tga","building c stone wall.tga",,"256","256","4","BC3",,"2",,
"textures\building c titan gate door map.tga","building c titan gate door map.tga",,"128","128","1","BC3",,"135",,
"textures\building c titan gate rocks.tga","building c titan gate rocks.tga",,"128","128","4","BC3",,"1",,
"textures\building c tower age2.tga","building c tower age2.tga",,"256","256","4","BC3",,"2",,
"textures\building c tower age3.tga","building c tower age3.tga",,"256","256","4","BC3",,"2",,
"textures\building c tower age4.tga","building c tower age4.tga",,"256","256","4","BC3",,"2",,
"textures\building c wallsage1.tga","building c wallsage1.tga",,"256","256","4","BC3",,"11",,
"textures\building c wallsage2.tga","building c wallsage2.tga",,"256","256","4","BC3",,"11",,
"textures\building c wallsage3.tga","building c wallsage3.tga",,"256","256","4","BC3",,"11",,
"textures\building c wallsage4.tga","building c wallsage4.tga",,"256","256","4","BC3",,"11",,
"textures\building c wonder city floor.tga","building c wonder city floor.tga",,"256","256","4","BC3",,"1",,
"textures\building c wonder city roof.tga","building c wonder city roof.tga",,"256","256","4","BC3",,"1",,
"textures\building c wonder city walls.tga","building c wonder city walls.tga",,"256","256","4","BC3",,"1",,
"textures\building c wonder palace floor.tga","building c wonder palace floor.tga",,"256","256","4","BC3",,"1",,
"textures\building c wonder palace roof.tga","building c wonder palace roof.tga",,"256","256","4","BC3",,"1",,
"textures\building c wonder palace walls.tga","building c wonder palace walls.tga",,"256","256","4","BC3",,"11",,
"textures\building c wonder temple.tga","building c wonder temple.tga",,"256","256","4","BC3",,"2",,
"textures\building e age1.tga","building e age1.tga",,"256","256","1","BC3",,"3",,
"textures\building e age2 accessories burnt.tga","building e age2 accessories burnt.tga",,"256","256","1","BC3",,"2",,
"textures\building e age2 burnt.tga","building e age2 burnt.tga",,"256","256","1","BC3",,"2",,
"textures\building e age2 wall.tga","building e age2 wall.tga",,"256","256","1","BC3",,"3",,
"textures\building e age2.tga","building e age2.tga",,"256","256","1","BC3",,"2",,
"textures\building e age3 accessories.tga","building e age3 accessories.tga",,"256","256","1","BC3",,"2",,
"textures\building e age3.tga","building e age3.tga",,"256","256","1","BC3",,"3",,
"textures\building e age3a accessories.tga","building e age3a accessories.tga",,"256","256","1","BC3",,"1",,
"textures\building e age4 accessories.tga","building e age4 accessories.tga",,"256","256","1","BC3",,"1",,
"textures\building e age4.tga","building e age4.tga",,"256","256","1","BC3",,"2",,
"textures\building e age4roof.tga","building e age4roof.tga",,"256","256","1","BC3",,"1",,
"textures\building e fortress accessories.tga","building e fortress accessories.tga",,"256","256","4","BC3",,"31",,
"textures\building e fortress accessories02.tga","building e fortress accessories02.tga",,"256","256","4","BC3",,"1",,
"textures\building e fortress.tga","building e fortress.tga",,"256","256","4","BC3",,"1",,
"textures\building e isis wonder01.tga","building e isis wonder01.tga",,"256","256","1","BC3",,"2",,
"textures\building e isis wonder02.tga","building e isis wonder02.tga",,"256","256","1","BC3",,"2",,
"textures\building e isis wonder03.tga","building e isis wonder03.tga",,"256","256","1","BC3",,"1",,
"textures\building e lighthouse.tga","building e lighthouse.tga",,"256","256","1","BC3",,"2",,
"textures\building e monument platforms.tga","building e monument platforms.tga",,"256","256","1","BC3",,"2",,
"textures\building e monument1.tga","building e monument1.tga",,"128","128","1","BC3",,"1",,
"textures\building e monument2.tga","building e monument2.tga",,"128","128","1","BC3",,"1",,
"textures\building e monument3.tga","building e monument3.tga",,"128","128","1","BC3",,"1",,
"textures\building e monument4.tga","building e monument4.tga",,"256","256","1","BC3",,"1",,
"textures\building e obelisk.tga","building e obelisk.tga",,"256","128","1","BC3",,"3",,
"textures\building e outpost.tga","building e outpost.tga",,"256","256","1","BC3",,"2",,
"textures\building e ra wonder01.tga","building e ra wonder01.tga",,"256","256","1","BC3",,"1",,
"textures\building e ra wonder02.tga","building e ra wonder02.tga",,"256","256","1","BC3",,"2",,
"textures\building e set wonder01.tga","building e set wonder01.tga",,"256","256","1","BC3",,"1",,
"textures\building e set wonder02.tga","building e set wonder02.tga",,"256","256","1","BC3",,"2",,
"textures\building e set wonder03.tga","building e set wonder03.tga",,"256","256","1","BC3",,"1",,
"textures\building e settlement age1.tga","building e settlement age1.tga",,"256","256","1","BC3",,"3",,
"textures\building e settlement age2.tga","building e settlement age2.tga",,"256","256","1","BC3",,"2",,
"textures\building e settlement age3.tga","building e settlement age3.tga",,"256","256","1","BC3",,"3",,
"textures\building e settlement age4.tga","building e settlement age4.tga",,"256","256","1","BC3",,"2",,
"textures\building e shared01 2 map.tga","building e shared01 2 map.tga",,"256","256","1","BC3",,"2",,
"textures\building e shared01 3 map.tga","building e shared01 3 map.tga",,"256","256","1","BC3",,"3",,
"textures\building e shared02 2 map.tga","building e shared02 2 map.tga",,"256","256","1","BC3",,"2",,
"textures\building e shrine.tga","building e shrine.tga",,"256","256","1","BC3",,"3",,
"textures\building e titan gate map.tga","building e titan gate map.tga",,"256","256","1","BC3",,"2",,
"textures\building e titan gate rocks.tga","building e titan gate rocks.tga",,"128","128","1","BC3",,"1",,
"textures\building e wall4.tga","building e wall4.tga",,"256","256","1","BC3",,"2",,
"textures\building e wonder accessories.tga","building e wonder accessories.tga",,"256","256","4","BC3",,"30",,
"textures\building g age0.tga","building g age0.tga",,"256","256","1","BC3",,"2",,
"textures\building g fortifiedwall.tga","building g fortifiedwall.tga",,"256","256","1","BC3",,"2",,
"textures\building g fortress.tga","building g fortress.tga",,"256","256","1","BC3",,"2",,
"textures\building g fortressroof.tga","building g fortressroof.tga",,"256","256","1","BC3",,"2",,
"textures\building g fortresswall.tga","building g fortresswall.tga",,"256","256","1","BC3",,"2",,
"textures\building g fortresswall2.tga","building g fortresswall2.tga",,"256","256","1","BC3",,"1",,
"textures\building g hades wonder.tga","building g hades wonder.tga",,"256","256","1","BC3",,"2",,
"textures\building g roofage1.tga","building g roofage1.tga",,"256","256","1","BC3",,"2",,
"textures\building g settlementage1.tga","building g settlementage1.tga",,"256","256","1","BC3",,"2",,
"textures\building g settlementage2.tga","building g settlementage2.tga",,"256","256","1","BC3",,"2",,
"textures\building g settlementage3.tga","building g settlementage3.tga",,"256","256","1","BC3",,"2",,
"textures\building g shared05 2 map.tga","building g shared05 2 map.tga",,"256","256","1","BC3",,"2",,
"textures\building g shrine.tga","building g shrine.tga",,"256","256","1","BC3",,"2",,
"textures\building g temple statues map.tga","building g temple statues map.tga",,"256","256","0","BC3",,"1",,
"textures\building g temple.tga","building g temple.tga",,"256","256","1","BC3",,"2",,
"textures\building g templeage1.tga","building g templeage1.tga",,"256","256","1","BC3",,"2",,
"textures\building g templeage2.tga","building g templeage2.tga",,"256","256","1","BC3",,"2",,
"textures\building g titan gate door map.tga","building g titan gate door map.tga",,"128","128","1","BC3",,"3",,
"textures\building g titan gate map.tga","building g titan gate map.tga",,"256","256","1","BC3",,"3",,
"textures\building g titan gate rocks.tga","building g titan gate rocks.tga",,"128","128","1","BC3",,"1",,
"textures\building g towers.tga","building g towers.tga",,"256","256","1","BC3",,"2",,
"textures\building g wallsage1.tga","building g wallsage1.tga",,"256","256","1","BC3",,"2",,
"textures\building g wallsage2.tga","building g wallsage2.tga",,"256","256","1","BC3",,"2",,
"textures\building g wallsage3.tga","building g wallsage3.tga",,"256","256","1","BC3",,"2",,
"textures\building g wonder destructed.tga","building g wonder destructed.tga",,"256","256","0","BC3",,"1",,
"textures\building g wonder.tga","building g wonder.tga",,"256","256","1","BC3",,"2",,
"textures\building g zues wonder01.tga","building g zues wonder01.tga",,"256","256","1","BC3",,"2",,
"textures\building n hillfort.tga","building n hillfort.tga",,"256","256","1","BC3",,"3",,
"textures\building n loki wonder02.tga","building n loki wonder02.tga",,"256","256","1","BC3",,"3",,
"textures\building n odin wonder01.tga","building n odin wonder01.tga",,"256","256","1","BC3",,"3",,
"textures\building n settlementage1.tga","building n settlementage1.tga",,"256","256","1","BC3",,"2",,
"textures\building n settlementage2.tga","building n settlementage2.tga",,"256","256","1","BC3",,"2",,
"textures\building n settlementage3.tga","building n settlementage3.tga",,"256","256","1","BC3",,"2",,
"textures\building n settlementage4.tga","building n settlementage4.tga",,"256","256","1","BC3",,"3",,
"textures\building n shared01 1 map.tga","building n shared01 1 map.tga",,"256","256","1","BC3",,"2",,
"textures\building n shared01 2 map.tga","building n shared01 2 map.tga",,"256","256","1","BC3",,"3",,
"textures\building n shared01 3 map.tga","building n shared01 3 map.tga",,"256","256","1","BC3",,"2",,
"textures\building n shared02 2 map.tga","building n shared02 2 map.tga",,"256","256","1","BC3",,"3",,
"textures\building n shared03 2 map.tga","building n shared03 2 map.tga",,"256","256","1","BC3",,"3",,
"textures\building n shared04 2 map.tga","building n shared04 2 map.tga",,"256","256","1","BC3",,"3",,
"textures\building n shared06 2 map.tga","building n shared06 2 map.tga",,"256","256","1","BC3",,"2",,
"textures\building n shrine.tga","building n shrine.tga",,"128","128","1","BC3",,"3",,
"textures\building n temple.tga","building n temple.tga",,"256","256","1","BC3",,"3",,
"textures\building n templeage1.tga","building n templeage1.tga",,"256","256","1","BC3",,"2",,
"textures\building n templeage2.tga","building n templeage2.tga",,"256","256","1","BC3",,"2",,
"textures\building n templeage3.tga","building n templeage3.tga",,"256","256","1","BC3",,"2",,
"textures\building n thorarmory.tga","building n thorarmory.tga",,"256","256","1","BC3",,"2",,
"textures\building n thorarmory1.tga","building n thorarmory1.tga",,"256","256","1","BC3",,"1",,
"textures\building n titan gate map.tga","building n titan gate map.tga",,"256","256","1","BC3",,"3",,
"textures\building n titan gate rocks.tga","building n titan gate rocks.tga",,"128","128","1","BC3",,"1",,
"textures\building n tower.tga","building n tower.tga",,"256","128","1","BC3",,"3",,
"textures\building n wallage4.tga","building n wallage4.tga",,"256","256","1","BC3",,"3",,
"textures\building n wonder.tga","building n wonder.tga",,"256","256","1","BC3",,"3",,
"textures\building x mirror tower.tga","building x mirror tower.tga",,"256","128","1","BC3",,"3",,
"textures\building x palace age2.tga","building x palace age2.tga",,"256","256","1","BC3",,"2",,
"textures\building x palace age3.tga","building x palace age3.tga",,"256","256","1","BC3",,"2",,
"textures\building x roof age0.tga","building x roof age0.tga",,"256","256","1","BC3",,"2",,
"textures\building x roof age1.tga","building x roof age1.tga",,"256","256","1","BC3",,"2",,
"textures\building x sky temple roof.tga","building x sky temple roof.tga",,"128","128","0","BC3",,"1",,
"textures\building x sky temple.tga","building x sky temple.tga",,"256","256","1","BC3",,"3",,
"textures\building x temple age0.tga","building x temple age0.tga",,"256","256","1","BC3",,"3",,
"textures\building x titangate.tga","building x titangate.tga",,"256","256","1","BC3",,"2",,
"textures\building x tower watch2.tga","building x tower watch2.tga",,"256","256","1","BC3",,"2",,
"textures\building x tower watch3.tga","building x tower watch3.tga",,"256","256","1","BC3",,"2",,
"textures\building x tower watch4.tga","building x tower watch4.tga",,"256","256","1","BC3",,"2",,
"textures\building x wall age2.tga","building x wall age2.tga",,"256","256","1","BC3",,"3",,
"textures\building x wall bronze.tga","building x wall bronze.tga",,"256","256","1","BC3",,"2",,
"textures\building x wall iron.tga","building x wall iron.tga",,"256","256","1","BC3",,"2",,
"textures\building x wall oreichalkos.tga","building x wall oreichalkos.tga",,"256","256","1","BC3",,"2",,
"textures\building x wall stone.tga","building x wall stone.tga",,"256","256","1","BC3",,"2",,
"textures\building_e_monumentbase_map.tga","building_e_monumentbase_map.tga",,"256","256","1","BC3",,"2",,
"textures\butterfly.tga","butterfly.tga",,"32","32","1","BC3",,"3",,
"textures\cavalry c cataphract bronze.tga","cavalry c cataphract bronze.tga",,"64","64","4","BC3",,"101",,
"textures\cavalry c cataphract copper.tga","cavalry c cataphract copper.tga",,"64","64","4","BC3",,"79",,
"textures\cavalry c cataphract head bronze.tga","cavalry c cataphract head bronze.tga",,"32","32","4","BC3",,"18",,
"textures\cavalry c cataphract head copper.tga","cavalry c cataphract head copper.tga",,"32","32","4","BC3",,"18",,
"textures\cavalry c cataphract head iron.tga","cavalry c cataphract head iron.tga",,"32","32","4","BC3",,"18",,
"textures\cavalry c cataphract head standard.tga","cavalry c cataphract head standard.tga",,"32","32","4","BC3",,"18",,
"textures\cavalry c cataphract horse bronze.tga","cavalry c cataphract horse bronze.tga",,"128","128","4","BC3",,"77",,
"textures\cavalry c cataphract horse copper.tga","cavalry c cataphract horse copper.tga",,"128","128","4","BC3",,"77",,
"textures\cavalry c cataphract horse iron.tga","cavalry c cataphract horse iron.tga",,"128","128","4","BC3",,"77",,
"textures\cavalry c cataphract horse standard.tga","cavalry c cataphract horse standard.tga",,"128","128","4","BC3",,"77",,
"textures\cavalry c cataphract iron.tga","cavalry c cataphract iron.tga",,"64","64","4","BC3",,"101",,
"textures\cavalry c cataphract standard.tga","cavalry c cataphract standard.tga",,"64","64","4","BC3",,"96",,
"textures\cavalry c chariot bronze.tga","cavalry c chariot bronze.tga",,"128","128","4","BC3",,"78",,
"textures\cavalry c chariot copper.tga","cavalry c chariot copper.tga",,"128","128","4","BC3",,"78",,
"textures\cavalry c chariot horse bronze.tga","cavalry c chariot horse bronze.tga",,"256","256","4","BC3",,"145",,
"textures\cavalry c chariot horse iron.tga","cavalry c chariot horse iron.tga",,"256","256","4","BC3",,"145",,
"textures\cavalry c chariot horse standard.tga","cavalry c chariot horse standard.tga",,"128","128","4","BC3",,"111",,
"textures\cavalry c chariot iron.tga","cavalry c chariot iron.tga",,"128","128","4","BC3",,"78",,
"textures\cavalry c chariot standard.tga","cavalry c chariot standard.tga",,"128","128","4","BC3",,"78",,
"textures\cavalry c charioteer bronze.tga","cavalry c charioteer bronze.tga",,"256","256","4","BC3",,"188",,
"textures\cavalry c charioteer iron.tga","cavalry c charioteer iron.tga",,"256","256","4","BC3",,"194",,
"textures\cavalry c charioteer standard.tga","cavalry c charioteer standard.tga",,"256","256","4","BC3",,"190",,
"textures\cavalry c scout bronze.tga","cavalry c scout bronze.tga",,"64","64","4","BC3",,"96",,
"textures\cavalry c scout copper.tga","cavalry c scout copper.tga",,"64","64","4","BC3",,"84",,
