"MaterialFile","Texture","SecondaryTexture","SameBitmap"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsa_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsa_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsb_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsb_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsc_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_bitsc_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_death_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_death_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_idle_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_idle_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_idleb_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_idleb_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_throw_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_throw_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_walka_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_walka_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_whirlwindattack_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n kraken_whirlwindattack_1.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n longboat_specialdeatha_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval n transport_specialdeatha_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval x fishing_specialdeatha_1.mtrl.xml","naval n kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval x transport_specialdeatha_2.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\sfx e ancestors_specialdeatha_0.mtrl.xml","Naval N Kraken","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval x bireme_specialdeatha_0.mtrl.xml","Naval N Kraken map","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval x fire ship_specialdeatha_0.mtrl.xml","Naval N Kraken map","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\naval x siege ship_specialdeatha_0.mtrl.xml","Naval N Kraken map","SFX A Shiny Water.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\sfx a implode_birth_0.mtrl.xml","SFX A Implode","sfx A Implode Environment.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\sfx a implode_death_0.mtrl.xml","SFX A Implode","sfx A Implode Environment.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\sfx a implode_grow_0.mtrl.xml","SFX A Implode","sfx A Implode Environment.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_attacka_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_birtha_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_boreda_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_deatha_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_flaila_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_idlea_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special e scarab_walka_1.mtrl.xml","Special E Scarab map","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_attacka_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_attacka_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_birtha_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_birtha_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_boreda_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_boreda_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_bucka_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_bucka_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_death_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_death_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_deatha_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_deatha_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_flaila_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_flaila_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_idlea_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_idlea_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_runa_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_runa_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_specialattack_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_specialattack_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_specialattacka_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_specialattacka_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walka_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walka_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walkb_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walkb_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walkc_0.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
"D:\AI_upscaling\AoMEE\reports\materials_xml\special n battle boar_walkc_1.mtrl.xml","Special N Battle Boar","SFX Shinygold map.cub","False"
