"MaterialFile","Texture","ColorTransform","PixelXForm"
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_6.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_7.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_0.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_1.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_2.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_3.mtrl.xml","Animal Bearlaser beam map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_4.mtrl.xml","Animal Bearlaser cape map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_5.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_0.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_1.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_2.mtrl.xml","Animal Bearlaser beam map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_3.mtrl.xml","Animal Bearlaser cape map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_4.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_5.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_0.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_1.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_2.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_0.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_1.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_2.mtrl.xml","Animal Bearlaser beam map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_3.mtrl.xml","Animal Bearlaser cape map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_4.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_5.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_0.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_1.mtrl.xml","Animal Monkey map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_2.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_3.mtrl.xml","Animal Bearlaser map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_4.mtrl.xml","Animal Bearlaser beam map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_5.mtrl.xml","Animal Bearlaser cape map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_attacka_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_attacka_1.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boreda_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boreda_1.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boredb_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boredb_1.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_deatha_1.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_flaila_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_idlea_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_walka_0.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_walka_1.mtrl.xml","Animal Bear map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_attacka_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_boreda_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_deatha_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_flaila_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_flail_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_idlea_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_runa_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bella_walka_0.mtrl.xml","BELLA","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_attacka_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_attacka_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_attack_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_attack_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_boreda_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_boreda_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carrybored_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carrybored_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carryidle_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carryidle_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carry_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_carry_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_deatha_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_deatha_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_flail_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_flail_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_idlea_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_idlea_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_walka_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_walka_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_walk_0.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal boar_walk_1.mtrl.xml","Animal Boar map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal buck antlers_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou antlers_0.mtrl.xml","Animal Caribou Antlers map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_attacka_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_attacka_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_attackb_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_attackb_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boreda_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boreda_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boredb_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boredb_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boredc_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_boredc_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_deatha_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_deatha_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_flaila_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_flaila_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_idlea_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_idlea_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_runa_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_runa_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_runb_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_runb_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_walka_0.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal caribou_walka_1.mtrl.xml","Animal Caribou map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_boreda_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_boredb_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_deatha_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_idlea_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_idleb_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal chicken_walka_0.mtrl.xml","Animal Chicken map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow horns_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boreda_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredb_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_boredc_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_deatha_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_flaila_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_flaila_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_idlea_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_runa_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_0.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_1.mtrl.xml","Animal Cow A map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal cow_walka_2.mtrl.xml","Animal Cow A map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_attacka_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_boreda_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_deatha_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_flaila_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_idlea_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crocodile_walka_0.mtrl.xml","Animal Crocodile Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_attacka_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_attacka_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_attackb_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_attackb_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_boreda_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_boreda_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_boredb_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_boredb_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_deatha_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_deatha_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_flaila_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_flaila_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_idlea_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_idlea_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_runa_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_runa_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_walka_0.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal crowned crane_walka_1.mtrl.xml","Animal Crowned Crane Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_attacka_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_attackb_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_boreda_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_boredb_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_boredc_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_deatha_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_flaila_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_runa_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_runb_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal doe_walka_0.mtrl.xml","Animal Deer map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_attacka_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_boreda_0.mtrl.xml","animal dog a map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_boredb_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_boredc_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_deatha_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_flaila_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_idlea_0.mtrl.xml","animal dog a map","4",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal dog_walka_0.mtrl.xml","animal dog a map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal duck_deatha_0.mtrl.xml","animal duck map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal duck_idlea_0.mtrl.xml","animal duck map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal duck_idleb_0.mtrl.xml","animal duck map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal duck_walka_0.mtrl.xml","animal duck map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal eagle_walka_0.mtrl.xml","animal eagle map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_attacka_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_boreda_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_deatha_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_flaila_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_idlea_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant indian_walka_0.mtrl.xml","animal elephant indian","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_attacka_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_attacka_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_boreda_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_boreda_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_deatha_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_deatha_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_flaila_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_flaila_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_idlea_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_idlea_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_walka_0.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elephant_walka_1.mtrl.xml","Animal Elephant Map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elk antlers_0.mtrl.xml","Animal Elk map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elk_attacka_0.mtrl.xml","Animal Elk map","0",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal elk_attackb_0.mtrl.xml","Animal Elk map","0",""
