"Texture","MaterialUses","CT0Uses","CT4Uses","OtherCTUses","BTI_AlphaBits","BTI_Format","BTI_File"
"Archer G Toxotes Iron","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes iron.bti"
"Archer G Toxotes Standard","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes standard.bti"
"Archer N Normal Head Standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal head standard.bti"
"Archer N Normal Standard","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer n normal standard.bti"
"Archer N Throwing Axeman Standard","14","7","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman standard.bti"
"Archer X Iron","36","19","17","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\archer x iron.bti"
"Attachments A Shields map","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments a shields map.bti"
"attachments c flag naval","2","0","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments c flag naval.bti"
"Attachments E Shield Copper","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments e shield copper.bti"
"Attachments G Shield Copper","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments g shield copper.bti"
"Attachments MU X Automaton","58","44","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments mu x automaton.bti"
"Attachments N Shield Copper","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield copper.bti"
"Attachments N Shield Iron","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield iron.bti"
"Attachments X Shield Medium","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield medium.bti"
"building c accessories","42","34","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c accessories.bti"
"building c earthen wall","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c earthen wall.bti"
"building c fortified wall","18","1","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c fortified wall.bti"
"building c great wall","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c great wall.bti"
"building c roofage1","47","1","46","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c roofage1.bti"
"building c special","22","10","12","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c special.bti"
"building c stone wall","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c stone wall.bti"
"building c titan gate door map","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c titan gate door map.bti"
"building c tower age2","8","0","8","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c tower age2.bti"
"building c wallsage1","43","0","43","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wallsage1.bti"
"building c wonder city roof","2","0","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city roof.bti"
"building c wonder city walls","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder city walls.bti"
"building c wonder palace roof","2","0","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace roof.bti"
"building c wonder palace walls","2","0","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder palace walls.bti"
"building c wonder temple","4","0","4","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building c wonder temple.bti"
"Building E Age1","78","42","36","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e age1.bti"
"Building E Age2","100","53","47","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e age2.bti"
"building E Age2 wall","60","28","32","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 wall.bti"
"Building E Age3","197","101","96","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e age3.bti"
"building E Age4","121","61","60","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e age4.bti"
"building E Fortress Accessories","10","6","4","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e fortress accessories.bti"
"building E Isis Wonder01","7","4","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder01.bti"
"building E Isis Wonder02","7","4","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder02.bti"
"Building E Lighthouse","9","4","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e lighthouse.bti"
"building E Monument platforms","29","16","13","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e monument platforms.bti"
"Building E Obelisk","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e obelisk.bti"
"building E Outpost","10","5","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e outpost.bti"
"building E Ra Wonder02","10","5","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder02.bti"
"building E Set Wonder02","6","4","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder02.bti"
"building E Settlement Age1","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age1.bti"
"building E Settlement Age2","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age2.bti"
"building E Settlement Age3","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age3.bti"
"building E Settlement Age4","14","7","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age4.bti"
"Building E shared02 2 map","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e shared02 2 map.bti"
"Building E Titan Gate Map","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate map.bti"
"Building E Wall4","56","28","28","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building e wall4.bti"
"Building G Age0","62","36","26","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g age0.bti"
"Building G Fortifiedwall","36","3","33","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g fortifiedwall.bti"
"Building G FortressWall","18","10","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall.bti"
"Building G Hades Wonder","11","6","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g hades wonder.bti"
"Building G RoofAge1","60","56","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g roofage1.bti"
"Building G SettlementAge1","29","21","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage1.bti"
"Building G SettlementAge2","33","22","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage2.bti"
"Building G SettlementAge3","31","19","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage3.bti"
"Building G Shared05 2 map","56","28","28","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g shared05 2 map.bti"
"Building G Shrine","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g shrine.bti"
"Building G Temple","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g temple.bti"
"Building G TempleAge1","13","7","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage1.bti"
"Building G TempleAge2","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage2.bti"
"Building G Titan Gate Door Map","10","4","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate door map.bti"
"Building G Towers","40","20","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g towers.bti"
"Building G WallsAge1","70","37","33","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage1.bti"
"Building G WallsAge2","101","51","50","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage2.bti"
"Building G WallsAge3","62","35","27","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage3.bti"
"Building G Wonder","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g wonder.bti"
"Building G Zues Wonder01","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building g zues wonder01.bti"
"Building N Hillfort","18","10","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n hillfort.bti"
"Building N Loki Wonder02","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n loki wonder02.bti"
"Building N Odin Wonder01","10","4","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n odin wonder01.bti"
"Building N SettlementAge1","14","11","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage1.bti"
"Building N SettlementAge2","14","10","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage2.bti"
"Building N SettlementAge3","25","17","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage3.bti"
"Building N SettlementAge4","21","14","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage4.bti"
"Building N Shared01 1 map","36","18","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 1 map.bti"
"Building N Shared01 2 map","56","34","22","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 2 map.bti"
"Building N Shared01 3 map","61","36","25","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 3 map.bti"
"Building N Shared02 2 map","8","5","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared02 2 map.bti"
"Building N Shared04 2 map","37","25","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared04 2 map.bti"
"Building N Shared06 2 map","71","31","40","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shared06 2 map.bti"
"Building N Shrine","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n shrine.bti"
"Building N TempleAge1","7","3","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage1.bti"
"Building N TempleAge2","7","4","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage2.bti"
"Building N TempleAge3","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage3.bti"
"Building N ThorArmory","11","7","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory.bti"
"Building N Titan Gate Map","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n titan gate map.bti"
"Building N Tower","22","12","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n tower.bti"
"Building N WallAge4","63","36","27","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n wallage4.bti"
"Building N Wonder","11","6","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building n wonder.bti"
"Building X Mirror Tower","14","7","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x mirror tower.bti"
"Building X Palace Age2","4","1","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age2.bti"
"Building X Palace Age3","5","1","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age3.bti"
"Building X Roof Age0","69","41","28","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age0.bti"
"Building X Roof Age1","100","46","54","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age1.bti"
"Building X Sky Temple","10","5","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x sky temple.bti"
"Building X Temple age0","4","0","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x temple age0.bti"
"Building x TitanGate","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x titangate.bti"
"building x tower watch2","17","9","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch2.bti"
"Building X Tower Watch3","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch3.bti"
"Building X Wall Age2","110","57","53","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x wall age2.bti"
"Building X Wall Bronze","45","20","20","5","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x wall bronze.bti"
"Building X Wall Iron","40","20","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x wall iron.bti"
"Building X Wall Oreichalkos","40","21","19","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x wall oreichalkos.bti"
"building x wall stone","44","20","20","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building x wall stone.bti"
"Building_E_MonumentBase_Map","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\building_e_monumentbase_map.bti"
"cavalry c cataphract head copper","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head copper.bti"
"cavalry c cataphract head iron","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head iron.bti"
"cavalry c cataphract head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head standard.bti"
"cavalry c cataphract horse standard","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract horse standard.bti"
"cavalry c cataphract standard","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract standard.bti"
"cavalry c chariot horse standard","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse standard.bti"
"cavalry c chariot standard","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot standard.bti"
"cavalry c charioteer standard","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c charioteer standard.bti"
"cavalry c scout head copper","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head copper.bti"
"cavalry c scout head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head standard.bti"
"cavalry c scout horse standard","16","0","16","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout horse standard.bti"
"cavalry c scout standard","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout standard.bti"
"Cavalry E Camelry Camel Copper","14","7","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel copper.bti"
"Cavalry E Camelry Copper","13","6","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry copper.bti"
"cavalry e chariot archer copper","11","5","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot archer copper.bti"
"Cavalry E Chariot Horse Map","9","4","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot horse map.bti"
"Cavalry E Mercenary Horse Standard","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e mercenary horse standard.bti"
"Cavalry E War Elephant Copper","18","12","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant copper.bti"
"Cavalry G Cataphract Head Iron","44","22","11","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract head iron.bti"
"Cavalry G Cataphract Horse Iron","20","9","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract horse iron.bti"
"Cavalry G Cataphract Iron","44","22","11","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract iron.bti"
"Cavalry G Hetairoi Horse Iron","17","8","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi horse iron.bti"
"Cavalry G Hetairoi Iron","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi iron.bti"
"Cavalry G Hippikon Head Bronze","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head bronze.bti"
"Cavalry G Hippikon Head Copper","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head copper.bti"
"Cavalry G Hippikon Head Iron","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head iron.bti"
"Cavalry G Hippikon Horse Standard","17","9","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse standard.bti"
"Cavalry G Hippikon Standard","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon standard.bti"
"Cavalry G Prodromos Horse Standard","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse standard.bti"
"Cavalry G Prodromos Standard","17","9","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos standard.bti"
"Cavalry G Scout Horse","24","12","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g scout horse.bti"
"Cavalry N Jarl Horse Standard","25","12","13","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse standard.bti"
"Cavalry N Jarl Standard","26","13","13","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl standard.bti"
"Cavalry N Raiding Cavalry Horse Standard","15","9","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse standard.bti"
"Cavalry N Raiding Cavalry Standard","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry standard.bti"
"Cavalry X Javelin Bronze","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin bronze.bti"
"Cavalry X Javelin Copper","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin copper.bti"
"Cavalry X Javelin Hero","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin hero.bti"
"Cavalry X Javelin Horse Iron","31","16","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse iron.bti"
"Cavalry X Javelin Iron","38","21","17","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin iron.bti"
"Cavalry X Lancer Cape Iron","14","0","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer cape iron.bti"
"Cavalry X Lancer Horse Iron","29","14","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse iron.bti"
"Cavalry X Lancer Iron","31","16","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer iron.bti"
"Cine A Arkantos Map","9","5","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine a arkantos map.bti"
"Cine G Ajax Map","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine g ajax map.bti"
"Cine G Gargarensis Map","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine g gargarensis map.bti"
"Cine G Poseidon Stone","9","5","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine g poseidon stone.bti"
"Cine N Huskarl","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine n huskarl.bti"
"Cine X Kastor Adult","28","14","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine x kastor adult.bti"
"Cine X Krios","12","4","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\cine x krios.bti"
"forkboy map","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\forkboy map.bti"
"Gaia Wonder Map2","10","6","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\gaia wonder map2.bti"
"Gine G Kamos Map","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\gine g kamos map.bti"
"hero c general","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c general.bti"
"hero c general cape","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c general cape.bti"
"hero c general flag","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c general flag.bti"
"hero c general head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c general head.bti"
"hero c general horse","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c general horse.bti"
"hero c immortal","10","0","10","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c immortal.bti"
"hero c monk","9","0","9","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c monk.bti"
"hero c monk head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c monk head.bti"
"hero c monk weapon","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero c monk weapon.bti"
"Hero G Achilles Cape","10","1","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g achilles cape.bti"
"Hero G Atalanta Shield","34","17","17","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g atalanta shield.bti"
"Hero G Belerophon","41","19","22","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g belerophon.bti"
"Hero G Belerophon Shield","43","21","22","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g belerophon shield.bti"
"Hero G Heracles Shield","36","18","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles shield.bti"
"Hero G Jason Shield","32","15","17","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g jason shield.bti"
"Hero G Jason Standard","34","17","15","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g jason standard.bti"
"Hero G Perseus Standard","35","18","8","9","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g perseus standard.bti"
"hero g physician","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g physician.bti"
"hero g physician head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g physician head.bti"
"Hero G Polyphemus Shield","47","23","24","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g polyphemus shield.bti"
"Hero G Theseus Shield","35","17","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero g theseus shield.bti"
"Hero N Hero","19","9","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero n hero.bti"
"Hero N Ragnorok Female","19","10","8","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero n ragnorok female.bti"
"Hero N Ragnorok Male","39","19","18","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero n ragnorok male.bti"
"Hero X Ajax","44","22","9","13","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero x ajax.bti"
"Hero X Kastor","43","28","2","13","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\hero x kastor.bti"
"infantry c halberdier head bronze","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry c halberdier head bronze.bti"
"infantry c halberdier head copper","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry c halberdier head copper.bti"
"infantry c halberdier head iron","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry c halberdier head iron.bti"
"infantry c halberdier head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry c halberdier head standard.bti"
"infantry c halberdier standard","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry c halberdier standard.bti"
"Infantry E Axeman Standard","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry e axeman standard.bti"
"infantry e khopesh head standard","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry e khopesh head standard.bti"
"infantry e khopesh standard","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry e khopesh standard.bti"
