"Texture","HasCT4"
"hero g heracles head","False"
"hero g hercules","False"
"hero n hero low","False"
"hero n hersir","False"
"hero n ragnorok female head","False"
"hero n ragnorok male head","False"
"hoplitemap","False"
"infantry c halberdier bronze","False"
"infantry c halberdier copper","False"
"infantry c halberdier iron","False"
"infantry e axeman bronze","False"
"infantry e axeman copper","False"
"infantry e axeman iron","False"
"infantry e axeman map","False"
"infantry e chariot archer iron map","False"
"infantry e khopesh bronze","False"
"infantry e khopesh copper","False"
"infantry e khopesh head bronze","False"
"infantry e khopesh head copper","False"
"infantry e khopesh head iron","False"
"infantry e khopesh iron","False"
"infantry e mercenary head","False"
"infantry e spearman bronze","False"
"infantry e spearman copper","False"
"infantry e spearman iron","False"
"infantry e spearman map","False"
"infantry e spearman shield map","False"
"infantry g hoplite copper","False"
"infantry g hoplite iron","False"
"infantry g hoplite map_01","False"
"infantry g hoplite map_02","False"
"infantry g hoplite map_03","False"
"infantry g hoplite map_04","False"
"infantry g hypaspist bronze","False"
"infantry g hypaspist copper","False"
"infantry g hypaspist head bronze","False"
"infantry g hypaspist head copper","False"
"infantry g hypaspist head standard","False"
"infantry g hypaspist iron","False"
"infantry g hypaspist map","False"
"infantry n bondi bronze","False"
"infantry n bondi copper","False"
"infantry n bondi head bronze","False"
"infantry n bondi head copper","False"
"infantry n bondi head iron","False"
"infantry n bondi head standard","False"
"infantry n bondi iron","False"
"infantry n bondi standard","False"
"infantry n huskarl copper","False"
"infantry n ulfsark bronze","False"
"infantry n ulfsark copper","False"
"infantry n ulfsark iron","False"
"infantry n ulfsark map","False"
"infantry x 2 sword fighter hero","False"
"infantry x maceman bronze","False"
"infantry x maceman copper","False"
"infantry x maceman hero","False"
"infantry x maceman standard","False"
"infantry x swordsman bronze","False"
"infantry x swordsman copper","False"
"infantry x swordsman hero","False"
"infantry x swordsman standard","False"
"infantry x trident soldier head hero","False"
"infantry x trident soldier head iron","False"
"low infantry g normal head bronze","False"
"low infantry g normal head copper","False"
"low infantry g normal head iron","False"
"low infantry g normal head standard","False"
"lp g militia","False"
"mu x oracle","False"
"naval g giant turtle","False"
"naval n kraken upgrade","False"
"naval n utility map","False"
"projectile a ballista arrow iron","False"
"projectile a siege rock map","False"
"scenario a dwarven forge belt","False"
"scenario a dwarven forge shared a","False"
"scenario a dwarven forge shared b","False"
"scenario a gate ram","False"
"scenario c zhi","False"
"scenario c zhi head","False"
"scenario e great box camel","False"
"scenario e great box cart","False"
"scenario g arkantos god map","False"
"scenario g circe head","False"
"scenario n dwarven mine inside","False"
"scenario n dwarven mine opening","False"
"scenario n dwarven mine outside","False"
"scenario n thors hammer","False"
"scenario n thors hammer cart","False"
"scenario t troy wall long deadb","False"
"scenario u chronos hand","False"
"scenario u ferryman map","False"
"scenario u shade","False"
"sfx a ip glow","False"
"sfx a lighthouse glow","False"
"sfx a rain sunlight","False"
"sfx a rainbow","False"
"sfx b lighthouse glow","False"
"sfx c earth dragon hole","False"
"sfx c growth vines","False"
"sfx c ip glow","False"
"sfx e son of osiris head","False"
"sfx g lightning bolt","False"
"sfx g lightning skyflash","False"
"sfx g plenty decal","False"
"sfx g plenty shadow","False"
"sfx meteorite splat decal","False"
"sfx n dwarven mine","False"
"sfx n frost ice block unit","False"
"siege c fire lance bronze","False"
"siege c fire lance head bronze","False"
"siege c fire lance head iron","False"
"siege c fire lance iron","False"
"siege c sitting tiger iron","False"
"siege c sitting tiger projectile","False"
"siege e catapult iron","False"
"siege e catapult projectile","False"
"siege g helepolis iron","False"
"siege g petrobolos low","False"
"siege g petrobolos projectile","False"
"siege g petrobolos tire low","False"
"siege g trojan horse","False"
"siege n ballista iron","False"
"siege n ballista map","False"
"siege n catapult map","False"
"siege x chieroballista downgrade","False"
"siege x chieroballista man upgrade","False"
"siege x fire siphon upgrade","False"
"siege x onager iron","False"
"special c terracotta soldier head","False"
"special e anubite iron","False"
"special e avenger map","False"
"special e priest head","False"
"special e scorpion man head","False"
"special e scorpion man upgrade","False"
"special g agamemnon head","False"
"special g athena head","False"
"special g centaur head upgrade","False"
"special g centaur low","False"
"special g centaur upgrade","False"
"special g cyclops upgrade","False"
"special g hydra map","False"
"special g medusa low map","False"
"special g medusa map","False"
"special g pegasus","False"
"special g scylla map","False"
"special g underworld shade","False"
"special n einheriar upgrade","False"
"special n frost giant head","False"
"special n frost giant head upgrade","False"
"special n frost giant upgrade","False"
"special n giant map","False"
"special n jormund brood hump","False"
"special n king folstag","False"
"special n valkyrie low","False"
"special n valkyrie upgrade","False"
"statue x kronos map","False"
"temp santa hat","False"
"temp santa head","False"
"titan c pangu","False"
"titan n troll hammer map","False"
"titan n troll map1","False"
"titan x golem map2","False"
"toxotemap","False"
"trash","False"
"trash weapon","False"
"ui","False"
"ui background blue opaque","False"
"ui background dark blue opaque","False"
"ui background yellow opaque","False"
"ui line yellow","False"
"ui line yellow vertical","False"
"ui progress bar flair","False"
"ui text chat box","False"
"ui text chat box grey","False"
"villager e female head","False"
"villager g atlantean male head","False"
"villager g female head","False"
"villager n female head","False"
"villager n ox","False"
"villager x female hero","False"
"villager x male hero","False"
"world a fountain","False"
"world a gold map","False"
"world a jade map","False"
"world a relic armor of achilles","False"
"world a relic eye of horus","False"
"world a relic fetters of fenrir","False"
"world a relic golden bridle of pegasus","False"
"world a relic head of orpheus","False"
"world a relic monkey","False"
"world a relic ring of the nibelung","False"
"world a relic ship of fingernails","False"
"world a relic standard","False"
"world a relic the wedjat eye","False"
"world a tents map","False"
"world a underworld crator","False"
"world c dam","False"
"world e brazier map","False"
"world e tent","False"
"world g brazier map","False"
"world g shrine map","False"
"world g statue base","False"
"world g zues uwpassage","False"
"world g zuesstairs","False"
"world n brazier map","False"
"world n loki statue map","False"
"world n odin statue map","False"
"world n thor statue map","False"
"world x gaia  statue map","False"
