"Texture","Total","CT0","CT4","OtherCT","PixelXForm"
"archer c mounted archer head standard","1","0","1","0","0"
"archer c mounted archer horse standard","7","0","7","0","0"
"archer c mounted archer standard","7","0","7","0","0"
"Archer E Slinger Head Standard","20","10","8","2","0"
"archer e slinger standard","18","9","7","2","0"
"Archer G Crossbow","8","8","0","0","0"
"Archer G Crossbowman","16","8","7","1","0"
"Archer G Crossbowman Head","8","8","0","0","0"
"Archer G Peltast Cape Standard","6","0","6","0","0"
"Archer G Peltast Head Standard","14","7","7","0","0"
"Archer G Peltast Standard","12","6","6","0","0"
"Archer G Toxotes Head Bronze","2","1","1","0","0"
"Archer G Toxotes Head Copper","2","1","1","0","0"
"Archer G Toxotes Head Iron","4","2","2","0","0"
"Archer G Toxotes Head Standard","3","3","0","0","0"
"Archer G Toxotes Iron","2","1","1","0","0"
"Archer G Toxotes Standard","16","8","8","0","0"
"Archer N Normal Head Standard","1","0","1","0","0"
"Archer N Normal Standard","6","0","6","0","0"
"Archer N Throwing Axeman Head Bronze","1","1","0","0","0"
"Archer N Throwing Axeman Head Copper","1","1","0","0","0"
"Archer N Throwing Axeman Head Iron","1","1","0","0","0"
"Archer N Throwing Axeman Head Standard","1","1","0","0","0"
"Archer N Throwing Axeman Standard","14","7","7","0","0"
"Archer X Bronze","1","1","0","0","0"
"Archer X Copper","1","1","0","0","0"
"Archer X Hero","1","1","0","0","0"
"Archer X Iron","36","19","17","0","0"
"Archer X Standard","1","1","0","0","0"
"attachment c halberd head bronze","1","1","0","0","0"
"attachment c halberd head copper","1","1","0","0","0"
"attachment c halberd head iron","1","1","0","0","0"
"Attachment G Gargarensis Trident","4","4","0","0","0"
"Attachment G Spear","21","21","0","0","0"
"Attachment G Spear_01","25","25","0","0","0"
"attachments a arrow","46","46","0","0","0"
"Attachments A Arrow map","18","14","4","0","0"
"Attachments A Axe map","9","9","0","0","0"
"Attachments A Bow Bronze","33","33","0","0","0"
"Attachments A Bow Copper","11","11","0","0","0"
"Attachments A Bow Iron","20","20","0","0","0"
"Attachments A Bow map","3","3","0","0","0"
"Attachments A Bow Standard","6","6","0","0","0"
"Attachments A Club","30","30","0","0","0"
"Attachments A Fishing Net","9","9","0","0","0"
"Attachments A Hammer map","2","2","0","0","0"
"Attachments A Hoe map","6","6","0","0","0"
"Attachments A Quiver","47","47","0","0","0"
"Attachments A Resources map","11","11","0","0","0"
"Attachments A Shields map","6","0","6","0","0"
"Attachments A Shovel","5","5","0","0","0"
"Attachments A Sling","1","1","0","0","0"
"Attachments A Spear Bronze","4","4","0","0","0"
"Attachments A Spear Copper","9","9","0","0","0"
"Attachments A Spear Iron","84","84","0","0","0"
"Attachments A Spear Standard","28","28","0","0","0"
"Attachments A Trident map","12","12","0","0","0"
"Attachments A Wheel Solid","1","1","0","0","0"
"Attachments A Wheel Spoked","4","4","0","0","0"
"attachments c fire lance","3","3","0","0","0"
"attachments c flag naval","2","0","2","0","0"
"attachments c halberd bronze","1","1","0","0","0"
"attachments c halberd copper","1","1","0","0","0"
"attachments c halberd iron","1","1","0","0","0"
"attachments c halberd standard","2","2","0","0","0"
"attachments c sword jiaolong","1","1","0","0","0"
"Attachments E Axe Bronze","2","2","0","0","0"
"Attachments E Axe Copper","3","3","0","0","0"
"Attachments E Axe Iron","2","2","0","0","0"
"Attachments E Axe Standard","2","2","0","0","0"
"Attachments E Shield Bronze map","2","2","0","0","0"
"Attachments E Shield Copper","6","0","6","0","0"
"Attachments E Shield Copper map","1","1","0","0","0"
"Attachments E Shield Iron","2","2","0","0","0"
"Attachments E Shield Iron map","2","2","0","0","0"
"Attachments E Sling Stone map","3","3","0","0","0"
"Attachments E Sword Bronze","1","1","0","0","0"
"Attachments E Sword Copper","4","4","0","0","0"
"Attachments E Sword Iron","11","11","0","0","0"
"Attachments E Sword Standard","1","1","0","0","0"
"Attachments G Polyphemus Club","24","24","0","0","0"
"Attachments G Shield Bronze","28","28","0","0","0"
"Attachments G Shield Copper","6","0","6","0","0"
"Attachments G Shield Iron","1","1","0","0","0"
"attachments g shield iron cine","1","1","0","0","0"
"Attachments G Shields Map","3","3","0","0","0"
"Attachments G Sword Bronze","1","1","0","0","0"
"Attachments G Sword Bronze map","4","4","0","0","0"
"Attachments G Sword Copper","25","25","0","0","0"
"Attachments G Sword Iron","66","66","0","0","0"
"Attachments G Sword Iron map","1","1","0","0","0"
"Attachments G Sword Standard","3","3","0","0","0"
"Attachments MU X Automaton","58","44","14","0","0"
"Attachments N Axe Bronze","6","6","0","0","0"
"Attachments N Axe Copper","4","4","0","0","0"
"Attachments N Axe Iron","6","6","0","0","0"
"Attachments N Axe Standard","5","5","0","0","0"
"Attachments N Oxcart Wheel","3","3","0","0","0"
"Attachments N Shield Bronze","2","2","0","0","0"
"Attachments N Shield Cav Bronze map","1","0","1","0","0"
"Attachments N Shield Cav Copper map","1","0","1","0","0"
"Attachments N Shield Cav Iron map","1","0","1","0","0"
"Attachments N Shield Copper","6","0","6","0","0"
"Attachments N Shield Iron","4","2","2","0","0"
"Attachments N Sword Bronze","1","1","0","0","0"
"Attachments N Sword Copper","20","20","0","0","0"
"Attachments N Sword Iron","3","3","0","0","0"
"Attachments N Sword Standard","1","1","0","0","0"
"Attachments X Double Sword Bronze","1","1","0","0","0"
"Attachments X Double Sword Copper","1","1","0","0","0"
"Attachments X Double Sword Iron","1","1","0","0","0"
"Attachments X Double Sword Standard","1","1","0","0","0"
"Attachments X Lance Bronze","2","2","0","0","0"
"Attachments X Lance Copper","1","1","0","0","0"
"Attachments X Lance Iron","1","1","0","0","0"
"Attachments X Lance Standard","2","2","0","0","0"
"Attachments X Mace Bronze","1","1","0","0","0"
"Attachments X Mace copper","1","1","0","0","0"
"Attachments X Mace Iron","1","1","0","0","0"
"Attachments X Mace Standard","1","1","0","0","0"
"Attachments X Shield Medium","6","0","6","0","0"
"Attachments X Sword Bronze","2","2","0","0","0"
"Attachments X Sword Copper","2","2","0","0","0"
"Attachments X Sword Iron","3","3","0","0","0"
"Attachments X Sword Standard","31","31","0","0","0"
"barrel","4","4","0","0","0"
"BELLA","8","8","0","0","0"
"Building Attachments","227","222","5","0","0"
"building c accessories","42","34","8","0","0"
"building c earthen wall","17","0","17","0","0"
"building c fortified wall","18","1","17","0","0"
"building c fortress age 3","1","0","1","0","0"
"building c great wall","17","0","17","0","0"
"building c roofage1","47","1","46","0","0"
"building c special","22","10","12","0","0"
"building c stone wall","17","0","17","0","0"
"building c titan gate door map","6","0","6","0","0"
"building c titan gate map","12","6","6","0","0"
"building c titan gate rocks","3","3","0","0","0"
"building c tower age2","8","0","8","0","0"
"building c towers","4","0","4","0","0"
"building c wallsage1","43","0","43","0","0"
"building c wonder city floor","2","2","0","0","0"
"building c wonder city roof","2","0","2","0","0"
"building c wonder city walls","1","0","1","0","0"
"building c wonder palace floor","2","2","0","0","0"
"building c wonder palace roof","2","0","2","0","0"
"building c wonder palace walls","2","0","2","0","0"
"building c wonder temple","4","0","4","0","0"
"building construction","223","223","0","0","0"
"Building Destruction Egypt","4","4","0","0","0"
"Building Destruction Greek","4","4","0","0","0"
"Building Destruction Norse","6","6","0","0","0"
"Building E Age1","78","42","36","0","0"
"building E Age1 Accessories","11","11","0","0","0"
"Building E Age2","100","53","47","0","0"
"building E Age2 accessories","77","77","0","0","0"
"building E Age2 Accessories Burnt","2","2","0","0","0"
"Building E Age2 Burnt","2","2","0","0","0"
"building E Age2 wall","60","28","32","0","0"
"Building E Age3","197","101","96","0","0"
"building E Age3 accessories","119","119","0","0","0"
"building E Age3A accessories","43","43","0","0","0"
"building E Age4","121","61","60","0","0"
"building E Age4 Accessories","21","21","0","0","0"
"building E Age4roof","57","57","0","0","0"
"building E dock boat","6","6","0","0","0"
"building E Fortress","6","6","0","0","0"
"building E Fortress Accessories","10","6","4","0","0"
"building E Fortress Accessories02","2","2","0","0","0"
"Building E Fortress Age3","6","6","0","0","0"
"building E Isis Wonder01","7","4","3","0","0"
"building E Isis Wonder02","7","4","3","0","0"
"building E Isis Wonder03","3","3","0","0","0"
"Building E Lighthouse","9","4","5","0","0"
"building E Lighthouse fence","2","2","0","0","0"
"building E Monument platforms","29","16","13","0","0"
"building E Monument1","4","4","0","0","0"
"Building E Monument1 LP","2","2","0","0","0"
"building E Monument2","3","3","0","0","0"
"Building E Monument2 LP","2","2","0","0","0"
"Building E Monument3","4","4","0","0","0"
"Building E Monument3 LP","2","2","0","0","0"
"Building E Monument4","4","4","0","0","0"
"Building E Monument4 LP","2","2","0","0","0"
"Building E Monument4dood","4","4","0","0","0"
"Building E Monument5 Isis","5","5","0","0","0"
"Building E Monument5 Isis LP","3","3","0","0","0"
"Building E Monument5 Ra","5","5","0","0","0"
"Building E Monument5 Ra LP","2","2","0","0","0"
"Building E Monument5 Set","5","5","0","0","0"
"Building E Monument5 Set LP","2","2","0","0","0"
"Building E Obelisk","16","8","8","0","0"
"building E Osiris Pyramid","2","2","0","0","0"
"building E Osiris Pyramid Dead","3","3","0","0","0"
"building E Outpost","10","5","5","0","0"
"building E Props","75","75","0","0","0"
"Building E Pyramid","1","1","0","0","0"
"building E Ra Wonder01","5","5","0","0","0"
"building E Ra Wonder02","10","5","5","0","0"
"building E Set Wonder01","4","4","0","0","0"
"building E Set Wonder02","6","4","2","0","0"
"building E Set Wonder03","4","4","0","0","0"
"building E Settlement Age1","8","4","4","0","0"
"building E Settlement Age2","8","4","4","0","0"
"building E Settlement Age3","16","8","8","0","0"
"building E Settlement Age4","14","7","7","0","0"
"Building E shared01 2 map","1","1","0","0","0"
"Building E shared02 2 map","2","1","1","0","0"
"building E Shrine","39","39","0","0","0"
"building E Shrine02","3","3","0","0","0"
"Building E Statue C","2","2","0","0","0"
"Building E Statue C Base","2","2","0","0","0"
"Building E Titan Gate Map","12","6","6","0","0"
"Building E Underground Passage Egyptian","1","1","0","0","0"
"Building E Wall4","56","28","28","0","0"
"Building E Wonder Accessories","2","2","0","0","0"
"Building G Age0","62","36","26","0","0"
"Building G Destroyed","11","11","0","0","0"
"Building G Fortifiedwall","36","3","33","0","0"
"Building G Fortress","4","4","0","0","0"
"Building G FortressRoof","6","6","0","0","0"
"Building G FortressWall","18","10","8","0","0"
"building g fortresswall destructed","1","1","0","0","0"
"Building G FortressWall2","8","8","0","0","0"
"building g fortresswall2 Destructed","2","2","0","0","0"
"Building G GateAll","63","63","0","0","0"
"Building G Hades Wonder","11","6","5","0","0"
"Building G Hades Wonder01","6","6","0","0","0"
"Building G RoofAge1","60","56","4","0","0"
"Building G RoofAge2","42","42","0","0","0"
"Building G RoofAge3","54","54","0","0","0"
"Building G Ruins","3","3","0","0","0"
"Building G SettlementAge1","29","21","8","0","0"
"Building G SettlementAge2","33","22","11","0","0"
"Building G SettlementAge3","31","19","12","0","0"
"building g settlementfence","77","77","0","0","0"
"Building G Shared01 2 map","7","7","0","0","0"
"Building G Shared04 2 map","2","1","1","0","0"
"Building G Shared05 2 map","56","28","28","0","0"
"Building G Shrine","4","2","2","0","0"
"Building G Temple","8","4","4","0","0"
"Building G Temple02 2 map","2","1","1","0","0"
"Building G Temple03 2 map","1","1","0","0","0"
"Building G TempleAge1","13","7","6","0","0"
"Building G TempleAge2","8","4","4","0","0"
"Building G Titan Gate Door Map","10","4","6","0","0"
"Building G Titan Gate Map","6","6","0","0","0"
"Building G Titan Gate Rocks","3","3","0","0","0"
"Building G Towers","40","20","20","0","0"
"Building G Underground Passage Greek","1","1","0","0","0"
"Building G Underground Passage Greek B","1","1","0","0","0"
"Building G WallsAge1","70","37","33","0","0"
"Building G WallsAge2","101","51","50","0","0"
"Building G WallsAge3","62","35","27","0","0"
"Building G Wonder","12","6","6","0","0"
"Building G Wonder destructed","1","1","0","0","0"
"Building G Zues Wonder","7","7","0","0","0"
"Building G Zues Wonder01","16","8","8","0","0"
"Building Gate","4","4","0","0","0"
"Building N Destructed","3","3","0","0","0"
"Building N Dock","15","15","0","0","0"
"Building N GateAll","16","16","0","0","0"
"Building N Hillfort","18","10","8","0","0"
"Building N Loki Wonder01","6","6","0","0","0"
"Building N Loki Wonder02","8","4","4","0","0"
"Building N Odin Wonder","6","6","0","0","0"
"Building N Odin Wonder01","10","4","6","0","0"
"Building N SettlementAge1","14","11","3","0","0"
"Building N SettlementAge2","14","10","4","0","0"
"Building N SettlementAge3","25","17","8","0","0"
"Building N SettlementAge4","21","14","7","0","0"
"Building N Shared01 1 map","36","18","18","0","0"
"Building N Shared01 2 map","56","34","22","0","0"
"Building N Shared01 3 map","61","36","25","0","0"
"Building N Shared02 2 map","8","5","3","0","0"
"Building N Shared03 2 map","15","15","0","0","0"
"Building N Shared04 2 map","37","25","12","0","0"
"Building N Shared06 2 map","71","31","40","0","0"
"Building N Shrine","2","1","1","0","0"
"Building N TempleAge1","7","3","4","0","0"
"Building N TempleAge2","7","4","3","0","0"
"Building N TempleAge3","16","8","8","0","0"
"Building N ThorArmory","11","7","4","0","0"
"Building N ThorArmory1","6","6","0","0","0"
"Building N Titan Gate Map","12","6","6","0","0"
"Building N Titan Gate Rocks","3","3","0","0","0"
"Building N Tower","22","12","10","0","0"
"Building N WallAge4","63","36","27","0","0"
"Building N Wonder","11","6","5","0","0"
"Building N WonderBranch","6","6","0","0","0"
"Building N WonderLeaf","6","6","0","0","0"
"Building N Wonderrune","5","5","0","0","0"
"building props","2","2","0","0","0"
"Building Settlement","7","6","0","1","0"
"Building Vase","11","11","0","0","0"
"Building Vines01","1","1","0","0","0"
"building wall damage","221","221","0","0","0"
"Building X Bronze Gate","15","15","0","0","0"
"Building X Dock","55","55","0","0","0"
"Building X Guild Age2","55","55","0","0","0"
"Building X Iron Gate","16","16","0","0","0"
"Building X Mirror Tower","14","7","7","0","0"
"Building X Oreichalkos Gate","16","16","0","0","0"
"Building X Palace Age2","4","1","3","0","0"
"Building X Palace Age3","5","1","4","0","0"
"Building X Palace Roof","4","4","0","0","0"
"Building X Palace Roof Age3","4","4","0","0","0"
"Building X Roof Age0","69","41","28","0","0"
"Building X Roof Age1","100","46","54","0","0"
"Building X Roof Age2","87","87","0","0","0"
"Building X Roof Age3","49","49","0","0","0"
"Building X Shared Age0","19","19","0","0","0"
"Building X Shared Age3","20","20","0","0","0"
"Building X Sky Temple","10","5","5","0","0"
"Building X Sky Temple Roof","4","4","0","0","0"
"Building X Statue Stand In","1","1","0","0","0"
"Building X stone wall","1","1","0","0","0"
"Building X Temple age0","4","0","4","0","0"
"Building X Temple age1","4","4","0","0","0"
"Building X Temple age2","16","16","0","0","0"
"Building X Temple age3","15","15","0","0","0"
"Building X Temple OG1","1","1","0","0","0"
"Building X Temple OG1 25","1","1","0","0","0"
"Building X Temple OG1 50","1","1","0","0","0"
"Building X Temple OG1 75","1","1","0","0","0"
"Building X Temple OG2","1","1","0","0","0"
"Building X Temple OG2 25","1","1","0","0","0"
"Building X Temple OG2 50","1","1","0","0","0"
"Building X Temple OG2 75","1","1","0","0","0"
"Building x TitanGate","12","6","6","0","0"
"Building X Tower Watch","2","1","1","0","0"
"building x tower watch2","17","9","8","0","0"
"Building X Tower Watch3","4","2","2","0","0"
"Building X Wall Age2","110","57","53","0","0"
"Building X Wall Age3","56","5","51","0","0"
"Building X Wall Bronze","45","20","20","5","0"
"Building X Wall Iron","40","20","20","0","0"
"Building X Wall Oreichalkos","40","21","19","0","0"
"Building X Wall Oreichalkos damage","11","11","0","0","0"
"building x wall stone","44","20","20","4","0"
"Building_E_MonumentBase_Map","2","1","1","0","0"
"buildingEstatue01","4","4","0","0","0"
"butterfly","2","2","0","0","0"
"cavalry c cataphract head copper","1","0","1","0","0"
"cavalry c cataphract head iron","1","0","1","0","0"
"cavalry c cataphract head standard","1","0","1","0","0"
"cavalry c cataphract horse standard","7","0","7","0","0"
"cavalry c cataphract standard","7","0","7","0","0"
"cavalry c chariot horse standard","5","0","5","0","0"
"cavalry c chariot standard","5","0","5","0","0"
"cavalry c charioteer standard","5","0","5","0","0"
"cavalry c scout head copper","1","0","1","0","0"
"cavalry c scout head standard","1","0","1","0","0"
"cavalry c scout horse standard","16","0","16","0","0"
"cavalry c scout standard","17","0","17","0","0"
"Cavalry E Camelry Camel Copper","14","7","7","0","0"
"Cavalry E Camelry Copper","13","6","7","0","0"
"Cavalry E Camelry Head Copper","7","7","0","0","0"
"cavalry e chariot archer copper","11","5","6","0","0"
"Cavalry E Chariot Chariot Map","17","12","5","0","0"
"Cavalry E Chariot Horse Map","9","4","5","0","0"
"Cavalry E Chariot Map","5","0","5","0","0"
"Cavalry E Mercenary Horse Standard","16","8","8","0","0"
"Cavalry E War Elephant Copper","18","12","6","0","0"
"Cavalry E War Elephant Tusks Bronze","1","1","0","0","0"
"Cavalry E War Elephant Tusks Copper","1","1","0","0","0"
"Cavalry E War Elephant Tusks Iron","1","1","0","0","0"
"Cavalry G Cataphract Head Iron","44","22","11","11","0"
"Cavalry G Cataphract Horse Iron","20","9","11","0","0"
"Cavalry G Cataphract Iron","44","22","11","11","0"
"Cavalry G Hetairoi Cape","9","0","9","0","0"
"Cavalry G Hetairoi Head Iron","9","9","0","0","0"
"Cavalry G Hetairoi Horse Iron","17","8","9","0","0"
"Cavalry G Hetairoi Iron","18","9","9","0","0"
"Cavalry G Hippikon Cape","9","0","9","0","0"
"Cavalry G Hippikon Head Bronze","1","0","1","0","0"
"Cavalry G Hippikon Head Copper","1","0","1","0","0"
"Cavalry G Hippikon Head Iron","1","0","1","0","0"
"Cavalry G Hippikon Head Standard","1","1","0","0","0"
"Cavalry G Hippikon Horse Standard","17","9","8","0","0"
"Cavalry G Hippikon Standard","18","9","9","0","0"
"Cavalry G Prodromos Head Bronze","2","2","0","0","0"
"Cavalry G Prodromos Head Copper","2","2","0","0","0"
"Cavalry G Prodromos Head Iron","2","2","0","0","0"
"Cavalry G Prodromos Head Standard","1","1","0","0","0"
"Cavalry G Prodromos Horse Standard","18","9","9","0","0"
"Cavalry G Prodromos Standard","17","9","8","0","0"
"Cavalry G Scout Horse","24","12","12","0","0"
"Cavalry N Jarl Head Bronze","1","1","0","0","0"
"Cavalry N Jarl Head Copper","1","1","0","0","0"
"Cavalry N Jarl Head Iron","1","1","0","0","0"
"Cavalry N Jarl Head Standard","4","4","0","0","0"
"Cavalry N Jarl Horse Standard","25","12","13","0","0"
"Cavalry N Jarl Standard","26","13","13","0","0"
"Cavalry N Raiding Cavalry Head Bronze","1","1","0","0","0"
"Cavalry N Raiding Cavalry Head Copper","1","1","0","0","0"
"Cavalry N Raiding Cavalry Head Iron","1","1","0","0","0"
"Cavalry N Raiding Cavalry Head Standard","1","1","0","0","0"
"Cavalry N Raiding Cavalry Horse Standard","15","9","6","0","0"
"Cavalry N Raiding Cavalry Standard","18","9","9","0","0"
"Cavalry X Javelin Bronze","2","1","1","0","0"
"Cavalry X Javelin Copper","2","1","1","0","0"
"Cavalry X Javelin Hero","2","1","1","0","0"
"Cavalry X Javelin Horse Iron","31","16","15","0","0"
"Cavalry X Javelin Iron","38","21","17","0","0"
"Cavalry X Javelin Standard","1","1","0","0","0"
"Cavalry X Lancer Bronze","1","1","0","0","0"
"Cavalry X Lancer Cape Iron","14","0","14","0","0"
"Cavalry X Lancer Copper","1","1","0","0","0"
"Cavalry X Lancer Hero","1","1","0","0","0"
"Cavalry X Lancer Horse Iron","29","14","15","0","0"
"Cavalry X Lancer Iron","31","16","15","0","0"
"Cavalry X Lancer Standard","1","1","0","0","0"
"Cine A Arkantos God Helmet Map","1","1","0","0","0"
"Cine A Arkantos God Map","1","1","0","0","0"
"Cine A Arkantos God Shoulder Map","1","1","0","0","0"
"Cine A Arkantos Helmet","2","2","0","0","0"
"Cine A Arkantos Helmet low","16","16","0","0","0"
"Cine A Arkantos Map","9","5","4","0","0"
"Cine A Arkantos Shoulder Map","5","5","0","0","0"
"Cine A ArkantosMan MapBlue","2","2","0","0","0"
"Cine A ArkantosMan Shoulder Map","2","2","0","0","0"
"Cine A Kemsyt","2","2","0","0","0"
"Cine A Kemsyt Scimitar","20","20","0","0","0"
"Cine G Ajax","1","1","0","0","0"
"Cine G Ajax Lion Head Map","1","1","0","0","0"
"Cine G Ajax Map","1","0","1","0","0"
"Cine G Ajax Shield map","1","1","0","0","0"
"Cine G Gargarensis Map","6","3","3","0","0"
"Cine G Hoplite Shield cine","1","1","0","0","0"
"Cine G Hoplite Spear","1","1","0","0","0"
"Cine G Poseidon Stone","9","5","4","0","0"
"Cine G Poseidon Trident","15","15","0","0","0"
"Cine N Huskarl","2","1","1","0","0"
"Cine Spear Map","9","9","0","0","0"
"Cine X Kastor Adult","28","14","14","0","0"
"Cine X Kastor Adult Sword","2","2","0","0","0"
"Cine X Kastor Adult(pixelxform1)","2","0","2","0","2"
"Cine X Krios","12","4","8","0","0"
"Cine X MP Melagius Head","23","23","0","0","0"
"construction_boards_a","5","5","0","0","0"
"construction_boards_b","3","3","0","0","0"
"construction_boards_c","6","6","0","0","0"
"construction_boards_d","5","5","0","0","0"
"construction_boards_e","6","0","6","0","0"
"Construction_flag","6","0","6","0","0"
"CurvedBow","11","11","0","0","0"
"CurvedBowQuiver","2","2","0","0","0"
"defaultskybox_bk","1","1","0","0","0"
"defaultskybox_dn","2","2","0","0","0"
"defaultskybox_fr","1","1","0","0","0"
"defaultskybox_lf","1","1","0","0","0"
"defaultskybox_rt","1","1","0","0","0"
"E_dock_15","6","6","0","0","0"
"forkboy map","18","9","9","0","0"
"gaia pool ground","1","1","0","0","0"
"Gaia Wonder Map1","7","7","0","0","0"
"Gaia Wonder Map2","10","6","4","0","0"
"Gaia Wonder Statue","4","4","0","0","0"
"GaiaCreepFlowersA","2","2","0","0","0"
"GaiaCreepFlowersAop","2","0","2","0","0"
"General Body","2","2","0","0","0"
"General Head","2","2","0","0","0"
"General Shield","2","2","0","0","0"
"General Sword","2","2","0","0","0"
"Gine G Kamos Map","6","3","3","0","0"
"God N Ice Block map","1","1","0","0","0"
"God N Ice Crystal map","3","3","0","0","0"
"GP X Hesperides Tree","7","3","0","4","0"
"GP X Tartarian Gate","4","4","0","0","0"
"GP X Tartarian Gate Creature","15","15","0","0","0"
"GP X Tartarian Gate Ground","3","3","0","0","0"
"GP X Tartarian Gate Hole","4","4","0","0","0"
"hades2","3","3","0","0","0"
"hero c general","7","0","7","0","0"
"hero c general cape","7","0","7","0","0"
"hero c general flag","7","0","7","0","0"
"hero c general head","1","0","1","0","0"
"hero c general horse","7","0","7","0","0"
"hero c immortal","10","0","10","0","0"
"hero c monk","9","0","9","0","0"
"hero c monk head","1","0","1","0","0"
"hero c monk weapon","1","0","1","0","0"
"Hero G Achilles","18","9","9","0","0"
"Hero G Achilles Cape","10","1","9","0","0"
"Hero G Ajax","45","23","11","11","0"
"Hero G Ajax Shield","22","22","0","0","0"
"Hero G Ajax Spear","23","23","0","0","0"
"Hero G Atalanta","34","17","8","9","0"
"Hero G Atalanta Head Standard","17","17","0","0","0"
"Hero G Atalanta Shield","34","17","17","0","0"
"Hero G Athena Head Low Map","7","7","0","0","0"
"Hero G Athena Low Map","14","8","0","6","0"
"Hero G Belerophon","41","19","22","0","0"
"Hero G Belerophon Head","21","21","0","0","0"
"Hero G Belerophon Shield","43","21","22","0","0"
"Hero G Heracles","31","16","15","0","0"
"Hero G Heracles Club","17","17","0","0","0"
"Hero G Heracles Head","36","36","0","0","0"
"Hero G Heracles Shield","36","18","18","0","0"
"Hero G Hippolyta","36","18","9","9","0"
"Hero G Hippolyta Head Standard","34","18","16","0","0"
"Hero G Jason Head Standard","17","17","0","0","0"
"Hero G Jason Shield","32","15","17","0","0"
"Hero G Jason Standard","34","17","15","2","0"
"Hero G Perseus Head Standard","36","18","18","0","0"
"Hero G Perseus Standard","35","18","8","9","0"
"hero g physician","6","0","6","0","0"
"hero g physician head","1","0","1","0","0"
"Hero G Polyphemus Shield","47","23","24","0","0"
"Hero G Theseus","35","18","7","10","0"
"Hero G Theseus Head Standard","18","18","0","0","0"
"Hero G Theseus Shield","35","17","18","0","0"
"Hero N Hero","19","9","10","0","0"
"Hero N Hero Hammer","10","10","0","0","0"
"Hero N Hero Hammer Low","2","2","0","0","0"
"Hero N Hero Head","10","10","0","0","0"
"Hero N Hersir","2","1","0","1","0"
"Hero N Hersir Head","1","1","0","0","0"
"Hero N Ragnorok Axe","54","54","0","0","0"
"Hero N Ragnorok Female","19","10","8","1","0"
"Hero N Ragnorok Female Head","10","10","0","0","0"
"Hero N Ragnorok Male","39","19","18","2","0"
"Hero N Ragnorok Male Head","19","19","0","0","0"
"Hero X Ajax","44","22","9","13","0"
"Hero X Ajax Shield","20","20","0","0","0"
"Hero X Ajax Spear","23","23","0","0","0"
"Hero X Kastor","43","28","2","13","0"
"Hero X Kastor(pixelxform1)","13","0","13","0","13"
"IceTitan","1","1","0","0","0"
