"Texture","CT4Count","AlsoCT0","PixelXForm","NoAlphaTest","BTI_AlphaBits","BTI_Format","TGA_AlphaType","OpaqueCoveragePct","CoverageGroup"
"building E Isis Wonder01","3","True","False","True","1","BC3","Binary","2.051","0-10%"
"building E Isis Wonder02","3","True","False","True","1","BC3","Binary","2.04","0-10%"
"Building E Lighthouse","5","True","False","True","1","BC3","Binary","1.595","0-10%"
"building E Monument platforms","13","True","False","True","1","BC3","Binary","2.251","0-10%"
"Building E Obelisk","8","True","False","True","1","BC3","MultiValue","5.164","0-10%"
"building E Outpost","5","True","False","True","1","BC3","Binary","0.262","0-10%"
"building E Ra Wonder02","5","True","False","True","1","BC3","Binary","2.097","0-10%"
"building E Set Wonder02","2","True","False","True","1","BC3","Binary","2.142","0-10%"
"building E Settlement Age1","4","True","False","True","1","BC3","MultiValue","2.762","0-10%"
"building E Settlement Age2","4","True","False","True","1","BC3","Binary","3.07","0-10%"
"building E Settlement Age3","8","True","False","True","1","BC3","MultiValue","4.213","0-10%"
"building E Settlement Age4","7","True","False","True","1","BC3","Binary","5.151","0-10%"
"Building E shared02 2 map","1","True","False","True","1","BC3","Binary","1.614","0-10%"
"Building E Titan Gate Map","6","True","False","True","1","BC3","Binary","2.826","0-10%"
"Building E Wall4","28","True","False","True","1","BC3","Binary","1.892","0-10%"
"Building G Age0","26","True","False","True","1","BC3","Binary","1.408","0-10%"
"Building G Fortifiedwall","33","True","False","True","1","BC3","Binary","1.804","0-10%"
"Building G FortressWall","8","True","False","True","1","BC3","Binary","2.464","0-10%"
"Building G Hades Wonder","5","True","False","True","1","BC3","Binary","2.344","0-10%"
"Building G RoofAge1","4","True","False","True","1","BC3","Binary","0.412","0-10%"
"Building G SettlementAge1","8","True","False","True","1","BC3","Binary","1.424","0-10%"
"Building G SettlementAge2","11","True","False","True","1","BC3","Binary","1.645","0-10%"
"Building G SettlementAge3","12","True","False","True","1","BC3","Binary","1.424","0-10%"
"Building G Shared04 2 map","1","True","False","False","","","","",""
"Building G Shared05 2 map","28","True","False","True","1","BC3","Binary","3.461","0-10%"
"Building G Shrine","2","True","False","True","1","BC3","Binary","0.317","0-10%"
"Building G Temple","4","True","False","True","1","BC3","Binary","1.996","0-10%"
"Building G Temple02 2 map","1","True","False","False","","","","",""
"Building G TempleAge1","6","True","False","True","1","BC3","Binary","1.515","0-10%"
"Building G TempleAge2","4","True","False","True","1","BC3","Binary","1.479","0-10%"
"Building G Titan Gate Door Map","6","True","False","True","1","BC3","MultiValue","4.584","0-10%"
"Building G Towers","20","True","False","True","1","BC3","Binary","1.712","0-10%"
"Building G WallsAge1","33","True","False","True","1","BC3","Binary","3.145","0-10%"
"Building G WallsAge2","50","True","False","True","1","BC3","Binary","2.435","0-10%"
"Building G WallsAge3","27","True","False","True","1","BC3","Binary","3.355","0-10%"
"Building G Wonder","6","True","False","True","1","BC3","Binary","1.598","0-10%"
"Building G Zues Wonder01","8","True","False","True","1","BC3","Binary","2.766","0-10%"
"Building N Hillfort","8","True","False","True","1","BC3","MultiValue","1.683","0-10%"
"Building N Loki Wonder02","4","True","False","True","1","BC3","MultiValue","4.692","0-10%"
"Building N Odin Wonder01","6","True","False","True","1","BC3","MultiValue","3.384","0-10%"
"Building N SettlementAge1","3","True","False","True","1","BC3","Binary","1.434","0-10%"
"Building N SettlementAge2","4","True","False","True","1","BC3","Binary","1.45","0-10%"
"Building N SettlementAge3","8","True","False","True","1","BC3","Binary","1.642","0-10%"
"Building N SettlementAge4","7","True","False","True","1","BC3","MultiValue","1.868","0-10%"
"Building N Shared01 1 map","18","True","False","True","1","BC3","Binary","1.698","0-10%"
"Building N Shared01 2 map","22","True","False","True","1","BC3","MultiValue","2.858","0-10%"
"Building N Shared01 3 map","25","True","False","True","1","BC3","Binary","1.996","0-10%"
"Building N Shared02 2 map","3","True","False","True","1","BC3","MultiValue","1.054","0-10%"
"Building N Shared04 2 map","12","True","False","True","1","BC3","MultiValue","2.66","0-10%"
"Building N Shared06 2 map","40","True","False","True","1","BC3","Binary","1.37","0-10%"
"Building N Shrine","1","True","False","True","1","BC3","MultiValue","1.782","0-10%"
"Building N TempleAge1","4","True","False","True","1","BC3","Binary","1.341","0-10%"
"Building N TempleAge2","3","True","False","True","1","BC3","Binary","1.341","0-10%"
"Building N TempleAge3","8","True","False","True","1","BC3","Binary","1.341","0-10%"
"Building N ThorArmory","4","True","False","True","1","BC3","Binary","0.861","0-10%"
"Building N Titan Gate Map","6","True","False","True","1","BC3","MultiValue","3.496","0-10%"
"Building N Tower","10","True","False","True","1","BC3","MultiValue","1.596","0-10%"
"Building N WallAge4","27","True","False","True","1","BC3","MultiValue","1.428","0-10%"
"Building N Wonder","5","True","False","True","1","BC3","MultiValue","0.536","0-10%"
"Building X Mirror Tower","7","True","False","True","1","BC3","MultiValue","3.943","0-10%"
"Building X Palace Age2","3","True","False","True","1","BC3","Binary","0.586","0-10%"
"Building X Palace Age3","4","True","False","True","1","BC3","Binary","1.678","0-10%"
"Building X Roof Age0","28","True","False","True","1","BC3","Binary","1.324","0-10%"
"Building X Roof Age1","54","True","False","True","1","BC3","Binary","2.081","0-10%"
"Building X Sky Temple","5","True","False","True","1","BC3","MultiValue","2.344","0-10%"
"Building X Temple age0","4","False","False","True","1","BC3","MultiValue","0.946","0-10%"
"Building x TitanGate","6","True","False","True","1","BC3","Binary","0.415","0-10%"
"Building X Tower Watch","1","True","False","False","1","BC3","","",""
"building x tower watch2","8","True","False","True","1","BC3","Binary","1.517","0-10%"
"Building X Tower Watch3","2","True","False","True","1","BC3","Binary","1.517","0-10%"
"Building X Wall Age2","53","True","False","True","1","BC3","MultiValue","8.45","0-10%"
"Building X Wall Age3","51","True","False","False","1","BC3","","",""
"Building X Wall Bronze","20","True","False","True","1","BC3","Binary","1.428","0-10%"
"Building X Wall Iron","20","True","False","True","1","BC3","Binary","1.32","0-10%"
"Building X Wall Oreichalkos","19","True","False","True","1","BC3","Binary","2.283","0-10%"
"building x wall stone","20","True","False","True","1","BC3","Binary","1.337","0-10%"
"Building_E_MonumentBase_Map","1","True","False","True","1","BC3","Binary","1.562","0-10%"
"cavalry c cataphract head copper","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"cavalry c cataphract head iron","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"cavalry c cataphract head standard","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"cavalry c cataphract horse standard","7","False","False","True","4","BC3","MultiValue","15.607","10-25%"
"cavalry c cataphract standard","7","False","False","True","4","BC3","MultiValue","33.545","25-50%"
"cavalry c chariot horse standard","5","False","False","True","4","BC3","MultiValue","1.617","0-10%"
"cavalry c chariot standard","5","False","False","True","4","BC3","MultiValue","10.681","10-25%"
"cavalry c charioteer standard","5","False","False","True","4","BC3","MultiValue","50.594","50-75%"
"cavalry c scout head copper","1","False","False","True","4","BC3","MultiValue","26.758","25-50%"
"cavalry c scout head standard","1","False","False","True","4","BC3","MultiValue","26.758","25-50%"
"cavalry c scout horse standard","16","False","False","True","4","BC3","MultiValue","7.69","0-10%"
"cavalry c scout standard","17","False","False","True","4","BC3","MultiValue","43.506","25-50%"
"Cavalry E Camelry Camel Copper","7","True","False","True","1","BC3","MultiValue","3.571","0-10%"
"Cavalry E Camelry Copper","7","True","False","True","1","BC3","MultiValue","43.872","25-50%"
"cavalry e chariot archer copper","6","True","False","True","1","BC3","MultiValue","34.428","25-50%"
"Cavalry E Chariot Chariot Map","5","True","False","False","1","BC3","","",""
"Cavalry E Chariot Horse Map","5","True","False","True","1","BC3","Binary","28.888","25-50%"
"Cavalry E Chariot Map","5","False","False","False","1","BC3","","",""
"Cavalry E Mercenary Horse Standard","8","True","False","True","1","BC3","MultiValue","4.175","0-10%"
"Cavalry E War Elephant Copper","6","True","False","True","1","BC3","MultiValue","4.401","0-10%"
"Cavalry G Cataphract Head Iron","11","True","False","True","1","BC3","Binary","10.645","10-25%"
"Cavalry G Cataphract Horse Iron","11","True","False","True","1","BC3","MultiValue","4.279","0-10%"
"Cavalry G Cataphract Iron","11","True","False","True","1","BC3","MultiValue","15.479","10-25%"
"Cavalry G Hetairoi Cape","9","False","False","False","0","BC3","","",""
"Cavalry G Hetairoi Horse Iron","9","True","False","True","1","BC3","MultiValue","2.557","0-10%"
"Cavalry G Hetairoi Iron","9","True","False","True","1","BC3","MultiValue","23.584","10-25%"
"Cavalry G Hippikon Cape","9","False","False","False","0","BC3","","",""
"Cavalry G Hippikon Head Bronze","1","False","False","True","1","BC3","Binary","3.418","0-10%"
"Cavalry G Hippikon Head Copper","1","False","False","True","1","BC3","Binary","3.418","0-10%"
"Cavalry G Hippikon Head Iron","1","False","False","True","1","BC3","Binary","3.418","0-10%"
"Cavalry G Hippikon Horse Standard","8","True","False","True","1","BC3","Binary","8.521","0-10%"
"Cavalry G Hippikon Standard","9","True","False","True","1","BC3","Binary","18.872","10-25%"
"Cavalry G Prodromos Horse Standard","9","True","False","True","1","BC3","Binary","8.521","0-10%"
"Cavalry G Prodromos Standard","8","True","False","True","1","BC3","MultiValue","63.11","50-75%"
"Cavalry G Scout Horse","12","True","False","True","1","BC3","MultiValue","5.328","0-10%"
"Cavalry N Jarl Horse Standard","13","True","False","True","1","BC3","MultiValue","5.438","0-10%"
"Cavalry N Jarl Standard","13","True","False","True","1","BC3","MultiValue","21.777","10-25%"
"Cavalry N Raiding Cavalry Horse Standard","6","True","False","True","1","BC3","MultiValue","1.416","0-10%"
"Cavalry N Raiding Cavalry Standard","9","True","False","True","1","BC3","MultiValue","26.904","25-50%"
"Cavalry X Javelin Bronze","1","True","False","True","1","BC3","MultiValue","12.695","10-25%"
"Cavalry X Javelin Copper","1","True","False","True","1","BC3","Binary","31.104","25-50%"
"Cavalry X Javelin Hero","1","True","False","True","1","BC3","MultiValue","12.695","10-25%"
"Cavalry X Javelin Horse Iron","15","True","False","True","1","BC3","MultiValue","2.466","0-10%"
"Cavalry X Javelin Iron","17","True","False","True","1","BC3","MultiValue","12.695","10-25%"
"Cavalry X Lancer Cape Iron","14","False","False","True","1","BC3","MultiValue","82.227","75-100%"
"Cavalry X Lancer Horse Iron","15","True","False","True","1","BC3","MultiValue","4.401","0-10%"
"Cavalry X Lancer Iron","15","True","False","True","1","BC3","MultiValue","20.874","10-25%"
"Cine A Arkantos Map","4","True","False","True","1","BC3","MultiValue","17.513","10-25%"
"Cine G Ajax Map","1","False","False","True","1","BC3","MultiValue","11.865","10-25%"
"Cine G Gargarensis Map","3","True","False","True","1","BC3","MultiValue","9.419","0-10%"
"Cine G Poseidon Stone","4","True","False","True","1","BC3","Binary","4.282","0-10%"
"Cine N Huskarl","1","True","False","True","1","BC3","MultiValue","8.035","0-10%"
"Cine X Kastor Adult","14","True","False","True","1","BC3","MultiValue","10.884","10-25%"
"Cine X Kastor Adult(pixelxform1)","2","False","True","False","","","","",""
"Cine X Krios","8","True","False","True","1","BC3","MultiValue","1.544","0-10%"
"construction_boards_e","6","False","False","False","","","","",""
"Construction_flag","6","False","False","False","","","","",""
"forkboy map","9","True","False","True","1","BC3","MultiValue","29.346","25-50%"
"Gaia Wonder Map2","4","True","False","True","1","BC3","MultiValue","1.176","0-10%"
"GaiaCreepFlowersAop","2","False","False","False","4","BC3","","",""
"Gine G Kamos Map","3","True","False","True","1","BC3","MultiValue","9.174","0-10%"
"hero c general","7","False","False","True","4","BC3","MultiValue","9.735","0-10%"
"hero c general cape","7","False","False","True","4","BC3","Binary","100","75-100%"
"hero c general flag","7","False","False","True","4","BC3","Binary","15.808","10-25%"
"hero c general head","1","False","False","True","4","BC3","MultiValue","0.879","0-10%"
"hero c general horse","7","False","False","True","4","BC3","MultiValue","2.228","0-10%"
"hero c immortal","10","False","False","True","4","BC3","MultiValue","29.98","25-50%"
"hero c monk","9","False","False","True","4","BC3","MultiValue","2.295","0-10%"
"hero c monk head","1","False","False","True","4","BC3","Binary","0","0-10%"
"hero c monk weapon","1","False","False","True","4","BC3","Binary","0","0-10%"
"Hero G Achilles","9","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Achilles Cape","9","True","False","True","1","BC3","MultiValue","17.627","10-25%"
"Hero G Ajax","11","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Atalanta","8","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Atalanta Shield","17","True","False","True","1","BC3","MultiValue","6.982","0-10%"
"Hero G Belerophon","22","True","False","True","1","BC3","Binary","23.071","10-25%"
"Hero G Belerophon Shield","22","True","False","True","1","BC3","MultiValue","12.109","10-25%"
"Hero G Heracles","15","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Heracles Shield","18","True","False","True","1","BC3","MultiValue","2.832","0-10%"
"Hero G Hippolyta","9","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Hippolyta Head Standard","16","True","False","False","0","BC3","","",""
"Hero G Jason Shield","17","True","False","True","1","BC3","MultiValue","28.906","25-50%"
"Hero G Jason Standard","15","True","False","True","1","BC3","MultiValue","34.985","25-50%"
"Hero G Perseus Head Standard","18","True","False","False","0","BC3","","",""
"Hero G Perseus Standard","8","True","False","True","1","BC3","MultiValue","18.53","10-25%"
"hero g physician","6","False","False","True","4","BC3","MultiValue","1.733","0-10%"
"hero g physician head","1","False","False","True","4","BC3","Binary","0","0-10%"
"Hero G Polyphemus Shield","24","True","False","True","1","BC3","MultiValue","3.467","0-10%"
"Hero G Theseus","7","True","False","False","0","BC3","Binary","100","75-100%"
"Hero G Theseus Shield","18","True","False","True","1","BC3","Binary","9.961","0-10%"
"Hero N Hero","10","True","False","True","1","BC3","MultiValue","26.245","25-50%"
"Hero N Ragnorok Female","8","True","False","True","1","BC3","MultiValue","15.186","10-25%"
"Hero N Ragnorok Male","18","True","False","True","1","BC3","MultiValue","27.832","25-50%"
"Hero X Ajax","9","True","False","True","1","BC3","MultiValue","23.047","10-25%"
"Hero X Kastor","2","True","False","True","1","BC3","MultiValue","12.5","10-25%"
"Hero X Kastor(pixelxform1)","13","False","True","False","","","","",""
"infantry c halberdier head bronze","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"infantry c halberdier head copper","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"infantry c halberdier head iron","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"infantry c halberdier head standard","1","False","False","True","4","BC3","MultiValue","7.812","0-10%"
"infantry c halberdier standard","6","False","False","True","4","BC3","MultiValue","41.553","25-50%"
"Infantry E Axeman Standard","8","True","False","True","1","BC3","MultiValue","45.605","25-50%"
"infantry e khopesh head standard","1","False","False","True","4","BC3","Binary","49.658","25-50%"
"infantry e khopesh standard","6","False","False","True","4","BC3","MultiValue","26.343","25-50%"
"Infantry E Mercenary","14","True","False","True","1","BC3","MultiValue","10.84","10-25%"
"Infantry E Spearman Standard","5","True","False","True","1","BC3","MultiValue","30.566","25-50%"
"Infantry G Hoplite Bronze","13","True","False","True","1","BC3","MultiValue","20.923","10-25%"
"Infantry G Hoplite Head Bronze","1","True","False","False","0","BC3","","",""
"Infantry G Hoplite Head Iron","1","True","False","True","1","BC3","Binary","9.961","0-10%"
"Infantry G Hoplite Standard","20","True","False","True","1","BC3","MultiValue","19.189","10-25%"
"Infantry G Hypaspist Cape","10","False","False","False","0","BC3","","",""
"Infantry G Hypaspist Head Iron","1","True","False","True","1","BC3","Binary","10.059","10-25%"
"Infantry G Hypaspist Standard","8","True","False","True","1","BC3","MultiValue","41.65","25-50%"
"Infantry G Militia","5","True","False","True","1","BC3","MultiValue","52.148","50-75%"
"Infantry G Myrmidon Head Iron","9","True","False","True","1","BC3","Binary","8.74","0-10%"
"Infantry G Myrmidon Iron","8","True","False","True","1","BC3","MultiValue","28.809","25-50%"
"Infantry N Huskarl Bronze","10","True","False","True","1","BC3","MultiValue","7.104","0-10%"
"Infantry N Huskarl Cape","15","False","False","False","1","BC3","","",""
"infantry n huskarl iron","2","True","False","True","1","BC3","MultiValue","7.104","0-10%"
"Infantry N Huskarl Standard","8","True","False","True","1","BC3","MultiValue","7.104","0-10%"
"infantry n ulfsark scout","15","False","False","True","1","BC3","MultiValue","22.803","10-25%"
"Infantry N Ulfsark Standard","8","True","False","True","1","BC3","MultiValue","36.475","25-50%"
"Infantry X 2 Sword Fighter Iron","18","True","False","True","1","BC3","MultiValue","11.182","10-25%"
"Infantry X Maceman Iron","18","True","False","True","1","BC3","MultiValue","14.282","10-25%"
"Infantry X Swordsman Iron","26","True","False","True","1","BC3","Binary","19.312","10-25%"
"Infantry X Trident Soldier Cape Iron","21","False","False","True","1","BC3","MultiValue","83.496","75-100%"
"Infantry X Trident Soldier Hero","2","True","False","True","1","BC3","MultiValue","13.721","10-25%"
"Infantry X Trident Soldier Iron","19","True","False","True","1","BC3","MultiValue","13.721","10-25%"
"Infantry X Trident Soldier Shield Hero","2","False","False","True","1","BC3","MultiValue","21.68","10-25%"
"Infantry X Trident Soldier Shield Iron","21","False","False","True","1","BC3","MultiValue","21.68","10-25%"
"Kronos Wonder Map2","6","True","False","True","1","BC3","Binary","2.304","0-10%"
"LP Cine X Krios","6","True","False","True","1","BC3","MultiValue","1.208","0-10%"
"LP E Cavalry","6","True","False","False","1","BC3","","",""
"LP MU X Argus Map","8","True","False","True","1","BC3","MultiValue","9.265","0-10%"
"LP MU X Stymphalian Bird Map","5","True","False","True","1","BC3","MultiValue","4.871","0-10%"
"MU X Argus Map","8","True","False","True","1","BC3","MultiValue","9.903","0-10%"
"MU X Atlantean Flying Medic Map","7","True","False","True","1","BC3","MultiValue","13.733","10-25%"
"MU X Atlantean Hundred Giant Map","20","True","False","True","1","BC3","MultiValue","12.238","10-25%"
"MU X Atlantean Lampedes map","16","True","False","True","1","BC3","MultiValue","19.464","10-25%"
"MU X Atlantean ManOWar Map","12","True","False","True","1","BC3","MultiValue","28.186","25-50%"
"MU X Atlantean Satyr Map","8","True","False","True","1","BC3","MultiValue","8.82","0-10%"
"MU X Automation Map","22","True","False","True","1","BC3","MultiValue","15.845","10-25%"
"MU X Behemoth Map","12","True","False","True","1","BC3","MultiValue","2.277","0-10%"
"MU X Dryad","14","True","False","True","1","BC3","MultiValue","3.748","0-10%"
"MU X Nereid Rider Map","11","True","False","True","1","BC3","MultiValue","13.733","10-25%"
"MU X Promethean Map","38","True","False","True","1","BC3","MultiValue","5.371","0-10%"
"MU X Servant of Oceanus Map","14","True","False","True","1","BC3","MultiValue","28.058","25-50%"
"MU X Stymphalian Bird Map","5","True","False","True","1","BC3","MultiValue","5.052","0-10%"
"Naval C All","23","False","False","True","4","BC3","MultiValue","3.027","0-10%"
"Naval E All","45","True","False","True","1","BC3","MultiValue","75.522","75-100%"
"Naval E Pirate Ship","12","True","False","True","1","BC3","MultiValue","5.92","0-10%"
"Naval G All","95","True","False","True","1","BC3","MultiValue","74.352","50-75%"
"naval g all wrecked","4","True","False","True","1","BC3","MultiValue","74.352","50-75%"
"Naval N All","49","True","False","False","1","BC3","","",""
"Naval N Kraken","10","True","False","True","1","BC3","MultiValue","8.838","0-10%"
"Naval N Longship map","2","True","False","False","","","","",""
"Naval X All","55","True","False","True","1","BC3","MultiValue","75.914","75-100%"
"Oranos Wonder Map","4","True","False","True","1","BC3","Binary","0.397","0-10%"
"Oranos Wonder Map1","5","True","False","True","1","BC3","Binary","1.953","0-10%"
"Platform Map","6","True","False","True","1","BC3","Binary","1.367","0-10%"
"Projectile A Ballista Arrow","4","False","False","True","1","BC3","Binary","8.594","0-10%"
"Scenario B Amanra map","20","True","False","True","1","BC3","MultiValue","16.895","10-25%"
"scenario c danzhu","6","False","False","True","4","BC3","MultiValue","1.691","0-10%"
"scenario c danzhu head","1","False","False","True","4","BC3","Binary","0","0-10%"
"Scenario C Gargarensis map","25","True","False","True","1","BC3","MultiValue","7.611","0-10%"
"scenario c jiaolong","11","True","False","True","4","BC3","MultiValue","17.172","10-25%"
"scenario c jiaolong head","1","False","False","True","4","BC3","MultiValue","8.838","0-10%"
"Scenario C Kamos","48","True","False","True","1","BC3","MultiValue","8.551","0-10%"
"scenario c shun","30","False","False","True","1","BC3","MultiValue","18.701","10-25%"
"scenario c shun head","11","False","False","True","4","BC3","Binary","0","0-10%"
"Scenario E Great Box","6","False","False","True","1","BC3","MultiValue","3.893","0-10%"
"Scenario E Great Box map","1","True","False","False","1","BC3","","",""
"Scenario E Guardian","39","True","False","True","1","BC3","MultiValue","5.963","0-10%"
"Scenario E Setna map","18","True","False","True","1","BC3","MultiValue","16.797","10-25%"
"Scenario G Arkantos Man map","12","True","False","True","1","BC3","MultiValue","25.61","25-50%"
"Scenario G Arkantos map","30","True","False","True","1","BC3","MultiValue","27.655","25-50%"
"Scenario G Chiron Map","26","True","False","True","1","BC3","MultiValue","24.756","10-25%"
"Scenario G Circe","21","True","False","True","1","BC3","Binary","6.616","0-10%"
"Scenario G Kastor map","10","True","False","True","1","BC3","MultiValue","14.355","10-25%"
"Scenario G Odysseus map","10","True","False","True","1","BC3","MultiValue","65.063","50-75%"
"Scenario G Old Man Map","2","True","False","True","1","BC3","MultiValue","65.674","50-75%"
"scenario g skult map","9","True","False","True","1","BC3","MultiValue","29.663","25-50%"
"Scenario N Brokk Standard","36","True","False","True","1","BC3","MultiValue","20.874","10-25%"
"Scenario N Eitri Standard","37","True","False","True","1","BC3","MultiValue","22.217","10-25%"
"Scenario N Folstag Flag","7","True","False","False","1","BC3","","",""
"scenario n pirate ship","8","True","False","False","1","BC3","","",""
"Scenario N Reginleif map","23","True","False","True","1","BC3","Binary","6.055","0-10%"
"Scenario N Reginleif Weapons map","23","True","False","True","1","BC3","MultiValue","9.912","0-10%"
"Scenario T Shared","1","True","False","False","","","","",""
"scenario t troy wall long","9","True","False","True","1","BC3","Binary","3.516","0-10%"
"scenario t troy wall long dead","4","True","False","True","1","BC3","Binary","3.516","0-10%"
"Scenario Theocrat","11","True","False","True","1","BC3","MultiValue","6.519","0-10%"
"Scenario Theocrat Staff","14","True","False","True","1","BC3","Binary","15.625","10-25%"
"Scenario Theocrat Staff(pixelxform1)","2","False","True","False","","","","",""
"Scenario Theocrat(pixelxform1)","1","False","True","False","","","","",""
"scenario x amanra map","11","True","False","True","1","BC3","MultiValue","20.63","10-25%"
"SFX A Carnivora","12","True","False","False","1","BC3","","",""
