"MaterialFile","Texture","SecondaryTexture","Bumpmap","Specmap","Glossmap","EmissiveMap","ColorTransform","Flags","PixelXForm"
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_0.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_1.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_2.mtrl.xml","Animal Bearlaser beam map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_3.mtrl.xml","Animal Bearlaser cape map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_4.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_5.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_6.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attacka_7.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_0.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_1.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_2.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_3.mtrl.xml","Animal Bearlaser beam map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_4.mtrl.xml","Animal Bearlaser cape map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_attackb_5.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_0.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_1.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_2.mtrl.xml","Animal Bearlaser beam map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_3.mtrl.xml","Animal Bearlaser cape map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_4.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_boreda_5.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_0.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_1.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_deatha_2.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_0.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_1.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_2.mtrl.xml","Animal Bearlaser beam map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_3.mtrl.xml","Animal Bearlaser cape map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_4.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_idlea_5.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_0.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_1.mtrl.xml","Animal Monkey map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_2.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_3.mtrl.xml","Animal Bearlaser map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_4.mtrl.xml","Animal Bearlaser beam map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bearlaser_walka_5.mtrl.xml","Animal Bearlaser cape map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_attacka_0.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_attacka_1.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boreda_0.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boreda_1.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boredb_0.mtrl.xml","Animal Bear map","","","","","","0","",""
"D:\AI_upscaling\AoMEE\reports\materials_xml\animal bear_boredb_1.mtrl.xml","Animal Bear map","","","","","","0","",""
