"Category","Filename","Path","Width","Height","AlphaValueCount","TransparentPixels","PartialAlphaPixels","OpaquePixels","AlphaCoveragePct","OpaqueCoveragePct","MapNamed","Variant"
"Building","building g shared05 2 map.tga","textures\building g shared05 2 map.tga","256","256","2","63268","0","2268","3.461","3.461",,
"Building","scenario t troy wall long dead.tga","textures\scenario t troy wall long dead.tga","256","256","2","63232","0","2304","3.516","3.516",,
"Building","scenario t troy wall long deadb.tga","textures\scenario t troy wall long deadb.tga","256","256","2","63232","0","2304","3.516","3.516",,
"Building","scenario t troy wall long.tga","textures\scenario t troy wall long.tga","256","256","2","63232","0","2304","3.516","3.516",,
"Building","building g fortressroof.tga","textures\building g fortressroof.tga","256","256","2","63188","0","2348","3.583","3.583",,
"Building","building e age4.tga","textures\building e age4.tga","256","256","2","62160","0","3376","5.151","5.151",,
"Building","building e settlement age4.tga","textures\building e settlement age4.tga","256","256","2","62160","0","3376","5.151","5.151",,
"Character/Unit","hero g heracles head.tga","textures\hero g heracles head.tga","64","32","2","2040","0","8","0.391","0.391",,
"Character/Unit","infantry x trident soldier head hero.tga","textures\infantry x trident soldier head hero.tga","64","16","2","1009","0","15","1.465","1.465",,
"Character/Unit","hero g theseus shield.tga","textures\hero g theseus shield.tga","64","32","2","1844","0","204","9.961","9.961",,
"Icon","bevel square.tga","textures\icons\bevel square.tga","64","64","2","3712","0","384","9.375","9.375",,
"Other","sfx e inferno embers.tga","textures\sfx e inferno embers.tga","64","64","2","4081","0","15","0.366","0.366",,
"Other","platform map.tga","textures\platform map.tga","128","32","2","4040","0","56","1.367","1.367",,
"Other","villager n oxcart.tga","textures\villager n oxcart.tga","128","128","2","16090","0","294","1.794","1.794",,
"Other","sfx g plenty.tga","textures\sfx g plenty.tga","256","256","2","64155","0","1381","2.107","2.107",,
"Other","special g centaur low.tga","textures\special g centaur low.tga","128","64","2","8008","0","184","2.246","2.246",,
"Other","statue x oranos map.tga","textures\statue x oranos map.tga","128","128","2","15915","0","469","2.863","2.863",,
"Other","scenario g circe head.tga","textures\scenario g circe head.tga","32","32","2","994","0","30","2.93","2.93",,
"Other","cavalry g hippikon head bronze.tga","textures\cavalry g hippikon head bronze.tga","32","32","2","989","0","35","3.418","3.418",,
"Other","cavalry g hippikon head copper.tga","textures\cavalry g hippikon head copper.tga","32","32","2","989","0","35","3.418","3.418",,
"Other","cavalry g hippikon head iron.tga","textures\cavalry g hippikon head iron.tga","32","32","2","989","0","35","3.418","3.418",,
"Other","special e roc basket.tga","textures\special e roc basket.tga","128","128","2","15769","0","615","3.754","3.754",,
"Other","cavalry e war elephant basket standard.tga","textures\cavalry e war elephant basket standard.tga","64","64","2","3927","0","169","4.126","4.126",,
"Other","siege n ballista iron.tga","textures\siege n ballista iron.tga","64","64","2","3927","0","169","4.126","4.126",,
"Other","siege n ballista.tga","textures\siege n ballista.tga","64","64","2","3927","0","169","4.126","4.126",,
"Other","sfx e citadel age4.tga","textures\sfx e citadel age4.tga","256","256","2","62734","0","2802","4.276","4.276",,
"Other","sfx e citadel.tga","textures\sfx e citadel.tga","256","256","2","62734","0","2802","4.276","4.276",,
"Other","cine g poseidon stone.tga","textures\cine g poseidon stone.tga","256","256","2","62730","0","2806","4.282","4.282",,
"Other","special e petesuchos.tga","textures\special e petesuchos.tga","128","128","2","15668","0","716","4.37","4.37",,
"Other","special g centaur upgrade.tga","textures\special g centaur upgrade.tga","64","64","2","3906","0","190","4.639","4.639",,
"Other","special g centaur.tga","textures\special g centaur.tga","64","64","2","3906","0","190","4.639","4.639",,
"Other","special g cyclops upgrade.tga","textures\special g cyclops upgrade.tga","128","128","2","15600","0","784","4.785","4.785",,
"Other","special g cyclops.tga","textures\special g cyclops.tga","128","128","2","15600","0","784","4.785","4.785",,
"Other","siege g petrobolos iron.tga","textures\siege g petrobolos iron.tga","64","64","2","3866","0","230","5.615","5.615",,
"Other","siege g petrobolos.tga","textures\siege g petrobolos.tga","64","64","2","3866","0","230","5.615","5.615",,
"Other","trade g caravan cargo.tga","textures\trade g caravan cargo.tga","64","64","2","3854","0","242","5.908","5.908",,
"Other","siege c sitting tiger iron.tga","textures\siege c sitting tiger iron.tga","64","64","2","3851","0","245","5.981","5.981",,
"Other","siege c sitting tiger.tga","textures\siege c sitting tiger.tga","64","64","2","3851","0","245","5.981","5.981",,
"Other","scenario n reginleif map.tga","textures\scenario n reginleif map.tga","64","64","2","3848","0","248","6.055","6.055",,
"Other","infantry e chariot archer iron map.tga","textures\infantry e chariot archer iron map.tga","64","64","2","3832","0","264","6.445","6.445",,
"Other","scenario g circe.tga","textures\scenario g circe.tga","64","64","2","3825","0","271","6.616","6.616",,
"Other","siege e catapult iron.tga","textures\siege e catapult iron.tga","64","64","2","3825","0","271","6.616","6.616",,
"Other","siege e catapult.tga","textures\siege e catapult.tga","64","64","2","3825","0","271","6.616","6.616",,
"Other","cavalry g hippikon horse standard.tga","textures\cavalry g hippikon horse standard.tga","128","128","2","14988","0","1396","8.521","8.521",,
"Other","cavalry g prodromos horse standard.tga","textures\cavalry g prodromos horse standard.tga","128","128","2","14988","0","1396","8.521","8.521",,
"Other","special g pegasus.tga","textures\special g pegasus.tga","128","128","2","14988","0","1396","8.521","8.521",,
"Other","projectile a ballista arrow iron.tga","textures\projectile a ballista arrow iron.tga","64","16","2","936","0","88","8.594","8.594",,
"Other","projectile a ballista arrow.tga","textures\projectile a ballista arrow.tga","64","16","2","936","0","88","8.594","8.594",,
"Other","siege n ballista bolt iron.tga","textures\siege n ballista bolt iron.tga","64","16","2","936","0","88","8.594","8.594",,
"Other","siege n ballista bolt.tga","textures\siege n ballista bolt.tga","64","16","2","936","0","88","8.594","8.594",,
"Other","infantry g myrmidon head iron.tga","textures\infantry g myrmidon head iron.tga","64","32","2","1869","0","179","8.74","8.74",,
"Other","trade e caravan basket.tga","textures\trade e caravan basket.tga","128","128","2","14907","0","1477","9.015","9.015",,
"Other","infantry g hoplite head iron.tga","textures\infantry g hoplite head iron.tga","32","32","2","922","0","102","9.961","9.961",,
"World/Terrain","world g hades temple.tga","textures\world g hades temple.tga","256","256","2","64440","0","1096","1.672","1.672",,
"World/Terrain","world e statue isis.tga","textures\world e statue isis.tga","128","128","2","16097","0","287","1.752","1.752",,
"World/Terrain","world g statue hades.tga","textures\world g statue hades.tga","128","128","2","16066","0","318","1.941","1.941",,
"World/Terrain","world c statue nuwa stand.tga","textures\world c statue nuwa stand.tga","32","64","2","1984","0","64","3.125","3.125",,
"World/Terrain","world g statue zeus.tga","textures\world g statue zeus.tga","128","128","2","15830","0","554","3.381","3.381",,
"World/Terrain","world g shrine map.tga","textures\world g shrine map.tga","128","128","2","15469","0","915","5.585","5.585",,
"World/Terrain","world e tent.tga","textures\world e tent.tga","128","128","2","15338","0","1046","6.384","6.384",,
