"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"villager g female head.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"villager n female head.tga","","32","32","0","BC3","Binary","1","100","75-100%"
"ui line yellow vertical.tga","","8","256","0","DeflatedRGBA8","MultiValue","221","0.391","0-10%"
"ui line yellow.tga","","256","8","0","DeflatedRGBA8","MultiValue","227","0.391","0-10%"
"animal flying purple hippo.tga","","256","128","1","BC3","Binary","1","0","0-10%"
"animal prmonkey.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"building e age3a accessories.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e age4 accessories.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e age4roof.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e monument2.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"building e monument4.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e ra wonder01.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e set wonder01.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e set wonder03.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building e titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"building g fortresswall2.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building g titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"building n thorarmory1.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"building n titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"cavalry g hetairoi head iron.tga","","32","32","1","BC3","Binary","1","0","0-10%"
"hero g athena head low map.tga","","32","32","1","BC3","Binary","1","0","0-10%"
"infantry e spearman shield map.tga","","32","32","1","BC3","Binary","1","0","0-10%"
"lp g militia.tga","","64","32","1","BC3","Binary","1","0","0-10%"
"scenario a gate ram.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"scenario e great box cart.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"scenario g arkantos god map.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"scenario n dwarven mine inside.tga","","256","128","1","BC3","Binary","1","0","0-10%"
"scenario n dwarven mine opening.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"scenario n dwarven mine outside.tga","","256","128","1","BC3","Binary","1","0","0-10%"
"scenario n thors hammer.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"sfx g lightning bolt.tga","","64","32","1","BC3","Binary","1","0","0-10%"
"sfx n dwarven mine.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"siege e catapult projectile.tga","","32","32","1","BC3","Binary","1","0","0-10%"
"special e roc.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"special e scorpion man head.tga","","32","32","1","BC3","Binary","1","0","0-10%"
"special n king folstag.tga","","64","64","1","BC3","Binary","1","0","0-10%"
"special n valkyrie low.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"statue x kronos map.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"titan x golem map2.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"trade e caravan cargo.tga","","64","64","1","BC3","Binary","1","0","0-10%"
"world a gold map.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"world a relic armor of achilles.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic eye of horus.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic fetters of fenrir.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic golden bridle of pegasus.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic head of orpheus.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic ring of the nibelung.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic ship of fingernails.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world a relic the wedjat eye.tga","","128","64","1","BC3","Binary","1","0","0-10%"
"world g statue poseidon base.tga","","64","32","1","BC3","Binary","1","0","0-10%"
"world g zues uwpassage.tga","","256","256","1","BC3","Binary","1","0","0-10%"
"world g zuesstairs.tga","","128","128","1","BC3","Binary","1","0","0-10%"
"building e outpost.tga","","256","256","1","BC3","Binary","2","0.262","0-10%"
"building g shrine.tga","","256","256","1","BC3","Binary","2","0.317","0-10%"
"hero g heracles head.tga","","64","32","1","BC3","Binary","2","0.391","0-10%"
"oranos wonder map.tga","","256","256","1","BC3","Binary","2","0.397","0-10%"
"building g roofage1.tga","","256","256","1","BC3","Binary","2","0.412","0-10%"
"building x titangate.tga","","256","256","1","BC3","Binary","2","0.415","0-10%"
"building x palace age2.tga","","256","256","1","BC3","Binary","2","0.586","0-10%"
"building n thorarmory.tga","","256","256","1","BC3","Binary","2","0.861","0-10%"
"building g fortress.tga","","256","256","1","BC3","Binary","2","0.989","0-10%"
"building x wall iron.tga","","256","256","1","BC3","Binary","2","1.32","0-10%"
"building x roof age0.tga","","256","256","1","BC3","Binary","2","1.324","0-10%"
"building x wall stone.tga","","256","256","1","BC3","Binary","2","1.337","0-10%"
"building n templeage1.tga","","256","256","1","BC3","Binary","2","1.341","0-10%"
"building n templeage2.tga","","256","256","1","BC3","Binary","2","1.341","0-10%"
"building n templeage3.tga","","256","256","1","BC3","Binary","2","1.341","0-10%"
"platform map.tga","","128","32","1","BC3","Binary","2","1.367","0-10%"
"building n shared06 2 map.tga","","256","256","1","BC3","Binary","2","1.37","0-10%"
"building g age0.tga","","256","256","1","BC3","Binary","2","1.408","0-10%"
"building x tower watch4.tga","","256","256","1","BC3","Binary","2","1.41","0-10%"
"building g settlementage1.tga","","256","256","1","BC3","Binary","2","1.424","0-10%"
"building g settlementage3.tga","","256","256","1","BC3","Binary","2","1.424","0-10%"
"building x wall bronze.tga","","256","256","1","BC3","Binary","2","1.428","0-10%"
"building n settlementage1.tga","","256","256","1","BC3","Binary","2","1.434","0-10%"
"building n settlementage2.tga","","256","256","1","BC3","Binary","2","1.45","0-10%"
"infantry x trident soldier head hero.tga","","64","16","1","BC3","Binary","2","1.465","0-10%"
"building g templeage2.tga","","256","256","1","BC3","Binary","2","1.479","0-10%"
"building g templeage1.tga","","256","256","1","BC3","Binary","2","1.515","0-10%"
"building x tower watch2.tga","","256","256","1","BC3","Binary","2","1.517","0-10%"
"building x tower watch3.tga","","256","256","1","BC3","Binary","2","1.517","0-10%"
"building e age2 accessories burnt.tga","","256","256","1","BC3","Binary","2","1.526","0-10%"
"building_e_monumentbase_map.tga","","256","256","1","BC3","Binary","2","1.562","0-10%"
"building e lighthouse.tga","","256","256","1","BC3","Binary","2","1.595","0-10%"
"building g wonder.tga","","256","256","1","BC3","Binary","2","1.598","0-10%"
"building e age3 accessories.tga","","256","256","1","BC3","Binary","2","1.614","0-10%"
"building e shared02 2 map.tga","","256","256","1","BC3","Binary","2","1.614","0-10%"
"building n settlementage3.tga","","256","256","1","BC3","Binary","2","1.642","0-10%"
"building g settlementage2.tga","","256","256","1","BC3","Binary","2","1.645","0-10%"
"world g hades temple.tga","","256","256","1","BC3","Binary","2","1.672","0-10%"
"building x palace age3.tga","","256","256","1","BC3","Binary","2","1.678","0-10%"
"building n shared01 1 map.tga","","256","256","1","BC3","Binary","2","1.698","0-10%"
"building g towers.tga","","256","256","1","BC3","Binary","2","1.712","0-10%"
"world e statue isis.tga","","128","128","1","BC3","Binary","2","1.752","0-10%"
"villager n oxcart.tga","","128","128","1","BC3","Binary","2","1.794","0-10%"
"building g fortifiedwall.tga","","256","256","1","BC3","Binary","2","1.804","0-10%"
"animal goatnubian map.tga","","64","64","1","BC3","Binary","2","1.807","0-10%"
"building e wall4.tga","","256","256","1","BC3","Binary","2","1.892","0-10%"
"world g statue hades.tga","","128","128","1","BC3","Binary","2","1.941","0-10%"
"oranos wonder map1.tga","","256","256","1","BC3","Binary","2","1.953","0-10%"
"building g temple.tga","","256","256","1","BC3","Binary","2","1.996","0-10%"
"building n shared01 3 map.tga","","256","256","1","BC3","Binary","2","1.996","0-10%"
"cavalry g hippikon horse copper.tga","","128","128","1","BC3","Binary","2","10.004","10-25%"
"cavalry g prodromos horse copper.tga","","128","128","1","BC3","Binary","2","10.004","10-25%"
"archer g toxotes head bronze.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"archer g toxotes head copper.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"archer g toxotes head iron.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"archer g toxotes head standard.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"infantry g hypaspist head bronze.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"infantry g hypaspist head copper.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"infantry g hypaspist head iron.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"infantry g hypaspist head standard.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"special g centaur head upgrade.tga","","32","32","1","BC3","Binary","2","10.059","10-25%"
"cine x mp melagius head.tga","","16","16","1","BC3","Binary","2","10.156","10-25%"
"sfx g sentinel.tga","","128","128","1","BC3","Binary","2","10.535","10-25%"
"archer n throwing axeman low bronze.tga","","32","32","1","BC3","Binary","2","10.547","10-25%"
"archer n throwing axeman low copper.tga","","32","32","1","BC3","Binary","2","10.547","10-25%"
"archer n throwing axeman low iron.tga","","32","32","1","BC3","Binary","2","10.547","10-25%"
"archer n throwing axeman low standard.tga","","32","32","1","BC3","Binary","2","10.547","10-25%"
"cavalry g cataphract head iron.tga","","32","32","1","BC3","Binary","2","10.645","10-25%"
"special n jormund brood hump.tga","","64","128","1","BC3","Binary","2","10.938","10-25%"
"animal caribou map.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"attachments a axe map.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"attachments a shovel.tga","","64","8","1","BC3","Binary","1","100","75-100%"
"attachments n shield cinepirateship map.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"building e isis wonder03.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"building e monument1.tga","","128","128","1","BC3","Binary","1","100","75-100%"
"building e monument3.tga","","128","128","1","BC3","Binary","1","100","75-100%"
"cine a kemsyt head bag.tga","","128","128","1","BC3","Binary","1","100","75-100%"
"cine spear map.tga","","128","256","1","BC3","Binary","1","100","75-100%"
"cine x trident soldier helmet.tga","","128","128","1","BC3","Binary","1","100","75-100%"
"hero g achilles.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero g ajax.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero g atalanta.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"hero g chiron.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero g heracles.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero g hippolyta.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero g theseus.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"hero n ragnorok female head.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"hero n ragnorok male head.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"infantry e mercenary head.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"infantry x trident soldier head iron.tga","","64","16","1","BC3","Binary","1","100","75-100%"
"scenario u chronos hand.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"sfx g plenty decal.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"sfx g plenty shadow.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"siege g trojan horse.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"special g agamemnon head.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"special g athena head.tga","","128","64","1","BC3","Binary","1","100","75-100%"
"special g underworld shade.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"temp santa head.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"titan n troll hammer map.tga","","128","128","1","BC3","Binary","1","100","75-100%"
"titan n troll map1.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"villager g atlantean male head.tga","","32","32","1","BC3","Binary","1","100","75-100%"
"world a fountain.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"world a jade map.tga","","256","256","1","BC3","Binary","1","100","75-100%"
"world a relic monkey.tga","","128","64","1","BC3","Binary","1","100","75-100%"
"world e brazier map.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"world g brazier map.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"world g statue base.tga","","64","32","1","BC3","Binary","1","100","75-100%"
"world n brazier map.tga","","64","64","1","BC3","Binary","1","100","75-100%"
"special e phoenix egg.tga","","64","64","1","BC3","Binary","2","12.5","10-25%"
"infantry e spearman iron.tga","","64","64","1","BC3","Binary","2","13.062","10-25%"
"special n einheriar upgrade.tga","","64","64","1","BC3","Binary","2","13.428","10-25%"
"special n einheriar.tga","","64","64","1","BC3","Binary","2","13.428","10-25%"
"special n raven.tga","","64","64","1","BC3","Binary","2","13.672","10-25%"
"scenario theocrat staff.tga","","32","8","1","BC3","Binary","2","15.625","10-25%"
"world e statue ra.tga","","128","128","1","BC3","Binary","2","15.906","10-25%"
"special e priest head.tga","","32","16","1","BC3","Binary","2","16.406","10-25%"
"cine g ajax old map.tga","","256","256","1","BC3","Binary","2","17.076","10-25%"
"cavalry g hippikon standard.tga","","64","64","1","BC3","Binary","2","18.872","10-25%"
"infantry x swordsman bronze.tga","","64","64","1","BC3","Binary","2","19.312","10-25%"
"infantry x swordsman copper.tga","","64","64","1","BC3","Binary","2","19.312","10-25%"
"infantry x swordsman hero.tga","","64","64","1","BC3","Binary","2","19.312","10-25%"
"infantry x swordsman iron.tga","","64","64","1","BC3","Binary","2","19.312","10-25%"
"infantry x swordsman standard.tga","","64","64","1","BC3","Binary","2","19.312","10-25%"
"building e isis wonder02.tga","","256","256","1","BC3","Binary","2","2.04","0-10%"
"building e isis wonder01.tga","","256","256","1","BC3","Binary","2","2.051","0-10%"
"building x roof age1.tga","","256","256","1","BC3","Binary","2","2.081","0-10%"
"building e ra wonder02.tga","","256","256","1","BC3","Binary","2","2.097","0-10%"
"sfx g plenty.tga","","256","256","1","BC3","Binary","2","2.107","0-10%"
"building e set wonder02.tga","","256","256","1","BC3","Binary","2","2.142","0-10%"
"special g centaur low.tga","","128","64","1","BC3","Binary","2","2.246","0-10%"
"building e monument platforms.tga","","256","256","1","BC3","Binary","2","2.251","0-10%"
"building x wall oreichalkos.tga","","256","256","1","BC3","Binary","2","2.283","0-10%"
"kronos wonder map2.tga","","256","256","1","BC3","Binary","2","2.304","0-10%"
"building g hades wonder.tga","","256","256","1","BC3","Binary","2","2.344","0-10%"
"building g wallsage2.tga","","256","256","1","BC3","Binary","2","2.435","0-10%"
"building g fortresswall.tga","","256","256","1","BC3","Binary","2","2.464","0-10%"
"animal cow a map.tga","","128","128","1","BC3","Binary","2","2.686","0-10%"
"animal cow b map.tga","","128","128","1","BC3","Binary","2","2.686","0-10%"
"animal cow c map.tga","","128","128","1","BC3","Binary","2","2.686","0-10%"
"building g zues wonder01.tga","","256","256","1","BC3","Binary","2","2.766","0-10%"
"building e titan gate map.tga","","256","256","1","BC3","Binary","2","2.826","0-10%"
"statue x oranos map.tga","","128","128","1","BC3","Binary","2","2.863","0-10%"
"scenario g circe head.tga","","32","32","1","BC3","Binary","2","2.93","0-10%"
"cavalry g hippikon copper.tga","","64","64","1","BC3","Binary","2","21.924","10-25%"
"world a bouy.tga","","32","32","1","BC3","Binary","2","22.656","10-25%"
"hero g belerophon.tga","","64","64","1","BC3","Binary","2","23.071","10-25%"
"world a waypoint flag.tga","","128","64","1","BC3","Binary","2","25","10-25%"
"hero n hero low.tga","","64","64","1","BC3","Binary","2","28.076","25-50%"
"cavalry e chariot horse map.tga","","128","128","1","BC3","Binary","2","28.888","25-50%"
"building e age2 burnt.tga","","256","256","1","BC3","Binary","2","3.07","0-10%"
"building e age2.tga","","256","256","1","BC3","Binary","2","3.07","0-10%"
"building e settlement age2.tga","","256","256","1","BC3","Binary","2","3.07","0-10%"
"building e shared01 2 map.tga","","256","256","1","BC3","Binary","2","3.07","0-10%"
"building g wallsage1.tga","","256","256","1","BC3","Binary","2","3.145","0-10%"
"building g wallsage3.tga","","256","256","1","BC3","Binary","2","3.355","0-10%"
"world g statue zeus.tga","","128","128","1","BC3","Binary","2","3.381","0-10%"
"cavalry g hippikon head bronze.tga","","32","32","1","BC3","Binary","2","3.418","0-10%"
"cavalry g hippikon head copper.tga","","32","32","1","BC3","Binary","2","3.418","0-10%"
"cavalry g hippikon head iron.tga","","32","32","1","BC3","Binary","2","3.418","0-10%"
"building g shared05 2 map.tga","","256","256","1","BC3","Binary","2","3.461","0-10%"
"scenario t troy wall long dead.tga","","256","256","1","BC3","Binary","2","3.516","0-10%"
"scenario t troy wall long deadb.tga","","256","256","1","BC3","Binary","2","3.516","0-10%"
"scenario t troy wall long.tga","","256","256","1","BC3","Binary","2","3.516","0-10%"
"building g fortressroof.tga","","256","256","1","BC3","Binary","2","3.583","0-10%"
"special e roc basket.tga","","128","128","1","BC3","Binary","2","3.754","0-10%"
"cavalry x javelin copper.tga","","64","64","1","BC3","Binary","2","31.104","25-50%"
"cavalry x javelin standard.tga","","64","64","1","BC3","Binary","2","31.104","25-50%"
"archer g peltast low copper.tga","","32","32","1","BC3","Binary","2","31.348","25-50%"
"cavalry e war elephant basket standard.tga","","64","64","1","BC3","Binary","2","4.126","0-10%"
"siege n ballista iron.tga","","64","64","1","BC3","Binary","2","4.126","0-10%"
"siege n ballista.tga","","64","64","1","BC3","Binary","2","4.126","0-10%"
"sfx e citadel age4.tga","","256","256","1","BC3","Binary","2","4.276","0-10%"
"sfx e citadel.tga","","256","256","1","BC3","Binary","2","4.276","0-10%"
"cine g poseidon stone.tga","","256","256","1","BC3","Binary","2","4.282","0-10%"
"special e petesuchos.tga","","128","128","1","BC3","Binary","2","4.37","0-10%"
"special g centaur upgrade.tga","","64","64","1","BC3","Binary","2","4.639","0-10%"
"special g centaur.tga","","64","64","1","BC3","Binary","2","4.639","0-10%"
"special g cyclops upgrade.tga","","128","128","1","BC3","Binary","2","4.785","0-10%"
"special g cyclops.tga","","128","128","1","BC3","Binary","2","4.785","0-10%"
"world g garrison flag.tga","","64","32","1","BC3","Binary","2","47.461","25-50%"
"building e age4.tga","","256","256","1","BC3","Binary","2","5.151","0-10%"
"building e settlement age4.tga","","256","256","1","BC3","Binary","2","5.151","0-10%"
"world g shrine map.tga","","128","128","1","BC3","Binary","2","5.585","0-10%"
"siege g petrobolos iron.tga","","64","64","1","BC3","Binary","2","5.615","0-10%"
"siege g petrobolos.tga","","64","64","1","BC3","Binary","2","5.615","0-10%"
"trade g caravan cargo.tga","","64","64","1","BC3","Binary","2","5.908","0-10%"
"low infantry g normal head bronze.tga","","32","16","1","BC3","Binary","2","50","25-50%"
"low infantry g normal head copper.tga","","32","16","1","BC3","Binary","2","50","25-50%"
"low infantry g normal head iron.tga","","32","16","1","BC3","Binary","2","50","25-50%"
"low infantry g normal head standard.tga","","32","16","1","BC3","Binary","2","50","25-50%"
"scenario n reginleif map.tga","","64","64","1","BC3","Binary","2","6.055","0-10%"
"world e tent.tga","","128","128","1","BC3","Binary","2","6.384","0-10%"
"infantry e chariot archer iron map.tga","","64","64","1","BC3","Binary","2","6.445","0-10%"
"scenario g circe.tga","","64","64","1","BC3","Binary","2","6.616","0-10%"
"siege e catapult iron.tga","","64","64","1","BC3","Binary","2","6.616","0-10%"
"siege e catapult.tga","","64","64","1","BC3","Binary","2","6.616","0-10%"
"siege g petrobolos tire low.tga","","16","16","1","BC3","Binary","2","70.703","50-75%"
"command time shift icons 32.tga","","32","32","1","DeflatedRGBA8","Binary","2","79.492","75-100%"
"cavalry g hippikon horse standard.tga","","128","128","1","BC3","Binary","2","8.521","0-10%"
"cavalry g prodromos horse standard.tga","","128","128","1","BC3","Binary","2","8.521","0-10%"
"special g pegasus.tga","","128","128","1","BC3","Binary","2","8.521","0-10%"
"projectile a ballista arrow iron.tga","","64","16","1","BC3","Binary","2","8.594","0-10%"
"projectile a ballista arrow.tga","","64","16","1","BC3","Binary","2","8.594","0-10%"
"siege n ballista bolt iron.tga","","64","16","1","BC3","Binary","2","8.594","0-10%"
"siege n ballista bolt.tga","","64","16","1","BC3","Binary","2","8.594","0-10%"
"infantry g myrmidon head iron.tga","","64","32","1","BC3","Binary","2","8.74","0-10%"
"archer g peltast cape bronze.tga","","64","64","1","BC3","Binary","2","80.908","75-100%"
"archer g peltast cape copper.tga","","64","64","1","BC3","Binary","2","80.908","75-100%"
"archer g peltast cape iron.tga","","64","64","1","BC3","Binary","2","80.908","75-100%"
"archer g peltast cape standard.tga","","64","64","1","BC3","Binary","2","80.908","75-100%"
"world a relic standard.tga","","64","64","1","BC3","Binary","2","82.812","75-100%"
"trade e caravan basket.tga","","128","128","1","BC3","Binary","2","9.015","0-10%"
"hero g theseus shield.tga","","64","32","1","BC3","Binary","2","9.961","0-10%"
"infantry g hoplite head iron.tga","","32","32","1","BC3","Binary","2","9.961","0-10%"
"infantry g hypaspist map.tga","","64","64","1","BC3","Binary","2","94.067","75-100%"
"building n wonder.tga","","256","256","1","BC3","MultiValue","3","0.536","0-10%"
"building n temple.tga","","256","256","1","BC3","MultiValue","3","0.876","0-10%"
"titan x kronos.tga","","256","256","1","BC3","MultiValue","3","0.89","0-10%"
"building x temple age0.tga","","256","256","1","BC3","MultiValue","3","0.946","0-10%"
"world n tent.tga","","128","128","1","BC3","MultiValue","3","1.007","0-10%"
"building n shared02 2 map.tga","","256","256","1","BC3","MultiValue","3","1.054","0-10%"
"special e mummy map.tga","","64","64","1","BC3","MultiValue","3","1.099","0-10%"
"special g chimera.tga","","128","128","1","BC3","MultiValue","3","1.099","0-10%"
"special g sea turtle.tga","","256","256","1","BC3","MultiValue","3","1.1","0-10%"
"gaia wonder map2.tga","","256","256","1","BC3","MultiValue","3","1.176","0-10%"
"special g hydra map.tga","","128","128","1","BC3","MultiValue","3","1.202","0-10%"
"lp cine x krios.tga","","128","128","1","BC3","MultiValue","3","1.208","0-10%"
"special g nemean lion.tga","","128","128","1","BC3","MultiValue","3","1.361","0-10%"
"cavalry n raiding cavalry horse bronze.tga","","128","128","1","BC3","MultiValue","3","1.416","0-10%"
"cavalry n raiding cavalry horse copper.tga","","128","128","1","BC3","MultiValue","3","1.416","0-10%"
"cavalry n raiding cavalry horse iron.tga","","128","128","1","BC3","MultiValue","3","1.416","0-10%"
"cavalry n raiding cavalry horse standard.tga","","128","128","1","BC3","MultiValue","3","1.416","0-10%"
"building n wallage4.tga","","256","256","1","BC3","MultiValue","3","1.428","0-10%"
"siege g petrobolos low.tga","","64","64","1","BC3","MultiValue","3","1.514","0-10%"
"cine x krios.tga","","256","256","1","BC3","MultiValue","3","1.544","0-10%"
"building n tower.tga","","256","128","1","BC3","MultiValue","3","1.596","0-10%"
"world e statue set.tga","","128","128","1","BC3","MultiValue","3","1.599","0-10%"
"titan g cerebus map2.tga","","256","256","1","BC3","MultiValue","3","1.604","0-10%"
"building n hillfort.tga","","256","256","1","BC3","MultiValue","3","1.683","0-10%"
"animal pig map.tga","","64","64","1","BC3","MultiValue","3","1.685","0-10%"
"building n shrine.tga","","128","128","1","BC3","MultiValue","3","1.782","0-10%"
"building n settlementage4.tga","","256","256","1","BC3","MultiValue","3","1.868","0-10%"
"building e age2 wall.tga","","256","256","1","BC3","MultiValue","3","1.955","0-10%"
"world n statue odin.tga","","128","128","1","BC3","MultiValue","3","1.971","0-10%"
"cine x hp automatonmap.tga","","256","256","1","BC3","MultiValue","3","10.007","10-25%"
"cine n reginleif weapons map.tga","","256","256","1","BC3","MultiValue","3","10.048","10-25%"
"cavalry e war elephant rider standard.tga","","64","64","1","BC3","MultiValue","3","10.059","10-25%"
"attachments x shield champion.tga","","128","64","1","BC3","MultiValue","3","10.266","10-25%"
"attachments x shield hero.tga","","128","64","1","BC3","MultiValue","3","10.266","10-25%"
