"Filename","BTIFile","NoAlphaTest","AlphaBits","Format"
"ui button radial 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32 rollover.bti","False","4","DeflatedRGBA8"
"ui button radial 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button radial 32x32.bti","False","0","DeflatedRGBA8"
"ui button slider arrow down 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button slider arrow down 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button slider arrow down 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow down 32x32.bti","False","1","DeflatedRGBA8"
"ui button slider arrow left 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button slider arrow left 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button slider arrow left 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow left 32x32.bti","False","1","DeflatedRGBA8"
"ui button slider arrow right 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button slider arrow right 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button slider arrow right 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow right 32x32.bti","False","1","DeflatedRGBA8"
"ui button slider arrow up 32x32 clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32 clicked.bti","False","1","DeflatedRGBA8"
"ui button slider arrow up 32x32 rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32 rollover.bti","False","1","DeflatedRGBA8"
"ui button slider arrow up 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui button slider arrow up 32x32.bti","False","1","DeflatedRGBA8"
"ui god all random 256x256","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god all random 256x256.bti","False","0","DeflatedRGBA8"
"ui god all random 32x32","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god all random 32x32.bti","False","1","DeflatedRGBA8"
"ui god boarder highlight 128x128","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui god boarder highlight 128x128.bti","False","4","DeflatedRGBA8"
"ui icon button clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button clicked.bti","False","4","DeflatedRGBA8"
"ui icon button foreground film","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground film.bti","False","4","DeflatedRGBA8"
"ui icon button foreground history","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground history.bti","False","4","DeflatedRGBA8"
"ui icon button foreground options","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground options.bti","False","4","DeflatedRGBA8"
"ui icon button foreground steam","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button foreground steam.bti","False","4","DeflatedRGBA8"
"ui icon button rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button rollover.bti","False","4","DeflatedRGBA8"
"ui icon button","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui icon button.bti","False","4","DeflatedRGBA8"
"ui map boarder highlight 128x128","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map boarder highlight 128x128.bti","False","4","DeflatedRGBA8"
"ui map boarder template 128x128","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map boarder template 128x128.bti","False","4","DeflatedRGBA8"
"ui map size select giant clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select giant clicked.bti","False","4","DeflatedRGBA8"
"ui map size select giant","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select giant.bti","False","4","DeflatedRGBA8"
"ui map size select large clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select large clicked.bti","False","4","DeflatedRGBA8"
"ui map size select large","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select large.bti","False","4","DeflatedRGBA8"
"ui map size select normal clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui map size select normal clicked.bti","False","4","DeflatedRGBA8"
"ui pregame button clicked","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button clicked.bti","False","4","DeflatedRGBA8"
"ui pregame button glow","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button glow.bti","False","4","DeflatedRGBA8"
"ui pregame button rollover","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button rollover.bti","False","4","DeflatedRGBA8"
"ui pregame button","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame button.bti","False","4","DeflatedRGBA8"
"ui pregame left bottom","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left bottom.bti","False","4","DeflatedRGBA8"
"ui pregame left middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left middle.bti","False","4","DeflatedRGBA8"
"ui pregame left top","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame left top.bti","False","4","DeflatedRGBA8"
"ui pregame right bottom","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame right bottom.bti","False","4","DeflatedRGBA8"
"ui pregame right middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame right middle.bti","False","4","DeflatedRGBA8"
"ui pregame right top","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame right top.bti","False","4","DeflatedRGBA8"
"ui pregame transparency background","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui pregame transparency background.bti","False","0","DeflatedRGBA8"
"ui scroll bottom tile 8x8","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll bottom tile 8x8.bti","False","1","DeflatedRGBA8"
"ui scroll bottom tile","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll bottom tile.bti","False","1","DeflatedRGBA8"
"ui scroll cap left 8x8","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll cap left 8x8.bti","False","1","DeflatedRGBA8"
"ui scroll cap left","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll cap left.bti","False","1","DeflatedRGBA8"
"ui scroll cap right 8x8","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll cap right 8x8.bti","False","1","DeflatedRGBA8"
"ui scroll cap right","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll cap right.bti","False","1","DeflatedRGBA8"
"ui scroll middle 128x16","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll middle 128x16.bti","False","1","DeflatedRGBA8"
"ui scroll middle 256x16","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll middle 256x16.bti","False","1","DeflatedRGBA8"
"ui scroll middle 64x16","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll middle 64x16.bti","False","1","DeflatedRGBA8"
"ui scroll middle tile 8x8","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll middle tile 8x8.bti","False","1","DeflatedRGBA8"
"ui scroll middle tile","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll middle tile.bti","False","1","DeflatedRGBA8"
"ui scroll top tile 8x8","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll top tile 8x8.bti","False","1","DeflatedRGBA8"
"ui scroll top tile","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui scroll top tile.bti","False","1","DeflatedRGBA8"
"ui text box left","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text box left.bti","False","1","DeflatedRGBA8"
"ui text box middle","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text box middle.bti","False","1","DeflatedRGBA8"
"ui text box right","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text box right.bti","False","1","DeflatedRGBA8"
"ui text chat box","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text chat box.bti","True","0","DeflatedRGBA8"
"animal dog a map","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\animal dog a map.bti","True","1","BC2"
"animal dog b map","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\animal dog b map.bti","True","1","BC2"
"animal elephant indian","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\animal elephant indian.bti","False","0","BC1"
"animal parrot map","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\animal parrot map.bti","False","1","BC3"
"archer c crossbow","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\archer c crossbow.bti","True","1","BC2"
"special c qilin","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\special c qilin.bti","False","1","BC2"
"special g griffon map","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\special g griffon map.bti","True","1","BC3"
"world c jungle palm burnt","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\world c jungle palm burnt.bti","False","1","BC2"
"world c jungle palm","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\world c jungle palm.bti","False","1","BC2"
"world c jungle tree burnt","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\world c jungle tree burnt.bti","False","1","BC2"
"world c jungle tree","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\world c jungle tree.bti","False","1","BC2"
"boat c fire ship chinese icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\boat c fire ship chinese icon.bti","False","0","DeflatedRGBA8"
"boat c fishing boat icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\boat c fishing boat icon.bti","False","0","DeflatedRGBA8"
"boat c junk icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\boat c junk icon.bti","False","0","DeflatedRGBA8"
"boat c siege ship chinese icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\boat c siege ship chinese icon.bti","False","0","DeflatedRGBA8"
"boat c transport icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\boat c transport icon.bti","False","0","DeflatedRGBA8"
"god power barrage icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power barrage icon.bti","False","0","DeflatedRGBA8"
"god power earth dragon icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power earth dragon icon.bti","False","0","DeflatedRGBA8"
"god power flood icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power flood icon.bti","False","0","DeflatedRGBA8"
"god power geyser icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power geyser icon.bti","False","0","DeflatedRGBA8"
"god power journey icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power journey icon.bti","False","0","DeflatedRGBA8"
"god power recreation icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\god power recreation icon.bti","False","0","DeflatedRGBA8"
"siege c fire lance icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\siege c fire lance icon.bti","False","0","DeflatedRGBA8"
"special c azure dragon icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c azure dragon icon.bti","False","0","DeflatedRGBA8"
"special c black tortoise icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c black tortoise icon.bti","False","0","BC1"
"special c earth dragon icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c earth dragon icon.bti","False","0","DeflatedRGBA8"
"special c jiangshi icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c jiangshi icon.bti","False","0","DeflatedRGBA8"
"special c monkey king icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c monkey king icon.bti","False","0","DeflatedRGBA8"
"special c pixiu icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c pixiu icon.bti","False","0","DeflatedRGBA8"
"special c qilin icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c qilin icon.bti","False","0","DeflatedRGBA8"
"special c terracotta soldier icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c terracotta soldier icon.bti","False","0","DeflatedRGBA8"
"special c vermilion bird icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c vermilion bird icon.bti","False","0","DeflatedRGBA8"
"special c war salamander icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c war salamander icon.bti","False","0","DeflatedRGBA8"
"special c white tiger icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\special c white tiger icon.bti","False","0","DeflatedRGBA8"
"trade c caravan icon","D:\AI_upscaling\AoMEE\extracted\patched_to_verify\textures\icons\trade c caravan icon.bti","False","0","DeflatedRGBA8"
"agamemnon map","D:\AI_upscaling\AoMEE\extracted\textures\agamemnon map.bti","True","1","BC3"
"animal aurochs map","D:\AI_upscaling\AoMEE\extracted\textures\animal aurochs map.bti","False","0","BC3"
"animal baboon corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal baboon corpse bodya.bti","False","4","BC3"
"animal baboon corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal baboon corpse skeletona.bti","False","4","BC3"
"animal baboon map","D:\AI_upscaling\AoMEE\extracted\textures\animal baboon map.bti","False","0","BC3"
"animal bear corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal bear corpse bodya.bti","False","4","BC3"
"animal bear corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal bear corpse skeletona.bti","False","4","BC3"
"animal bear map","D:\AI_upscaling\AoMEE\extracted\textures\animal bear map.bti","False","0","BC3"
"animal bearlaser beam map","D:\AI_upscaling\AoMEE\extracted\textures\animal bearlaser beam map.bti","False","0","BC3"
"animal bearlaser cape map","D:\AI_upscaling\AoMEE\extracted\textures\animal bearlaser cape map.bti","False","0","BC3"
"animal bearlaser map","D:\AI_upscaling\AoMEE\extracted\textures\animal bearlaser map.bti","False","0","BC3"
"animal boar corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal boar corpse bodya.bti","False","4","BC3"
"animal boar corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal boar corpse skeletona.bti","False","4","BC3"
"animal boar map","D:\AI_upscaling\AoMEE\extracted\textures\animal boar map.bti","False","0","BC3"
"animal camel map","D:\AI_upscaling\AoMEE\extracted\textures\animal camel map.bti","False","0","BC3"
"animal caribou antlers map","D:\AI_upscaling\AoMEE\extracted\textures\animal caribou antlers map.bti","False","1","BC3"
"animal caribou corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal caribou corpse bodya.bti","False","4","BC3"
"animal caribou corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal caribou corpse skeletona.bti","False","4","BC3"
"animal caribou map","D:\AI_upscaling\AoMEE\extracted\textures\animal caribou map.bti","True","1","BC3"
"animal chicken corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal chicken corpse bodya.bti","False","4","BC3"
"animal chicken corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal chicken corpse skeletona.bti","False","4","BC3"
"animal chicken map","D:\AI_upscaling\AoMEE\extracted\textures\animal chicken map.bti","False","0","BC3"
"animal chicken","D:\AI_upscaling\AoMEE\extracted\textures\animal chicken.bti","True","0","BC3"
"animal cow a map","D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti","True","1","BC3"
"animal cow b map","D:\AI_upscaling\AoMEE\extracted\textures\animal cow b map.bti","True","1","BC3"
"animal cow c map","D:\AI_upscaling\AoMEE\extracted\textures\animal cow c map.bti","True","1","BC3"
"animal cow corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal cow corpse bodya.bti","False","4","BC3"
"animal cow corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal cow corpse skeletona.bti","False","4","BC3"
"animal cow map","D:\AI_upscaling\AoMEE\extracted\textures\animal cow map.bti","False","0","BC3"
"animal crocodile corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal crocodile corpse bodya.bti","False","4","BC3"
"animal crocodile corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal crocodile corpse skeletona.bti","False","4","BC3"
"animal crocodile map","D:\AI_upscaling\AoMEE\extracted\textures\animal crocodile map.bti","False","0","BC3"
"animal crowned crane corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal crowned crane corpse bodya.bti","False","4","BC3"
"animal crowned crane corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal crowned crane corpse skeletona.bti","False","4","BC3"
"animal crowned crane map","D:\AI_upscaling\AoMEE\extracted\textures\animal crowned crane map.bti","False","0","BC3"
"animal deer corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal deer corpse bodya.bti","False","4","BC3"
"animal deer corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal deer corpse skeletona.bti","False","4","BC3"
"animal deer map","D:\AI_upscaling\AoMEE\extracted\textures\animal deer map.bti","False","1","BC3"
"animal dove","D:\AI_upscaling\AoMEE\extracted\textures\animal dove.bti","False","0","BC3"
"animal duck map","D:\AI_upscaling\AoMEE\extracted\textures\animal duck map.bti","True","4","BC3"
"animal eagle map","D:\AI_upscaling\AoMEE\extracted\textures\animal eagle map.bti","False","1","BC3"
"animal elephant map","D:\AI_upscaling\AoMEE\extracted\textures\animal elephant map.bti","False","0","BC3"
"animal elk corpse bodya","D:\AI_upscaling\AoMEE\extracted\textures\animal elk corpse bodya.bti","False","4","BC3"
"animal elk corpse skeletona","D:\AI_upscaling\AoMEE\extracted\textures\animal elk corpse skeletona.bti","False","4","BC3"
"animal elk map","D:\AI_upscaling\AoMEE\extracted\textures\animal elk map.bti","False","1","BC3"
"animal fish anchovy","D:\AI_upscaling\AoMEE\extracted\textures\animal fish anchovy.bti","True","0","BC3"
"animal fish herring","D:\AI_upscaling\AoMEE\extracted\textures\animal fish herring.bti","True","0","BC3"
"animal fish mahi","D:\AI_upscaling\AoMEE\extracted\textures\animal fish mahi.bti","True","0","BC3"
"animal fish perch","D:\AI_upscaling\AoMEE\extracted\textures\animal fish perch.bti","True","0","BC3"
