"Texture","MaterialReferences","ColorTransforms","PixelXForms","HasCT4","HasPixelXForm"
"infantry x maceman standard","1","0","0","False","False"
"infantry x swordsman hero","13","0","0","False","False"
"infantry x trident soldier head iron","3","0","0","False","False"
"lp g militia","18","0,1,3","0","False","False"
"naval n utility map","12","0","0","False","False"
"projectile a siege rock map","3","0","0","False","False"
"scenario a dwarven forge belt","1","0","0","False","False"
"scenario a dwarven forge shared a","3","0","0","False","False"
"scenario a dwarven forge shared b","8","0","0","False","False"
"scenario a gate ram","7","0","0","False","False"
"scenario e great box camel","2","0","0","False","False"
"scenario e great box cart","4","0","0","False","False"
"scenario g arkantos god map","1","0","0","False","False"
"scenario g circe head","22","0","0","False","False"
"scenario n dwarven mine inside","1","0","0","False","False"
"scenario n dwarven mine opening","1","0","0","False","False"
"scenario n dwarven mine outside","1","0","0","False","False"
"scenario n thors hammer","23","0","0","False","False"
"scenario n thors hammer cart","6","0","0","False","False"
"sfx c earth dragon hole","1","0","0","False","False"
"sfx c growth vines","23","0","0","False","False"
"sfx e son of osiris head","21","0","0","False","False"
"sfx n dwarven mine","6","0","0","False","False"
"siege e catapult projectile","15","0","0","False","False"
"siege g petrobolos projectile","9","0","0","False","False"
"siege g trojan horse","4","0","0","False","False"
"siege x fire siphon upgrade","12","0","0","False","False"
"special c terracotta soldier head","1","0","0","False","False"
"special e priest head","16","0","0","False","False"
"special e scorpion man head","18","0","0","False","False"
"special g agamemnon head","39","0","0","False","False"
"special g athena head","8","0","0","False","False"
"special g centaur head upgrade","1","0","0","False","False"
"special g centaur low","20","0,1","0","False","False"
"special g pegasus","27","0","0","False","False"
"special g underworld shade","34","0","0","False","False"
"special n frost giant head","4","0","0","False","False"
"special n frost giant head upgrade","2","0","0","False","False"
"special n giant map","12","0","0","False","False"
"special n king folstag","14","0","0","False","False"
"special n valkyrie low","20","0,1,3","0","False","False"
"statue x kronos map","2","0","0","False","False"
"temp santa hat","2","0","0","False","False"
"temp santa head","2","0","0","False","False"
"titan n troll hammer map","1","0","0","False","False"
"titan n troll map1","1","0","0","False","False"
"titan x golem map2","1","0","0","False","False"
"villager e female head","22","0","0","False","False"
"villager g atlantean male head","21","0","0","False","False"
"villager g female head","28","0","0","False","False"
"villager n female head","22","0","0","False","False"
"villager n ox","20","0,5","0","False","False"
"world a fountain","3","0","0","False","False"
"world a gold map","11","0","0","False","False"
"world a jade map","4","0","0","False","False"
"world a relic eye of horus","1","0","0","False","False"
"world a relic fetters of fenrir","1","0","0","False","False"
"world a relic golden bridle of pegasus","1","0","0","False","False"
"world a relic head of orpheus","1","0","0","False","False"
"world a relic monkey","1","0","0","False","False"
"world a relic ring of the nibelung","1","0","0","False","False"
"world a relic ship of fingernails","1","0","0","False","False"
"world a relic standard","1","0","0","False","False"
"world a relic the wedjat eye","1","0","0","False","False"
"world a underworld crator","1","0","0","False","False"
"world c dam","4","0","0","False","False"
"world e tent","1","0","0","False","False"
"world g statue base","6","0","0","False","False"
"world g zues uwpassage","1","0","0","False","False"
"world g zuesstairs","2","0","0","False","False"
