"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaquePixels","OpaqueCoveragePct","CoverageGroup","BTIFile"
"sfx a rain sunlight.tga","","32","64","0","BC3","Binary","1","2048","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx a rain sunlight.bti"
"sfx a rainbow.tga","","128","64","0","BC3","Binary","1","8192","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx a rainbow.bti"
"sfx b lighthouse glow.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx b lighthouse glow.bti"
"sfx c ip glow.tga","","128","64","0","BC3","Binary","1","8192","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx c ip glow.bti"
"sfx g lightning skyflash.tga","","128","128","0","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g lightning skyflash.bti"
"sfx n frost ice block unit.tga","","128","128","0","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx n frost ice block unit.bti"
"siege g petrobolos projectile.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos projectile.bti"
"special e phoenix.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special e phoenix.bti"
"special n frost giant head upgrade.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special n frost giant head upgrade.bti"
"special n frost giant head.tga","","64","64","0","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special n frost giant head.bti"
"ui background blue opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui background blue opaque.bti"
"ui background dark blue opaque.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui background dark blue opaque.bti"
"ui background yellow opaque.tga","","8","8","0","DeflatedRGBA8","Binary","1","64","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui background yellow opaque.bti"
"ui progress bar flair.tga","","32","128","0","DeflatedRGBA8","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui progress bar flair.bti"
"ui text chat box grey.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui text chat box grey.bti"
"ui text chat box.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui text chat box.bti"
"ui text chat box.tga","","32","32","0","DeflatedRGBA8","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\dlc-frontend\textures\ui\ui text chat box.bti"
"villager e female head.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\villager e female head.bti"
"villager g female head.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\villager g female head.bti"
"villager n female head.tga","","32","32","0","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\villager n female head.bti"
"ui line yellow vertical.tga","","8","256","0","DeflatedRGBA8","MultiValue","221","8","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui line yellow vertical.bti"
"ui line yellow.tga","","256","8","0","DeflatedRGBA8","MultiValue","227","8","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\ui\ui line yellow.bti"
"animal flying purple hippo.tga","","256","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal flying purple hippo.bti"
"animal prmonkey.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal prmonkey.bti"
"building e age3a accessories.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age3a accessories.bti"
"building e age4 accessories.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4 accessories.bti"
"building e age4roof.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4roof.bti"
"building e monument2.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument2.bti"
"building e monument4.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument4.bti"
"building e ra wonder01.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder01.bti"
"building e set wonder01.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder01.bti"
"building e set wonder03.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder03.bti"
"building e titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate rocks.bti"
"building g fortresswall2.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall2.bti"
"building g titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate rocks.bti"
"building n thorarmory1.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory1.bti"
"building n titan gate rocks.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n titan gate rocks.bti"
"cavalry g hetairoi head iron.tga","","32","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi head iron.bti"
"hero g athena head low map.tga","","32","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g athena head low map.bti"
"infantry e spearman shield map.tga","","32","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry e spearman shield map.bti"
"lp g militia.tga","","64","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\lp g militia.bti"
"scenario a gate ram.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario a gate ram.bti"
"scenario e great box cart.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario e great box cart.bti"
"scenario g arkantos god map.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario g arkantos god map.bti"
"scenario n dwarven mine inside.tga","","256","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario n dwarven mine inside.bti"
"scenario n dwarven mine opening.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario n dwarven mine opening.bti"
"scenario n dwarven mine outside.tga","","256","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario n dwarven mine outside.bti"
"scenario n thors hammer.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario n thors hammer.bti"
"sfx g lightning bolt.tga","","64","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g lightning bolt.bti"
"sfx n dwarven mine.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx n dwarven mine.bti"
"siege e catapult projectile.tga","","32","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult projectile.bti"
"special e roc.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e roc.bti"
"special e scorpion man head.tga","","32","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e scorpion man head.bti"
"special n king folstag.tga","","64","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n king folstag.bti"
"special n valkyrie low.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special n valkyrie low.bti"
"statue x kronos map.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\statue x kronos map.bti"
"titan x golem map2.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x golem map2.bti"
"trade e caravan cargo.tga","","64","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan cargo.bti"
"world a gold map.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a gold map.bti"
"world a relic armor of achilles.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic armor of achilles.bti"
"world a relic eye of horus.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic eye of horus.bti"
"world a relic fetters of fenrir.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic fetters of fenrir.bti"
"world a relic golden bridle of pegasus.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic golden bridle of pegasus.bti"
"world a relic head of orpheus.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic head of orpheus.bti"
"world a relic ring of the nibelung.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic ring of the nibelung.bti"
"world a relic ship of fingernails.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic ship of fingernails.bti"
"world a relic the wedjat eye.tga","","128","64","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic the wedjat eye.bti"
"world g statue poseidon base.tga","","64","32","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue poseidon base.bti"
"world g zues uwpassage.tga","","256","256","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g zues uwpassage.bti"
"world g zuesstairs.tga","","128","128","1","BC3","Binary","1","0","0","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g zuesstairs.bti"
"building e outpost.tga","","256","256","1","BC3","Binary","2","172","0.262","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e outpost.bti"
"building g shrine.tga","","256","256","1","BC3","Binary","2","208","0.317","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g shrine.bti"
"hero g heracles head.tga","","64","32","1","BC3","Binary","2","8","0.391","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles head.bti"
"oranos wonder map.tga","","256","256","1","BC3","Binary","2","260","0.397","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map.bti"
"building g roofage1.tga","","256","256","1","BC3","Binary","2","270","0.412","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g roofage1.bti"
"building x titangate.tga","","256","256","1","BC3","Binary","2","272","0.415","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x titangate.bti"
"building x palace age2.tga","","256","256","1","BC3","Binary","2","384","0.586","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age2.bti"
"building n thorarmory.tga","","256","256","1","BC3","Binary","2","564","0.861","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory.bti"
"building g fortress.tga","","256","256","1","BC3","Binary","2","648","0.989","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortress.bti"
"building x wall iron.tga","","256","256","1","BC3","Binary","2","865","1.32","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall iron.bti"
"building x roof age0.tga","","256","256","1","BC3","Binary","2","868","1.324","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age0.bti"
"building x wall stone.tga","","256","256","1","BC3","Binary","2","876","1.337","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall stone.bti"
"building n templeage1.tga","","256","256","1","BC3","Binary","2","879","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage1.bti"
"building n templeage2.tga","","256","256","1","BC3","Binary","2","879","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage2.bti"
"building n templeage3.tga","","256","256","1","BC3","Binary","2","879","1.341","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n templeage3.bti"
"platform map.tga","","128","32","1","BC3","Binary","2","56","1.367","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\platform map.bti"
"building n shared06 2 map.tga","","256","256","1","BC3","Binary","2","898","1.37","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared06 2 map.bti"
"building g age0.tga","","256","256","1","BC3","Binary","2","923","1.408","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g age0.bti"
"building x tower watch4.tga","","256","256","1","BC3","Binary","2","924","1.41","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch4.bti"
"building g settlementage1.tga","","256","256","1","BC3","Binary","2","933","1.424","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage1.bti"
"building g settlementage3.tga","","256","256","1","BC3","Binary","2","933","1.424","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage3.bti"
"building x wall bronze.tga","","256","256","1","BC3","Binary","2","936","1.428","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall bronze.bti"
"building n settlementage1.tga","","256","256","1","BC3","Binary","2","940","1.434","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage1.bti"
"building n settlementage2.tga","","256","256","1","BC3","Binary","2","950","1.45","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage2.bti"
"infantry x trident soldier head hero.tga","","64","16","1","BC3","Binary","2","15","1.465","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier head hero.bti"
"building g templeage2.tga","","256","256","1","BC3","Binary","2","969","1.479","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage2.bti"
"building g templeage1.tga","","256","256","1","BC3","Binary","2","993","1.515","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g templeage1.bti"
"building x tower watch2.tga","","256","256","1","BC3","Binary","2","994","1.517","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch2.bti"
"building x tower watch3.tga","","256","256","1","BC3","Binary","2","994","1.517","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch3.bti"
"building e age2 accessories burnt.tga","","256","256","1","BC3","Binary","2","1000","1.526","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 accessories burnt.bti"
"building_e_monumentbase_map.tga","","256","256","1","BC3","Binary","2","1024","1.562","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building_e_monumentbase_map.bti"
"building e lighthouse.tga","","256","256","1","BC3","Binary","2","1045","1.595","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e lighthouse.bti"
"building g wonder.tga","","256","256","1","BC3","Binary","2","1047","1.598","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wonder.bti"
"building e age3 accessories.tga","","256","256","1","BC3","Binary","2","1058","1.614","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age3 accessories.bti"
"building e shared02 2 map.tga","","256","256","1","BC3","Binary","2","1058","1.614","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e shared02 2 map.bti"
"building n settlementage3.tga","","256","256","1","BC3","Binary","2","1076","1.642","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage3.bti"
"building g settlementage2.tga","","256","256","1","BC3","Binary","2","1078","1.645","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage2.bti"
"world g hades temple.tga","","256","256","1","BC3","Binary","2","1096","1.672","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g hades temple.bti"
"building x palace age3.tga","","256","256","1","BC3","Binary","2","1100","1.678","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x palace age3.bti"
"building n shared01 1 map.tga","","256","256","1","BC3","Binary","2","1113","1.698","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 1 map.bti"
"building g towers.tga","","256","256","1","BC3","Binary","2","1122","1.712","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g towers.bti"
"world e statue isis.tga","","128","128","1","BC3","Binary","2","287","1.752","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world e statue isis.bti"
"villager n oxcart.tga","","128","128","1","BC3","Binary","2","294","1.794","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\villager n oxcart.bti"
"building g fortifiedwall.tga","","256","256","1","BC3","Binary","2","1182","1.804","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortifiedwall.bti"
"animal goatnubian map.tga","","64","64","1","BC3","Binary","2","74","1.807","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal goatnubian map.bti"
"building e wall4.tga","","256","256","1","BC3","Binary","2","1240","1.892","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e wall4.bti"
"world g statue hades.tga","","128","128","1","BC3","Binary","2","318","1.941","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue hades.bti"
"oranos wonder map1.tga","","256","256","1","BC3","Binary","2","1280","1.953","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map1.bti"
"building g temple.tga","","256","256","1","BC3","Binary","2","1308","1.996","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g temple.bti"
"building n shared01 3 map.tga","","256","256","1","BC3","Binary","2","1308","1.996","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 3 map.bti"
"cavalry g hippikon horse copper.tga","","128","128","1","BC3","Binary","2","1639","10.004","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse copper.bti"
"cavalry g prodromos horse copper.tga","","128","128","1","BC3","Binary","2","1639","10.004","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse copper.bti"
"archer g toxotes head bronze.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head bronze.bti"
"archer g toxotes head copper.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head copper.bti"
"archer g toxotes head iron.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head iron.bti"
"archer g toxotes head standard.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer g toxotes head standard.bti"
"infantry g hypaspist head bronze.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist head bronze.bti"
"infantry g hypaspist head copper.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist head copper.bti"
"infantry g hypaspist head iron.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist head iron.bti"
"infantry g hypaspist head standard.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist head standard.bti"
"special g centaur head upgrade.tga","","32","32","1","BC3","Binary","2","103","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur head upgrade.bti"
"cine x mp melagius head.tga","","16","16","1","BC3","Binary","2","26","10.156","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cine x mp melagius head.bti"
"sfx g sentinel.tga","","128","128","1","BC3","Binary","2","1726","10.535","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g sentinel.bti"
"archer n throwing axeman low bronze.tga","","32","32","1","BC3","Binary","2","108","10.547","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low bronze.bti"
"archer n throwing axeman low copper.tga","","32","32","1","BC3","Binary","2","108","10.547","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low copper.bti"
"archer n throwing axeman low iron.tga","","32","32","1","BC3","Binary","2","108","10.547","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low iron.bti"
"archer n throwing axeman low standard.tga","","32","32","1","BC3","Binary","2","108","10.547","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\archer n throwing axeman low standard.bti"
"cavalry g cataphract head iron.tga","","32","32","1","BC3","Binary","2","109","10.645","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract head iron.bti"
"special n jormund brood hump.tga","","64","128","1","BC3","Binary","2","896","10.938","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special n jormund brood hump.bti"
"animal caribou map.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\animal caribou map.bti"
"attachments a axe map.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments a axe map.bti"
"attachments a shovel.tga","","64","8","1","BC3","Binary","1","512","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments a shovel.bti"
"attachments n shield cinepirateship map.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\attachments n shield cinepirateship map.bti"
"building e isis wonder03.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder03.bti"
"building e monument1.tga","","128","128","1","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument1.bti"
"building e monument3.tga","","128","128","1","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument3.bti"
"cine a kemsyt head bag.tga","","128","128","1","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\cine a kemsyt head bag.bti"
"cine spear map.tga","","128","256","1","BC3","Binary","1","32768","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\cine spear map.bti"
