"Texture","CT0","CT4","Other","Total"
"Building N SettlementAge3","4","4","0","8"
"Building N SettlementAge4","4","4","0","8"
"Building N TempleAge3","4","4","0","8"
"Building N Wonder","5","4","0","9"
"Kronos Wonder Map2","4","4","0","8"
"building E Isis Wonder01","4","3","0","7"
"building E Isis Wonder02","4","3","0","7"
"Building G Hades Wonder","4","3","0","7"
"Building X Sky Temple","3","3","0","6"
"Oranos Wonder Map1","4","3","0","7"
"Attachments N Shield Iron","0","2","0","2"
"building E Fortress Accessories","3","2","0","5"
"Building E Lighthouse","2","2","0","4"
"building E Set Wonder02","4","2","0","6"
"building E Settlement Age1","2","2","0","4"
"building E Settlement Age2","2","2","0","4"
"Building G RoofAge1","28","2","0","30"
"Building G Shrine","2","2","0","4"
"Building G Temple","2","2","0","4"
"Building G TempleAge2","2","2","0","4"
"Building N Loki Wonder02","4","2","0","6"
"Building N SettlementAge1","2","2","0","4"
"Building N SettlementAge2","2","2","0","4"
"Building N Shared02 2 map","2","2","0","4"
"Building N TempleAge1","2","2","0","4"
"Building N TempleAge2","2","2","0","4"
"Building N ThorArmory","4","2","0","6"
"Building X Palace Age2","1","2","0","3"
"Building X Palace Age3","1","2","0","3"
"Building X Temple age0","0","2","0","2"
"Building X Tower Watch3","2","2","0","4"
"Gaia Wonder Map2","4","2","0","6"
"Oranos Wonder Map","6","2","0","8"
"World G Hades Temple","2","2","0","4"
"Building E shared02 2 map","2","1","0","3"
"Building G Temple02 2 map","1","1","0","2"
"Building N Shrine","1","1","0","2"
"Building X Tower Watch","1","1","0","2"
"Building_E_MonumentBase_Map","1","1","0","2"
"Attachments A Wheel Spoked","2","0","0","2"
"barrel","4","0","0","4"
"Building Construction","202","0","0","202"
"Building Destruction Egypt","4","0","0","4"
"Building Destruction Greek","4","0","0","4"
"Building Destruction Norse","6","0","0","6"
"building E Age1 Accessories","10","0","0","10"
"building E Age2 accessories","44","0","0","44"
"building E Age2 Accessories Burnt","2","0","0","2"
"Building E Age2 Burnt","2","0","0","2"
"building E Age3 accessories","68","0","0","68"
"building E Age3A accessories","31","0","0","31"
"building E Age4 Accessories","9","0","0","9"
"building E Age4roof","34","0","0","34"
"building E dock boat","6","0","0","6"
"building E Fortress","3","0","0","3"
"building E Fortress Accessories02","2","0","0","2"
"Building E Fortress Age3","3","0","0","3"
"building E Isis Wonder03","3","0","0","3"
"building E Lighthouse fence","2","0","0","2"
"building E Monument1","4","0","0","4"
"building E Monument2","4","0","0","4"
"Building E Monument3","4","0","0","4"
"Building E Monument4","4","0","0","4"
"Building E Monument4dood","4","0","0","4"
"Building E Monument5 Isis","5","0","0","5"
"Building E Monument5 Ra","4","0","0","4"
"Building E Monument5 Set","4","0","0","4"
"building E Osiris Pyramid","2","0","0","2"
"building E Osiris Pyramid Dead","2","0","0","2"
"building E Props","76","0","0","76"
"Building E Pyramid","1","0","0","1"
"building E Ra Wonder01","5","0","0","5"
"building E Set Wonder01","4","0","0","4"
"building E Set Wonder03","4","0","0","4"
"Building E shared01 2 map","1","0","0","1"
"building E Shrine","23","0","0","23"
"building E Shrine02","2","0","0","2"
"Building E Statue C","2","0","0","2"
"Building E Statue C Base","2","0","0","2"
"Building E Wonder Accessories","2","0","0","2"
"Building G Destroyed","7","0","0","7"
"Building G Fortress","2","0","0","2"
"Building G FortressRoof","4","0","0","4"
"building g fortresswall destructed","2","0","0","2"
"Building G FortressWall2","4","0","0","4"
"building g fortresswall2 Destructed","2","0","0","2"
"Building G GateAll","64","0","0","64"
"Building G Hades Wonder01","4","0","0","4"
"Building G RoofAge2","22","0","0","22"
"Building G RoofAge3","28","0","0","28"
"Building G Ruins","4","0","0","4"
"Building G SettlementFence","45","0","0","45"
"Building G Temple03 2 map","1","0","0","1"
"Building G Titan Gate Map","6","0","0","6"
"Building G Titan Gate Rocks","3","0","0","3"
"Building G Wonder destructed","1","0","0","1"
"Building G Zues Wonder","3","0","0","3"
"Building Gate","4","0","0","4"
"Building N Destructed","3","0","0","3"
"Building N Dock","8","0","0","8"
"Building N GateAll","16","0","0","16"
"Building N Loki Wonder01","4","0","0","4"
"Building N Odin Wonder","4","0","0","4"
"Building N Shared03 2 map","8","0","0","8"
"Building N ThorArmory1","3","0","0","3"
"Building N Titan Gate Rocks","3","0","0","3"
"Building N WonderBranch","5","0","0","5"
"Building N WonderLeaf","5","0","0","5"
"Building N Wonderrune","4","0","0","4"
"building props","2","0","0","2"
"Building Settlement","4","0","0","4"
"Building Vines01","2","0","0","2"
"Building Wall Damage","177","0","0","177"
"Building X Bronze Gate","16","0","0","16"
"Building X Dock","28","0","0","28"
"Building X Guild Age2","28","0","0","28"
"Building X Iron Gate","16","0","0","16"
"Building X Oreichalkos Gate","16","0","0","16"
"Building X Palace Roof","2","0","0","2"
"Building X Palace Roof Age3","2","0","0","2"
"Building X Roof Age2","46","0","0","46"
"Building X Roof Age3","24","0","0","24"
"Building X Shared Age0","10","0","0","10"
"Building X Shared Age3","10","0","0","10"
"Building X Sky Temple Roof","3","0","0","3"
"Building X stone wall","1","0","0","1"
"Building X Temple age1","2","0","0","2"
"Building X Temple age2","8","0","0","8"
"Building X Temple age3","8","0","0","8"
"Building X Temple OG1","1","0","0","1"
"Building X Temple OG1 25","1","0","0","1"
"Building X Temple OG1 50","1","0","0","1"
"Building X Temple OG1 75","1","0","0","1"
"Building X Temple OG2","1","0","0","1"
"Building X Temple OG2 25","1","0","0","1"
"Building X Temple OG2 50","1","0","0","1"
"Building X Temple OG2 75","1","0","0","1"
"Building X Wall Oreichalkos damage","12","0","0","12"
"buildingEstatue01","2","0","0","2"
"construction_boards_a","5","0","0","5"
"construction_boards_b","3","0","0","3"
"construction_boards_c","6","0","0","6"
"construction_boards_d","5","0","0","5"
"E_dock_15","6","0","0","6"
"Gaia Wonder Map1","5","0","0","5"
"Gaia Wonder Statue","2","0","0","2"
"Kronos Wonder Map1","4","0","0","4"
"N Titan Gate Ice","6","0","0","6"
"Naval N Utility map","12","0","0","12"
"Norse_military04","4","0","0","4"
"Oranos Wonder Map3","4","0","0","4"
"random_bricks","6","0","0","6"
"random_bricks2","5","0","0","5"
"random_bricks3","4","0","0","4"
"random_bricks4","4","0","0","4"
"saw_horse","4","0","0","4"
"SFX G Plenty","6","0","0","6"
"tool_hammer","6","0","0","6"
"tool_saw","6","0","0","6"
"wood_brace","4","0","0","4"
"World A Atlantis Walls map","2","0","0","2"
"World A DigSite","3","0","0","3"
"World A Firewood","3","0","0","3"
"World G ZuesStairs","2","0","0","2"
