"FileName","Extension","Texture","ColorTransform","MultitextureMode"
"building c castle age3_0.mtrl",".mtrl","","",""
"building c castle age3_1.mtrl",".mtrl","","",""
"building c castle age3_2.mtrl",".mtrl","","",""
"building c castle age3_3.mtrl",".mtrl","","",""
"building c castle age3_4.mtrl",".mtrl","","",""
"building c castle age3_death_0.mtrl",".mtrl","","",""
"building c castle age3_death_1.mtrl",".mtrl","","",""
"building c castle age3_death_2.mtrl",".mtrl","","",""
"building c castle age3_death_3.mtrl",".mtrl","","",""
"building c castle age3_death_4.mtrl",".mtrl","","",""
"building c dock age1_0.mtrl",".mtrl","","",""
"building c dock age1_1.mtrl",".mtrl","","",""
"building c dock age1_2.mtrl",".mtrl","","",""
"building c dock age1_3.mtrl",".mtrl","","",""
"building c dock age1_4.mtrl",".mtrl","","",""
"building c dock age1_5.mtrl",".mtrl","","",""
"building c dock age1_death_0.mtrl",".mtrl","","",""
"building c dock age1_death_1.mtrl",".mtrl","","",""
"building c dock age1_death_2.mtrl",".mtrl","","",""
"building c dock age1_death_3.mtrl",".mtrl","","",""
"building c dock age1_death_4.mtrl",".mtrl","","",""
"building c dock age1_death_5.mtrl",".mtrl","","",""
"building c fortress age3_0.mtrl",".mtrl","","",""
"building c garden age1_0.mtrl",".mtrl","","",""
"building c garden age1_1.mtrl",".mtrl","","",""
"building c garden age1_2.mtrl",".mtrl","","",""
"building c garden age1_3.mtrl",".mtrl","","",""
"building c garden age1_4.mtrl",".mtrl","","",""
"building c garden age1_death_0.mtrl",".mtrl","","",""
"building c garden age1_death_1.mtrl",".mtrl","","",""
"building c garden age1_death_2.mtrl",".mtrl","","",""
"building c garden age1_death_3.mtrl",".mtrl","","",""
"building c garden age1_death_4.mtrl",".mtrl","","",""
"building c garden age3_0.mtrl",".mtrl","","",""
"building c garden age3_1.mtrl",".mtrl","","",""
"building c garden age3_2.mtrl",".mtrl","","",""
"building c garden age3_3.mtrl",".mtrl","","",""
"building c garden age3_4.mtrl",".mtrl","","",""
"building c garden age3_death_0.mtrl",".mtrl","","",""
"building c garden age3_death_1.mtrl",".mtrl","","",""
"building c garden age3_death_2.mtrl",".mtrl","","",""
"building c garden age3_death_3.mtrl",".mtrl","","",""
"building c garden age3_death_4.mtrl",".mtrl","","",""
"building c guardtower_0.mtrl",".mtrl","","",""
"building c guardtower_1.mtrl",".mtrl","","",""
"building c guardtower_2.mtrl",".mtrl","","",""
"building c guardtower_death_0.mtrl",".mtrl","","",""
"building c guardtower_death_1.mtrl",".mtrl","","",""
"building c guardtower_death_2.mtrl",".mtrl","","",""
"building c housea age1_0.mtrl",".mtrl","","",""
"building c housea age1_1.mtrl",".mtrl","","",""
"building c housea age1_2.mtrl",".mtrl","","",""
"building c housea age1_3.mtrl",".mtrl","","",""
"building c housea age1_death_0.mtrl",".mtrl","","",""
"building c housea age1_death_1.mtrl",".mtrl","","",""
"building c housea age1_death_2.mtrl",".mtrl","","",""
"building c housea age1_death_3.mtrl",".mtrl","","",""
"building c houseb age1_0.mtrl",".mtrl","","",""
"building c houseb age1_1.mtrl",".mtrl","","",""
"building c houseb age1_2.mtrl",".mtrl","","",""
"building c houseb age1_3.mtrl",".mtrl","","",""
"building c houseb age1_death_0.mtrl",".mtrl","","",""
"building c houseb age1_death_1.mtrl",".mtrl","","",""
"building c houseb age1_death_2.mtrl",".mtrl","","",""
"building c houseb age1_death_3.mtrl",".mtrl","","",""
"building c housec age1_0.mtrl",".mtrl","","",""
"building c housec age1_1.mtrl",".mtrl","","",""
"building c housec age1_2.mtrl",".mtrl","","",""
"building c housec age1_3.mtrl",".mtrl","","",""
"building c housec age1_death_0.mtrl",".mtrl","","",""
"building c housec age1_death_1.mtrl",".mtrl","","",""
"building c housec age1_death_2.mtrl",".mtrl","","",""
"building c housec age1_death_3.mtrl",".mtrl","","",""
"building c market age3_0.mtrl",".mtrl","","",""
"building c market age3_1.mtrl",".mtrl","","",""
"building c market age3_2.mtrl",".mtrl","","",""
"building c market age3_3.mtrl",".mtrl","","",""
"building c market age3_4.mtrl",".mtrl","","",""
"building c market age3_death_0.mtrl",".mtrl","","",""
"building c market age3_death_1.mtrl",".mtrl","","",""
"building c market age3_death_2.mtrl",".mtrl","","",""
"building c market age3_death_3.mtrl",".mtrl","","",""
"building c market age3_death_4.mtrl",".mtrl","","",""
"building c settlement age1_0.mtrl",".mtrl","","",""
"building c settlement age1_1.mtrl",".mtrl","","",""
"building c settlement age1_2.mtrl",".mtrl","","",""
"building c settlement age1_3.mtrl",".mtrl","","",""
"building c settlement age1_4.mtrl",".mtrl","","",""
"building c settlement age1_death_0.mtrl",".mtrl","","",""
"building c settlement age1_death_1.mtrl",".mtrl","","",""
"building c settlement age1_death_2.mtrl",".mtrl","","",""
"building c settlement age1_death_3.mtrl",".mtrl","","",""
"building c settlement age1_death_4.mtrl",".mtrl","","",""
"building c settlement age3_0.mtrl",".mtrl","","",""
"building c settlement age3_1.mtrl",".mtrl","","",""
"building c settlement age3_2.mtrl",".mtrl","","",""
"building c settlement age3_3.mtrl",".mtrl","","",""
"building c settlement age3_4.mtrl",".mtrl","","",""
"building c settlement age3_death_0.mtrl",".mtrl","","",""
"building c settlement age3_death_1.mtrl",".mtrl","","",""
"building c settlement age3_death_2.mtrl",".mtrl","","",""
"building c settlement age3_death_3.mtrl",".mtrl","","",""
"building c settlement age3_death_4.mtrl",".mtrl","","",""
"building c settlement fortified_0.mtrl",".mtrl","","",""
"building c settlement fortified_1.mtrl",".mtrl","","",""
"building c settlement fortified_2.mtrl",".mtrl","","",""
"building c settlement fortified_3.mtrl",".mtrl","","",""
"building c settlement fortified_4.mtrl",".mtrl","","",""
"building c settlement fortified_death_0.mtrl",".mtrl","","",""
"building c settlement fortified_death_1.mtrl",".mtrl","","",""
"building c settlement fortified_death_2.mtrl",".mtrl","","",""
"building c settlement fortified_death_3.mtrl",".mtrl","","",""
"building c settlement fortified_death_4.mtrl",".mtrl","","",""
"building c stable age2_0.mtrl",".mtrl","","",""
"building c stable age2_1.mtrl",".mtrl","","",""
"building c stable age2_2.mtrl",".mtrl","","",""
"building c stable age2_3.mtrl",".mtrl","","",""
"building c stable age2_death_0.mtrl",".mtrl","","",""
"building c stable age2_death_1.mtrl",".mtrl","","",""
"building c stable age2_death_2.mtrl",".mtrl","","",""
"building c stable age2_death_3.mtrl",".mtrl","","",""
"building c stable age3_0.mtrl",".mtrl","","",""
"building c stable age3_1.mtrl",".mtrl","","",""
"building c stable age3_2.mtrl",".mtrl","","",""
"building c stable age3_3.mtrl",".mtrl","","",""
"building c stable age3_death_0.mtrl",".mtrl","","",""
"building c stable age3_death_1.mtrl",".mtrl","","",""
"building c stable age3_death_2.mtrl",".mtrl","","",""
"building c stable age3_death_3.mtrl",".mtrl","","",""
"building c storage pit age1_0.mtrl",".mtrl","","",""
"building c storage pit age1_1.mtrl",".mtrl","","",""
"building c storage pit age1_2.mtrl",".mtrl","","",""
"building c storage pit age1_3.mtrl",".mtrl","","",""
"building c storage pit age1_death_0.mtrl",".mtrl","","",""
"building c storage pit age1_death_1.mtrl",".mtrl","","",""
"building c storage pit age1_death_2.mtrl",".mtrl","","",""
"building c storage pit age1_death_3.mtrl",".mtrl","","",""
"building c temple age1_0.mtrl",".mtrl","","",""
"building c temple age1_1.mtrl",".mtrl","","",""
"building c temple age1_2.mtrl",".mtrl","","",""
"building c temple age1_3.mtrl",".mtrl","","",""
"building c temple age1_death_0.mtrl",".mtrl","","",""
"building c temple age1_death_1.mtrl",".mtrl","","",""
"building c temple age1_death_2.mtrl",".mtrl","","",""
"building c temple age1_death_3.mtrl",".mtrl","","",""
"building c temple age2_0.mtrl",".mtrl","","",""
"building c temple age2_1.mtrl",".mtrl","","",""
"building c temple age2_2.mtrl",".mtrl","","",""
"building c temple age2_3.mtrl",".mtrl","","",""
"building c temple age2_death_0.mtrl",".mtrl","","",""
"building c temple age2_death_1.mtrl",".mtrl","","",""
"building c temple age2_death_2.mtrl",".mtrl","","",""
"building c temple age2_death_3.mtrl",".mtrl","","",""
"building c temple age3_0.mtrl",".mtrl","","",""
"building c temple age3_1.mtrl",".mtrl","","",""
"building c temple age3_2.mtrl",".mtrl","","",""
"building c temple age3_3.mtrl",".mtrl","","",""
"building c temple age3_death_0.mtrl",".mtrl","","",""
"building c temple age3_death_1.mtrl",".mtrl","","",""
"building c temple age3_death_2.mtrl",".mtrl","","",""
"building c temple age3_death_3.mtrl",".mtrl","","",""
"building c temple age4_0.mtrl",".mtrl","","",""
"building c temple age4_1.mtrl",".mtrl","","",""
"building c temple age4_2.mtrl",".mtrl","","",""
"building c temple age4_3.mtrl",".mtrl","","",""
"building c temple age4_death_0.mtrl",".mtrl","","",""
"building c temple age4_death_1.mtrl",".mtrl","","",""
"building c temple age4_death_2.mtrl",".mtrl","","",""
"building c temple age4_death_3.mtrl",".mtrl","","",""
"building c temple con1_0.mtrl",".mtrl","","",""
"building c temple con2_0.mtrl",".mtrl","","",""
"building c temple con3_0.mtrl",".mtrl","","",""
"building c temple con3_1.mtrl",".mtrl","","",""
"building c titan gate stage1_0.mtrl",".mtrl","","",""
"building c titan gate stage1_1.mtrl",".mtrl","","",""
"building c titan gate stage1_2.mtrl",".mtrl","","",""
"building c titan gate stage1_3.mtrl",".mtrl","","",""
"building c titan gate stage1_4.mtrl",".mtrl","","",""
"building c titan gate stage2_0.mtrl",".mtrl","","",""
"building c titan gate stage2_1.mtrl",".mtrl","","",""
"building c titan gate stage2_2.mtrl",".mtrl","","",""
"building c titan gate stage2_3.mtrl",".mtrl","","",""
"building c titan gate stage2_4.mtrl",".mtrl","","",""
"building c titan gate stage3_0.mtrl",".mtrl","","",""
"building c titan gate stage3_1.mtrl",".mtrl","","",""
"building c titan gate stage3_2.mtrl",".mtrl","","",""
"building c titan gate stage3_3.mtrl",".mtrl","","",""
"building c titan gate stage3_4.mtrl",".mtrl","","",""
"building c titan gate stage4_0.mtrl",".mtrl","","",""
"building c titan gate stage4_1.mtrl",".mtrl","","",""
"building c titan gate stage4_2.mtrl",".mtrl","","",""
"building c titan gate stage4_3.mtrl",".mtrl","","",""
"building c titan gate_dead_0.mtrl",".mtrl","","",""
"building c titan gate_dead_1.mtrl",".mtrl","","",""
"building c titan gate_dead_2.mtrl",".mtrl","","",""
"building c titan gate_dead_3.mtrl",".mtrl","","",""
"building c titan gate_death_0.mtrl",".mtrl","","",""
"building c titan gate_death_1.mtrl",".mtrl","","",""
"building c titan gate_death_2.mtrl",".mtrl","","",""
"building c titan gate_death_3.mtrl",".mtrl","","",""
"building c wall earthen connector_0.mtrl",".mtrl","","",""
"building c wall earthen connector_death_0.mtrl",".mtrl","","",""
"building c wall earthen long stage1_0.mtrl",".mtrl","","",""
"building c wall earthen long stage1_1.mtrl",".mtrl","","",""
"building c wall earthen long stage2_0.mtrl",".mtrl","","",""
"building c wall earthen long stage2_1.mtrl",".mtrl","","",""
"building c wall earthen long stage3_0.mtrl",".mtrl","","",""
"building c wall earthen long stage3_1.mtrl",".mtrl","","",""
"building c wall earthen long stage3_death_0.mtrl",".mtrl","","",""
"building c wall earthen long stage3_death_1.mtrl",".mtrl","","",""
"building c wall earthen long_0.mtrl",".mtrl","","",""
"building c wall earthen medium stage1_0.mtrl",".mtrl","","",""
"building c wall earthen medium stage1_1.mtrl",".mtrl","","",""
"building c wall earthen medium stage2_0.mtrl",".mtrl","","",""
"building c wall earthen medium stage2_1.mtrl",".mtrl","","",""
"building c wall earthen medium stage3_0.mtrl",".mtrl","","",""
"building c wall earthen medium stage3_1.mtrl",".mtrl","","",""
"building c wall earthen medium stage3_death_0.mtrl",".mtrl","","",""
"building c wall earthen medium stage3_death_1.mtrl",".mtrl","","",""
"building c wall earthen medium_0.mtrl",".mtrl","","",""
"building c wall earthen short stage1_0.mtrl",".mtrl","","",""
"building c wall earthen short stage1_1.mtrl",".mtrl","","",""
"building c wall earthen short stage2_0.mtrl",".mtrl","","",""
"building c wall earthen short stage2_1.mtrl",".mtrl","","",""
"building c wall earthen short stage3_0.mtrl",".mtrl","","",""
"building c wall earthen short stage3_1.mtrl",".mtrl","","",""
"building c wall earthen short stage3_death_0.mtrl",".mtrl","","",""
"building c wall earthen short stage3_death_1.mtrl",".mtrl","","",""
"building c wall earthen short_0.mtrl",".mtrl","","",""
"building c wall fortified connector_0.mtrl",".mtrl","","",""
"building c wall fortified connector_death.brg",".brg","","",""
"building c wall fortified connector_death_0.mtrl",".mtrl","","",""
"building c wall fortified long stage1_0.mtrl",".mtrl","","",""
"building c wall fortified long stage1_1.mtrl",".mtrl","","",""
"building c wall fortified long stage2_0.mtrl",".mtrl","","",""
"building c wall fortified long stage2_1.mtrl",".mtrl","","",""
"building c wall fortified long stage3_0.mtrl",".mtrl","","",""
"building c wall fortified long stage3_1.mtrl",".mtrl","","",""
"building c wall fortified long stage3_death_0.mtrl",".mtrl","","",""
"building c wall fortified long stage3_death_1.mtrl",".mtrl","","",""
"building c wall fortified long_0.mtrl",".mtrl","","",""
"building c wall fortified medium stage1_0.mtrl",".mtrl","","",""
"building c wall fortified medium stage1_1.mtrl",".mtrl","","",""
"building c wall fortified medium stage2_0.mtrl",".mtrl","","",""
"building c wall fortified medium stage2_1.mtrl",".mtrl","","",""
"building c wall fortified medium stage3_0.mtrl",".mtrl","","",""
"building c wall fortified medium stage3_1.mtrl",".mtrl","","",""
"building c wall fortified medium stage3_death_0.mtrl",".mtrl","","",""
"building c wall fortified medium stage3_death_1.mtrl",".mtrl","","",""
"building c wall fortified medium_0.mtrl",".mtrl","","",""
"building c wall fortified short stage1_0.mtrl",".mtrl","","",""
"building c wall fortified short stage1_1.mtrl",".mtrl","","",""
"building c wall fortified short stage2_0.mtrl",".mtrl","","",""
"building c wall fortified short stage2_1.mtrl",".mtrl","","",""
"building c wall fortified short stage3_0.mtrl",".mtrl","","",""
"building c wall fortified short stage3_1.mtrl",".mtrl","","",""
"building c wall fortified short stage3_death_0.mtrl",".mtrl","","",""
"building c wall fortified short stage3_death_1.mtrl",".mtrl","","",""
"building c wall fortified short_0.mtrl",".mtrl","","",""
"building c wall great connector_0.mtrl",".mtrl","","",""
"building c wall great connector_death_0.mtrl",".mtrl","","",""
"building c wall great long stage1_0.mtrl",".mtrl","","",""
"building c wall great long stage1_1.mtrl",".mtrl","","",""
"building c wall great long stage2_0.mtrl",".mtrl","","",""
"building c wall great long stage2_1.mtrl",".mtrl","","",""
"building c wall great long stage3_0.mtrl",".mtrl","","",""
"building c wall great long stage3_1.mtrl",".mtrl","","",""
"building c wall great long stage3_death_0.mtrl",".mtrl","","",""
"building c wall great long stage3_death_1.mtrl",".mtrl","","",""
"building c wall great long_0.mtrl",".mtrl","","",""
"building c wall great medium stage1_0.mtrl",".mtrl","","",""
"building c wall great medium stage1_1.mtrl",".mtrl","","",""
"building c wall great medium stage2_0.mtrl",".mtrl","","",""
"building c wall great medium stage2_1.mtrl",".mtrl","","",""
"building c wall great medium stage3_0.mtrl",".mtrl","","",""
"building c wall great medium stage3_1.mtrl",".mtrl","","",""
"building c wall great medium stage3_death_0.mtrl",".mtrl","","",""
"building c wall great medium stage3_death_1.mtrl",".mtrl","","",""
"building c wall great medium_0.mtrl",".mtrl","","",""
"building c wall great short stage1_0.mtrl",".mtrl","","",""
"building c wall great short stage1_1.mtrl",".mtrl","","",""
"building c wall great short stage2_0.mtrl",".mtrl","","",""
"building c wall great short stage2_1.mtrl",".mtrl","","",""
"building c wall great short stage3_0.mtrl",".mtrl","","",""
"building c wall great short stage3_1.mtrl",".mtrl","","",""
"building c wall great short stage3_death_0.mtrl",".mtrl","","",""
"building c wall great short stage3_death_1.mtrl",".mtrl","","",""
"building c wall great short_0.mtrl",".mtrl","","",""
"building c wall stone connector_0.mtrl",".mtrl","","",""
"building c wall stone connector_death_0.mtrl",".mtrl","","",""
"building c wall stone long stage1_0.mtrl",".mtrl","","",""
"building c wall stone long stage1_1.mtrl",".mtrl","","",""
"building c wall stone long stage2_0.mtrl",".mtrl","","",""
"building c wall stone long stage2_1.mtrl",".mtrl","","",""
"building c wall stone long stage3_0.mtrl",".mtrl","","",""
"building c wall stone long stage3_1.mtrl",".mtrl","","",""
"building c wall stone long stage3_death_0.mtrl",".mtrl","","",""
"building c wall stone long stage3_death_1.mtrl",".mtrl","","",""
"building c wall stone long_0.mtrl",".mtrl","","",""
"building c wall stone medium stage1_0.mtrl",".mtrl","","",""
"building c wall stone medium stage1_1.mtrl",".mtrl","","",""
"building c wall stone medium stage2_0.mtrl",".mtrl","","",""
"building c wall stone medium stage2_1.mtrl",".mtrl","","",""
"building c wall stone medium stage3_0.mtrl",".mtrl","","",""
"building c wall stone medium stage3_1.mtrl",".mtrl","","",""
"building c wall stone medium stage3_death_0.mtrl",".mtrl","","",""
"building c wall stone medium stage3_death_1.mtrl",".mtrl","","",""
"building c wall stone medium_0.mtrl",".mtrl","","",""
"building c wall stone short stage1_0.mtrl",".mtrl","","",""
"building c wall stone short stage1_1.mtrl",".mtrl","","",""
"building c wall stone short stage2_0.mtrl",".mtrl","","",""
"building c wall stone short stage2_1.mtrl",".mtrl","","",""
"building c wall stone short stage3_0.mtrl",".mtrl","","",""
"building c wall stone short stage3_1.mtrl",".mtrl","","",""
"building c wall stone short stage3_death_0.mtrl",".mtrl","","",""
"building c wall stone short stage3_death_1.mtrl",".mtrl","","",""
"building c wall stone short_0.mtrl",".mtrl","","",""
"building c watchtower_0.mtrl",".mtrl","","",""
"building c watchtower_1.mtrl",".mtrl","","",""
"building c watchtower_2.mtrl",".mtrl","","",""
"building c watchtower_death_0.mtrl",".mtrl","","",""
"building c watchtower_death_1.mtrl",".mtrl","","",""
"building c watchtower_death_2.mtrl",".mtrl","","",""
"building c wonder city con1_0.mtrl",".mtrl","","",""
"building c wonder city con2_0.mtrl",".mtrl","","",""
"building c wonder city con3_0.mtrl",".mtrl","","",""
"building c wonder city stage1_0.mtrl",".mtrl","","",""
"building c wonder city_0.mtrl",".mtrl","","",""
"building c wonder city_1.mtrl",".mtrl","","",""
"building c wonder city_2.mtrl",".mtrl","","",""
"building c wonder city_death_0.mtrl",".mtrl","","",""
"building c wonder city_death_1.mtrl",".mtrl","","",""
"building c wonder city_death_2.mtrl",".mtrl","","",""
"building c wonder palace con1_0.mtrl",".mtrl","","",""
"building c wonder palace con2_0.mtrl",".mtrl","","",""
"building c wonder palace con3_0.mtrl",".mtrl","","",""
"building c wonder palace_0.mtrl",".mtrl","","",""
"building c wonder palace_1.mtrl",".mtrl","","",""
"building c wonder palace_2.mtrl",".mtrl","","",""
"building c wonder palace_3.mtrl",".mtrl","","",""
"building c wonder palace_4.mtrl",".mtrl","","",""
"building c wonder palace_death_0.mtrl",".mtrl","","",""
"building c wonder palace_death_1.mtrl",".mtrl","","",""
"building c wonder palace_death_2.mtrl",".mtrl","","",""
"building c wonder palace_death_3.mtrl",".mtrl","","",""
"building c wonder palace_death_4.mtrl",".mtrl","","",""
"building c wonder temple con1_0.mtrl",".mtrl","","",""
"building c wonder temple con2_0.mtrl",".mtrl","","",""
"building c wonder temple con3_0.mtrl",".mtrl","","",""
"building c wonder temple con3_1.mtrl",".mtrl","","",""
"building c wonder temple_0.mtrl",".mtrl","","",""
"building c wonder temple_death_0.mtrl",".mtrl","","",""
"building construction 3x3 a_0.mtrl",".mtrl","","",""
"building construction 3x3 a_1.mtrl",".mtrl","","",""
"building construction 3x3 a_2.mtrl",".mtrl","","",""
"building construction 3x3 b_0.mtrl",".mtrl","","",""
"building construction 3x3 b_1.mtrl",".mtrl","","",""
"building construction 3x3 b_2.mtrl",".mtrl","","",""
"building construction armory_0.mtrl",".mtrl","","",""
"building construction armory_1.mtrl",".mtrl","","",""
"building construction armory_2.mtrl",".mtrl","","",""
"building construction connectorgreekwallb_0.mtrl",".mtrl","","",""
"building construction connectorgreekwallb_1.mtrl",".mtrl","","",""
"building construction connectorgreekwallb_2.mtrl",".mtrl","","",""
"building construction connectorgreekwallc_0.mtrl",".mtrl","","",""
"building construction connectorgreekwallc_1.mtrl",".mtrl","","",""
"building construction connectorgreekwallc_2.mtrl",".mtrl","","",""
"building construction connectorwalla_0.mtrl",".mtrl","","",""
"building construction connectorwalla_1.mtrl",".mtrl","","",""
"building construction connectorwalla_2.mtrl",".mtrl","","",""
"building construction dock a_0.mtrl",".mtrl","","",""
"building construction dock a_1.mtrl",".mtrl","","",""
"building construction dock b_0.mtrl",".mtrl","","",""
"building construction dock b_1.mtrl",".mtrl","","",""
"building construction e long brick_0.mtrl",".mtrl","","",""
"building construction e medium brick_0.mtrl",".mtrl","","",""
"building construction e small brick_0.mtrl",".mtrl","","",""
"building construction extra large a_0.mtrl",".mtrl","","",""
"building construction extra large a_1.mtrl",".mtrl","","",""
"building construction extra large a_10.mtrl",".mtrl","","",""
"building construction extra large a_11.mtrl",".mtrl","","",""
"building construction extra large a_2.mtrl",".mtrl","","",""
"building construction extra large a_3.mtrl",".mtrl","","",""
"building construction extra large a_4.mtrl",".mtrl","","",""
"building construction extra large a_5.mtrl",".mtrl","","",""
"building construction extra large a_6.mtrl",".mtrl","","",""
"building construction extra large a_7.mtrl",".mtrl","","",""
"building construction extra large a_8.mtrl",".mtrl","","",""
"building construction extra large a_9.mtrl",".mtrl","","",""
"building construction extra large b_0.mtrl",".mtrl","","",""
"building construction extra large b_1.mtrl",".mtrl","","",""
"building construction extra large b_10.mtrl",".mtrl","","",""
"building construction extra large b_11.mtrl",".mtrl","","",""
"building construction extra large b_12.mtrl",".mtrl","","",""
"building construction extra large b_2.mtrl",".mtrl","","",""
"building construction extra large b_3.mtrl",".mtrl","","",""
"building construction extra large b_4.mtrl",".mtrl","","",""
"building construction extra large b_5.mtrl",".mtrl","","",""
"building construction extra large b_6.mtrl",".mtrl","","",""
"building construction extra large b_7.mtrl",".mtrl","","",""
"building construction extra large b_8.mtrl",".mtrl","","",""
"building construction extra large b_9.mtrl",".mtrl","","",""
"building construction extra large c_0.mtrl",".mtrl","","",""
"building construction extra large c_1.mtrl",".mtrl","","",""
"building construction extra large c_10.mtrl",".mtrl","","",""
"building construction extra large c_11.mtrl",".mtrl","","",""
"building construction extra large c_12.mtrl",".mtrl","","",""
"building construction extra large c_13.mtrl",".mtrl","","",""
"building construction extra large c_14.mtrl",".mtrl","","",""
"building construction extra large c_2.mtrl",".mtrl","","",""
"building construction extra large c_3.mtrl",".mtrl","","",""
"building construction extra large c_4.mtrl",".mtrl","","",""
"building construction extra large c_5.mtrl",".mtrl","","",""
"building construction extra large c_6.mtrl",".mtrl","","",""
"building construction extra large c_7.mtrl",".mtrl","","",""
"building construction extra large c_8.mtrl",".mtrl","","",""
"building construction extra large c_9.mtrl",".mtrl","","",""
"building construction g long brick_0.mtrl",".mtrl","","",""
"building construction g medium brick_0.mtrl",".mtrl","","",""
"building construction g small brick_0.mtrl",".mtrl","","",""
"building construction guild_0.mtrl",".mtrl","","",""
"building construction guild_1.mtrl",".mtrl","","",""
"building construction guild_2.mtrl",".mtrl","","",""
"building construction large a_0.mtrl",".mtrl","","",""
"building construction large a_1.mtrl",".mtrl","","",""
"building construction large a_2.mtrl",".mtrl","","",""
"building construction large b_0.mtrl",".mtrl","","",""
"building construction large b_1.mtrl",".mtrl","","",""
"building construction large b_2.mtrl",".mtrl","","",""
"building construction large c_0.mtrl",".mtrl","","",""
"building construction large c_1.mtrl",".mtrl","","",""
"building construction large c_10.mtrl",".mtrl","","",""
"building construction large c_11.mtrl",".mtrl","","",""
"building construction large c_12.mtrl",".mtrl","","",""
"building construction large c_13.mtrl",".mtrl","","",""
"building construction large c_14.mtrl",".mtrl","","",""
"building construction large c_15.mtrl",".mtrl","","",""
"building construction large c_2.mtrl",".mtrl","","",""
"building construction large c_3.mtrl",".mtrl","","",""
"building construction large c_4.mtrl",".mtrl","","",""
"building construction large c_5.mtrl",".mtrl","","",""
"building construction large c_6.mtrl",".mtrl","","",""
"building construction large c_7.mtrl",".mtrl","","",""
"building construction large c_8.mtrl",".mtrl","","",""
"building construction large c_9.mtrl",".mtrl","","",""
"building construction longgreekwallb_0.mtrl",".mtrl","","",""
"building construction longgreekwallb_1.mtrl",".mtrl","","",""
"building construction longgreekwallb_2.mtrl",".mtrl","","",""
"building construction longgreekwallc_0.mtrl",".mtrl","","",""
"building construction longgreekwallc_1.mtrl",".mtrl","","",""
"building construction longgreekwallc_2.mtrl",".mtrl","","",""
"building construction longwalla_0.mtrl",".mtrl","","",""
"building construction longwalla_1.mtrl",".mtrl","","",""
"building construction longwalla_2.mtrl",".mtrl","","",""
"building construction manor_0.mtrl",".mtrl","","",""
"building construction manor_1.mtrl",".mtrl","","",""
"building construction manor_2.mtrl",".mtrl","","",""
"building construction medium a_0.mtrl",".mtrl","","",""
"building construction medium a_1.mtrl",".mtrl","","",""
"building construction medium a_2.mtrl",".mtrl","","",""
"building construction medium b_0.mtrl",".mtrl","","",""
"building construction medium b_1.mtrl",".mtrl","","",""
"building construction medium b_2.mtrl",".mtrl","","",""
"building construction medium c_0.mtrl",".mtrl","","",""
"building construction medium c_1.mtrl",".mtrl","","",""
